best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 1, 'depth_ratio': 1.0, 'time': 0.008293867111206055, 'cx_gates': 0, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.000787, 'cx_gates': 0, 'num_gates': 0}",sabre_look_0_f_v0.20,sabre_0.20,heavy_hex_27,0
"{'depth': 33, 'depth_ratio': 3.0, 'time': 0.06706714630126953, 'cx_gates': 27, 'num_gates': 49}","{'depth': 4.176, 'depth_ratio': 0.3798, 'time': 0.003644, 'cx_gates': 5.817, 'num_gates': 5.817}",sabre_look_0_f_v0.20,sabre_0.20,heavy_hex_27,1
"{'depth': 72, 'depth_ratio': 3.43, 'time': 0.1938459873199463, 'cx_gates': 60, 'num_gates': 102}","{'depth': 8.565, 'depth_ratio': 0.4078, 'time': 0.05571, 'cx_gates': 6.946, 'num_gates': 6.946}",sabre_look_0_f_v0.20,sabre_0.20,heavy_hex_27,2
"{'depth': 114, 'depth_ratio': 3.68, 'time': 0.5660929679870605, 'cx_gates': 96, 'num_gates': 158}","{'depth': 12.94, 'depth_ratio': 0.4161, 'time': 0.09964, 'cx_gates': 14.15, 'num_gates': 14.15}",sabre_look_0_f_v0.20,sabre_0.20,heavy_hex_27,3
"{'depth': 168, 'depth_ratio': 4.1, 'time': 1.6072540283203125, 'cx_gates': 159, 'num_gates': 241}","{'depth': 16.98, 'depth_ratio': 0.4142, 'time': 0.1644, 'cx_gates': 24.07, 'num_gates': 24.07}",sabre_look_0_f_v0.20,sabre_0.20,heavy_hex_27,4
"{'depth': 209, 'depth_ratio': 4.1, 'time': 2.3382251262664795, 'cx_gates': 189, 'num_gates': 291}","{'depth': 12.25, 'depth_ratio': 0.2391, 'time': 0.1155, 'cx_gates': 15.3, 'num_gates': 15.3}",sabre_look_0_f_v0.20,sabre_0.20,heavy_hex_27,5
"{'depth': 259, 'depth_ratio': 4.25, 'time': 428.9228961467743, 'cx_gates': 231, 'num_gates': 353}","{'depth': 5.987, 'depth_ratio': 0.09537, 'time': 170.0, 'cx_gates': 18.45, 'num_gates': 18.45}",sabre_look_0_f_v0.20,sabre_0.20,heavy_hex_27,6
"{'depth': 309, 'depth_ratio': 4.35, 'time': 12.311220169067383, 'cx_gates': 303, 'num_gates': 445}","{'depth': 16.06, 'depth_ratio': 0.2252, 'time': 12.43, 'cx_gates': 29.54, 'num_gates': 29.54}",sabre_look_0_f_v0.20,sabre_0.20,heavy_hex_27,7
"{'depth': 344, 'depth_ratio': 4.25, 'time': 210.13170409202576, 'cx_gates': 309, 'num_gates': 471}","{'depth': 20.56, 'depth_ratio': 0.2533, 'time': 146.9, 'cx_gates': 22.01, 'num_gates': 22.01}",sabre_look_0_f_v0.20,sabre_0.20,heavy_hex_27,8
"{'depth': 378, 'depth_ratio': 4.15, 'time': 102.11402010917664, 'cx_gates': 351, 'num_gates': 533}","{'depth': 20.15, 'depth_ratio': 0.2207, 'time': 107.0, 'cx_gates': 20.2, 'num_gates': 20.2}",sabre_look_0_f_v0.20,sabre_0.20,heavy_hex_27,9
