best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 1, 'depth_ratio': 1.0, 'time': 0.008913040161132812, 'cx_gates': 0, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.0001965, 'cx_gates': 0, 'num_gates': 0}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,0
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.011314153671264648, 'cx_gates': 0, 'num_gates': 4}","{'depth': 1.939, 'depth_ratio': 0.9695, 'time': 0.0004787, 'cx_gates': 2.245, 'num_gates': 2.245}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,1
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.013859748840332031, 'cx_gates': 0, 'num_gates': 6}","{'depth': 0, 'depth_ratio': 0, 'time': 0.01785, 'cx_gates': 0, 'num_gates': 0}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,2
"{'depth': 7, 'depth_ratio': 1.75, 'time': 0.01675701141357422, 'cx_gates': 3, 'num_gates': 11}","{'depth': 0, 'depth_ratio': 0, 'time': 0.0005554, 'cx_gates': 0, 'num_gates': 0}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,3
"{'depth': 14, 'depth_ratio': 2.8, 'time': 0.020572900772094727, 'cx_gates': 12, 'num_gates': 22}","{'depth': 2.638, 'depth_ratio': 0.5276, 'time': 0.0002103, 'cx_gates': 0, 'num_gates': 0}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,4
"{'depth': 12, 'depth_ratio': 2.0, 'time': 0.025867938995361328, 'cx_gates': 6, 'num_gates': 18}","{'depth': 2.449, 'depth_ratio': 0.4066, 'time': 0.001354, 'cx_gates': 2.939, 'num_gates': 2.939}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,5
"{'depth': 13, 'depth_ratio': 1.86, 'time': 0.025671720504760742, 'cx_gates': 9, 'num_gates': 23}","{'depth': 2.0, 'depth_ratio': 0.284, 'time': 0.01832, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,6
"{'depth': 23, 'depth_ratio': 2.88, 'time': 0.02956104278564453, 'cx_gates': 18, 'num_gates': 34}","{'depth': 1.02, 'depth_ratio': 0.1255, 'time': 0.0002384, 'cx_gates': 0, 'num_gates': 0}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,7
"{'depth': 20, 'depth_ratio': 2.22, 'time': 0.0327601432800293, 'cx_gates': 12, 'num_gates': 30}","{'depth': 1.673, 'depth_ratio': 0.1888, 'time': 0.001167, 'cx_gates': 0, 'num_gates': 0}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,8
"{'depth': 28, 'depth_ratio': 2.8, 'time': 0.03734397888183594, 'cx_gates': 21, 'num_gates': 41}","{'depth': 5.238, 'depth_ratio': 0.5238, 'time': 0.02046, 'cx_gates': 2.4, 'num_gates': 2.4}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,9
