best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 1, 'depth_ratio': 1.0, 'time': 0.0107269287109375, 'cx_gates': 0, 'num_gates': 2}","{'depth': 1.6, 'depth_ratio': 1.6, 'time': 0.001382, 'cx_gates': 2.4, 'num_gates': 2.4}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,0
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.013026237487792969, 'cx_gates': 0, 'num_gates': 4}","{'depth': 1.96, 'depth_ratio': 0.9798, 'time': 0.001385, 'cx_gates': 3.059, 'num_gates': 3.059}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,1
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.01571822166442871, 'cx_gates': 0, 'num_gates': 6}","{'depth': 2.0, 'depth_ratio': 0.668, 'time': 0.01809, 'cx_gates': 1.2, 'num_gates': 1.2}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,2
"{'depth': 7, 'depth_ratio': 1.75, 'time': 0.019351959228515625, 'cx_gates': 3, 'num_gates': 11}","{'depth': 3.033, 'depth_ratio': 0.7583, 'time': 0.001701, 'cx_gates': 2.939, 'num_gates': 2.939}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,3
"{'depth': 15, 'depth_ratio': 3.0, 'time': 0.028627872467041016, 'cx_gates': 15, 'num_gates': 25}","{'depth': 0, 'depth_ratio': 0, 'time': 0.000881, 'cx_gates': 0, 'num_gates': 0}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,4
"{'depth': 12, 'depth_ratio': 2.0, 'time': 0.025923728942871094, 'cx_gates': 6, 'num_gates': 18}","{'depth': 3.655, 'depth_ratio': 0.6088, 'time': 0.001804, 'cx_gates': 3.795, 'num_gates': 3.795}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,5
"{'depth': 13, 'depth_ratio': 1.86, 'time': 0.033599853515625, 'cx_gates': 9, 'num_gates': 23}","{'depth': 4.069, 'depth_ratio': 0.5805, 'time': 0.01774, 'cx_gates': 4.409, 'num_gates': 4.409}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,6
"{'depth': 21, 'depth_ratio': 2.62, 'time': 0.04324507713317871, 'cx_gates': 18, 'num_gates': 34}","{'depth': 2.059, 'depth_ratio': 0.2597, 'time': 0.002143, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,7
"{'depth': 21, 'depth_ratio': 2.33, 'time': 0.037927865982055664, 'cx_gates': 15, 'num_gates': 33}","{'depth': 5.231, 'depth_ratio': 0.5832, 'time': 0.00185, 'cx_gates': 3.795, 'num_gates': 3.795}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,8
"{'depth': 27, 'depth_ratio': 2.7, 'time': 0.048133134841918945, 'cx_gates': 21, 'num_gates': 41}","{'depth': 7.043, 'depth_ratio': 0.7043, 'time': 0.01807, 'cx_gates': 6.177, 'num_gates': 6.177}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,9
"{'depth': 32, 'depth_ratio': 2.91, 'time': 0.04807877540588379, 'cx_gates': 27, 'num_gates': 49}","{'depth': 3.688, 'depth_ratio': 0.3368, 'time': 0.002594, 'cx_gates': 0, 'num_gates': 0}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,10
"{'depth': 36, 'depth_ratio': 3.0, 'time': 0.054084062576293945, 'cx_gates': 33, 'num_gates': 57}","{'depth': 3.97, 'depth_ratio': 0.331, 'time': 0.01609, 'cx_gates': 4.069, 'num_gates': 4.069}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,11
"{'depth': 39, 'depth_ratio': 3.0, 'time': 0.06102800369262695, 'cx_gates': 30, 'num_gates': 56}","{'depth': 3.521, 'depth_ratio': 0.2698, 'time': 0.01718, 'cx_gates': 5.879, 'num_gates': 5.879}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,12
"{'depth': 40, 'depth_ratio': 2.86, 'time': 0.06323623657226562, 'cx_gates': 30, 'num_gates': 58}","{'depth': 3.919, 'depth_ratio': 0.2783, 'time': 0.001905, 'cx_gates': 5.879, 'num_gates': 5.879}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,13
"{'depth': 48, 'depth_ratio': 3.2, 'time': 0.0644540786743164, 'cx_gates': 39, 'num_gates': 69}","{'depth': 5.06, 'depth_ratio': 0.3372, 'time': 0.02122, 'cx_gates': 8.777, 'num_gates': 8.777}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,14
"{'depth': 44, 'depth_ratio': 2.75, 'time': 0.0732111930847168, 'cx_gates': 36, 'num_gates': 68}","{'depth': 5.426, 'depth_ratio': 0.3389, 'time': 0.0208, 'cx_gates': 6.681, 'num_gates': 6.681}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,15
"{'depth': 50, 'depth_ratio': 2.94, 'time': 0.13773703575134277, 'cx_gates': 51, 'num_gates': 85}","{'depth': 4.03, 'depth_ratio': 0.2381, 'time': 0.02032, 'cx_gates': 5.231, 'num_gates': 5.231}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,16
"{'depth': 62, 'depth_ratio': 3.44, 'time': 0.10036301612854004, 'cx_gates': 60, 'num_gates': 96}","{'depth': 1.47, 'depth_ratio': 0.08328, 'time': 0.02007, 'cx_gates': 2.939, 'num_gates': 2.939}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,17
"{'depth': 62, 'depth_ratio': 3.26, 'time': 0.0919637680053711, 'cx_gates': 57, 'num_gates': 95}","{'depth': 4.915, 'depth_ratio': 0.2589, 'time': 0.01342, 'cx_gates': 6.946, 'num_gates': 6.946}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,18
"{'depth': 66, 'depth_ratio': 3.3, 'time': 0.09868073463439941, 'cx_gates': 60, 'num_gates': 100}","{'depth': 4.069, 'depth_ratio': 0.2035, 'time': 0.01872, 'cx_gates': 3.059, 'num_gates': 3.059}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,19
"{'depth': 75, 'depth_ratio': 3.57, 'time': 0.09850406646728516, 'cx_gates': 72, 'num_gates': 114}","{'depth': 4.707, 'depth_ratio': 0.224, 'time': 0.01623, 'cx_gates': 6.841, 'num_gates': 6.841}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,20
"{'depth': 69, 'depth_ratio': 3.14, 'time': 0.16313600540161133, 'cx_gates': 63, 'num_gates': 107}","{'depth': 6.406, 'depth_ratio': 0.289, 'time': 0.02677, 'cx_gates': 6.573, 'num_gates': 6.573}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,21
"{'depth': 80, 'depth_ratio': 3.48, 'time': 0.10254788398742676, 'cx_gates': 60, 'num_gates': 106}","{'depth': 2.757, 'depth_ratio': 0.1183, 'time': 0.02375, 'cx_gates': 8.183, 'num_gates': 8.183}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,22
"{'depth': 78, 'depth_ratio': 3.25, 'time': 0.17007899284362793, 'cx_gates': 72, 'num_gates': 120}","{'depth': 9.165, 'depth_ratio': 0.3814, 'time': 0.01891, 'cx_gates': 11.13, 'num_gates': 11.13}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,23
"{'depth': 73, 'depth_ratio': 2.92, 'time': 0.11312484741210938, 'cx_gates': 54, 'num_gates': 104}","{'depth': 11.03, 'depth_ratio': 0.4411, 'time': 0.02404, 'cx_gates': 15.6, 'num_gates': 15.6}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,24
"{'depth': 84, 'depth_ratio': 3.23, 'time': 0.11658978462219238, 'cx_gates': 81, 'num_gates': 133}","{'depth': 6.293, 'depth_ratio': 0.2415, 'time': 0.02662, 'cx_gates': 7.915, 'num_gates': 7.915}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,25
"{'depth': 88, 'depth_ratio': 3.26, 'time': 0.12307476997375488, 'cx_gates': 87, 'num_gates': 141}","{'depth': 6.997, 'depth_ratio': 0.2595, 'time': 0.02117, 'cx_gates': 4.874, 'num_gates': 4.874}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,26
"{'depth': 86, 'depth_ratio': 3.07, 'time': 0.13027596473693848, 'cx_gates': 84, 'num_gates': 140}","{'depth': 8.499, 'depth_ratio': 0.3039, 'time': 0.01357, 'cx_gates': 8.139, 'num_gates': 8.139}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,27
"{'depth': 90, 'depth_ratio': 3.1, 'time': 0.18980622291564941, 'cx_gates': 90, 'num_gates': 148}","{'depth': 6.723, 'depth_ratio': 0.2332, 'time': 0.01889, 'cx_gates': 6.0, 'num_gates': 6.0}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,28
