best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 1, 'depth_ratio': 1.0, 'time': 0.01067209243774414, 'cx_gates': 0, 'num_gates': 2}","{'depth': 1.6, 'depth_ratio': 1.6, 'time': 0.001283, 'cx_gates': 2.4, 'num_gates': 2.4}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,0
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.013049840927124023, 'cx_gates': 0, 'num_gates': 4}","{'depth': 2.04, 'depth_ratio': 1.02, 'time': 0.001046, 'cx_gates': 3.059, 'num_gates': 3.059}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,1
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.014939069747924805, 'cx_gates': 0, 'num_gates': 6}","{'depth': 2.0, 'depth_ratio': 0.668, 'time': 0.01771, 'cx_gates': 1.2, 'num_gates': 1.2}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,2
"{'depth': 7, 'depth_ratio': 1.75, 'time': 0.0193789005279541, 'cx_gates': 3, 'num_gates': 11}","{'depth': 2.245, 'depth_ratio': 0.5612, 'time': 0.001254, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,3
"{'depth': 15, 'depth_ratio': 3.0, 'time': 0.029232025146484375, 'cx_gates': 15, 'num_gates': 25}","{'depth': 0, 'depth_ratio': 0, 'time': 0.001195, 'cx_gates': 0, 'num_gates': 0}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,4
"{'depth': 12, 'depth_ratio': 2.0, 'time': 0.026096105575561523, 'cx_gates': 6, 'num_gates': 18}","{'depth': 4.069, 'depth_ratio': 0.6769, 'time': 0.001982, 'cx_gates': 4.49, 'num_gates': 4.49}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,5
"{'depth': 13, 'depth_ratio': 1.86, 'time': 0.033454179763793945, 'cx_gates': 9, 'num_gates': 23}","{'depth': 0, 'depth_ratio': 0, 'time': 0.01759, 'cx_gates': 0, 'num_gates': 0}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,6
"{'depth': 21, 'depth_ratio': 2.62, 'time': 0.03697609901428223, 'cx_gates': 18, 'num_gates': 34}","{'depth': 1.855, 'depth_ratio': 0.2338, 'time': 0.002087, 'cx_gates': 0, 'num_gates': 0}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,7
"{'depth': 20, 'depth_ratio': 2.22, 'time': 0.03761792182922363, 'cx_gates': 12, 'num_gates': 30}","{'depth': 1.744, 'depth_ratio': 0.1966, 'time': 0.000711, 'cx_gates': 0, 'num_gates': 0}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,8
"{'depth': 28, 'depth_ratio': 2.8, 'time': 0.04317212104797363, 'cx_gates': 18, 'num_gates': 38}","{'depth': 3.521, 'depth_ratio': 0.3521, 'time': 0.01778, 'cx_gates': 3.286, 'num_gates': 3.286}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,9
"{'depth': 29, 'depth_ratio': 2.64, 'time': 0.045287132263183594, 'cx_gates': 18, 'num_gates': 40}","{'depth': 1.6, 'depth_ratio': 0.144, 'time': 0.005026, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,10
"{'depth': 33, 'depth_ratio': 2.75, 'time': 0.05906081199645996, 'cx_gates': 24, 'num_gates': 48}","{'depth': 0.4899, 'depth_ratio': 0.03919, 'time': 0.01876, 'cx_gates': 2.683, 'num_gates': 2.683}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,11
"{'depth': 37, 'depth_ratio': 2.85, 'time': 0.053607940673828125, 'cx_gates': 27, 'num_gates': 53}","{'depth': 5.115, 'depth_ratio': 0.3939, 'time': 0.02133, 'cx_gates': 4.069, 'num_gates': 4.069}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,12
"{'depth': 38, 'depth_ratio': 2.71, 'time': 0.05602097511291504, 'cx_gates': 27, 'num_gates': 55}","{'depth': 5.06, 'depth_ratio': 0.3617, 'time': 0.00297, 'cx_gates': 4.069, 'num_gates': 4.069}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,13
"{'depth': 49, 'depth_ratio': 3.27, 'time': 0.06987309455871582, 'cx_gates': 36, 'num_gates': 66}","{'depth': 6.248, 'depth_ratio': 0.4147, 'time': 0.01898, 'cx_gates': 5.817, 'num_gates': 5.817}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,14
"{'depth': 43, 'depth_ratio': 2.69, 'time': 0.06888985633850098, 'cx_gates': 33, 'num_gates': 65}","{'depth': 7.2, 'depth_ratio': 0.448, 'time': 0.02119, 'cx_gates': 2.4, 'num_gates': 2.4}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,15
"{'depth': 60, 'depth_ratio': 3.53, 'time': 0.14186406135559082, 'cx_gates': 51, 'num_gates': 85}","{'depth': 2.786, 'depth_ratio': 0.1626, 'time': 0.02306, 'cx_gates': 2.4, 'num_gates': 2.4}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,16
"{'depth': 65, 'depth_ratio': 3.61, 'time': 0.08756089210510254, 'cx_gates': 60, 'num_gates': 96}","{'depth': 2.683, 'depth_ratio': 0.1499, 'time': 0.02122, 'cx_gates': 2.4, 'num_gates': 2.4}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,17
"{'depth': 63, 'depth_ratio': 3.32, 'time': 0.08492279052734375, 'cx_gates': 54, 'num_gates': 92}","{'depth': 1.6, 'depth_ratio': 0.084, 'time': 0.02356, 'cx_gates': 1.2, 'num_gates': 1.2}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,18
"{'depth': 68, 'depth_ratio': 3.4, 'time': 0.08450722694396973, 'cx_gates': 51, 'num_gates': 91}","{'depth': 3.311, 'depth_ratio': 0.1655, 'time': 0.02196, 'cx_gates': 6.406, 'num_gates': 6.406}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,19
"{'depth': 64, 'depth_ratio': 3.05, 'time': 0.085968017578125, 'cx_gates': 45, 'num_gates': 87}","{'depth': 3.847, 'depth_ratio': 0.183, 'time': 0.02846, 'cx_gates': 6.177, 'num_gates': 6.177}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,20
"{'depth': 74, 'depth_ratio': 3.36, 'time': 0.10686731338500977, 'cx_gates': 66, 'num_gates': 110}","{'depth': 10.47, 'depth_ratio': 0.477, 'time': 0.02146, 'cx_gates': 5.231, 'num_gates': 5.231}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,21
"{'depth': 84, 'depth_ratio': 3.65, 'time': 0.11533093452453613, 'cx_gates': 75, 'num_gates': 121}","{'depth': 5.706, 'depth_ratio': 0.2488, 'time': 0.006624, 'cx_gates': 10.63, 'num_gates': 10.63}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,22
"{'depth': 82, 'depth_ratio': 3.42, 'time': 0.11568212509155273, 'cx_gates': 72, 'num_gates': 120}","{'depth': 2.53, 'depth_ratio': 0.1044, 'time': 0.02757, 'cx_gates': 2.939, 'num_gates': 2.939}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,23
"{'depth': 86, 'depth_ratio': 3.44, 'time': 0.11719965934753418, 'cx_gates': 75, 'num_gates': 125}","{'depth': 6.554, 'depth_ratio': 0.2622, 'time': 0.02243, 'cx_gates': 7.25, 'num_gates': 7.25}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,24
"{'depth': 83, 'depth_ratio': 3.19, 'time': 0.17925786972045898, 'cx_gates': 72, 'num_gates': 124}","{'depth': 11.75, 'depth_ratio': 0.4537, 'time': 0.02743, 'cx_gates': 6.946, 'num_gates': 6.946}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,25
"{'depth': 89, 'depth_ratio': 3.3, 'time': 0.13098883628845215, 'cx_gates': 78, 'num_gates': 132}","{'depth': 13.32, 'depth_ratio': 0.4912, 'time': 0.0253, 'cx_gates': 2.683, 'num_gates': 2.683}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,26
"{'depth': 97, 'depth_ratio': 3.46, 'time': 0.1286160945892334, 'cx_gates': 84, 'num_gates': 140}","{'depth': 5.06, 'depth_ratio': 0.1818, 'time': 0.02886, 'cx_gates': 7.73, 'num_gates': 7.73}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,27
"{'depth': 107, 'depth_ratio': 3.69, 'time': 0.13401484489440918, 'cx_gates': 96, 'num_gates': 154}","{'depth': 2.4, 'depth_ratio': 0.084, 'time': 0.02778, 'cx_gates': 8.4, 'num_gates': 8.4}",sabre_look_1_v0.20,sabre_0.20,heavy_hex_27,28
