best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 1, 'depth_ratio': 1.0, 'time': 0.006877899169921875, 'cx_gates': 0, 'num_gates': 2}","{'depth': 1.96, 'depth_ratio': 1.96, 'time': 0.001248, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_look_2_fdlg_v0.20,sabre_0.20,hex_7,0
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.0196990966796875, 'cx_gates': 0, 'num_gates': 4}","{'depth': 1.6, 'depth_ratio': 0.8, 'time': 0.01003, 'cx_gates': 1.2, 'num_gates': 1.2}",sabre_look_2_fdlg_v0.20,sabre_0.20,hex_7,1
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.017427921295166016, 'cx_gates': 0, 'num_gates': 6}","{'depth': 3.429, 'depth_ratio': 1.141, 'time': 0.01269, 'cx_gates': 4.409, 'num_gates': 4.899}",sabre_look_2_fdlg_v0.20,sabre_0.20,hex_7,2
"{'depth': 7, 'depth_ratio': 1.75, 'time': 0.049031972885131836, 'cx_gates': 3, 'num_gates': 11}","{'depth': 2.135, 'depth_ratio': 0.5339, 'time': 0.02697, 'cx_gates': 2.683, 'num_gates': 2.332}",sabre_look_2_fdlg_v0.20,sabre_0.20,hex_7,3
"{'depth': 15, 'depth_ratio': 3.0, 'time': 0.06078290939331055, 'cx_gates': 9, 'num_gates': 25}","{'depth': 4.841, 'depth_ratio': 0.9683, 'time': 0.02807, 'cx_gates': 2.939, 'num_gates': 3.311}",sabre_look_2_fdlg_v0.20,sabre_0.20,hex_7,4
"{'depth': 14, 'depth_ratio': 2.33, 'time': 0.07259273529052734, 'cx_gates': 6, 'num_gates': 15}","{'depth': 2.53, 'depth_ratio': 0.4222, 'time': 0.01672, 'cx_gates': 1.2, 'num_gates': 4.167}",sabre_look_2_fdlg_v0.20,sabre_0.20,hex_7,5
"{'depth': 17, 'depth_ratio': 2.43, 'time': 0.08745884895324707, 'cx_gates': 12, 'num_gates': 29}","{'depth': 1.833, 'depth_ratio': 0.2601, 'time': 0.01068, 'cx_gates': 1.47, 'num_gates': 1.2}",sabre_look_2_fdlg_v0.20,sabre_0.20,hex_7,6
"{'depth': 20, 'depth_ratio': 2.5, 'time': 0.05352282524108887, 'cx_gates': 9, 'num_gates': 23}","{'depth': 3.878, 'depth_ratio': 0.4867, 'time': 0.03914, 'cx_gates': 5.879, 'num_gates': 8.295}",sabre_look_2_fdlg_v0.20,sabre_0.20,hex_7,7
"{'depth': 13, 'depth_ratio': 1.44, 'time': 0.08885407447814941, 'cx_gates': 9, 'num_gates': 18}","{'depth': 8.4, 'depth_ratio': 0.936, 'time': 0.02186, 'cx_gates': 1.2, 'num_gates': 9.6}",sabre_look_2_fdlg_v0.20,sabre_0.20,hex_7,8
"{'depth': 20, 'depth_ratio': 2.0, 'time': 0.16225099563598633, 'cx_gates': 9, 'num_gates': 27}","{'depth': 3.919, 'depth_ratio': 0.3919, 'time': 0.03994, 'cx_gates': 3.6, 'num_gates': 4.665}",sabre_look_2_fdlg_v0.20,sabre_0.20,hex_7,9
"{'depth': 19, 'depth_ratio': 1.73, 'time': 0.19624710083007812, 'cx_gates': 12, 'num_gates': 28}","{'depth': 2.227, 'depth_ratio': 0.2004, 'time': 0.02772, 'cx_gates': 0, 'num_gates': 0.8}",sabre_look_2_fdlg_v0.20,sabre_0.20,hex_7,10
"{'depth': 17, 'depth_ratio': 1.42, 'time': 0.09278583526611328, 'cx_gates': 9, 'num_gates': 26}","{'depth': 1.855, 'depth_ratio': 0.1521, 'time': 0.02764, 'cx_gates': 2.4, 'num_gates': 3.007}",sabre_look_2_fdlg_v0.20,sabre_0.20,hex_7,11
"{'depth': 14, 'depth_ratio': 1.08, 'time': 0.12246298789978027, 'cx_gates': 9, 'num_gates': 24}","{'depth': 3.72, 'depth_ratio': 0.2841, 'time': 0.04533, 'cx_gates': 2.4, 'num_gates': 2.608}",sabre_look_2_fdlg_v0.20,sabre_0.20,hex_7,12
"{'depth': 12, 'depth_ratio': 0.86, 'time': 0.08023381233215332, 'cx_gates': 6, 'num_gates': 20}","{'depth': 1.47, 'depth_ratio': 0.1029, 'time': 0.02517, 'cx_gates': 1.47, 'num_gates': 2.577}",sabre_look_2_fdlg_v0.20,sabre_0.20,hex_7,13
