best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 1, 'depth_ratio': 1.0, 'time': 0.008931159973144531, 'cx_gates': 0, 'num_gates': 2}","{'depth': 1.6, 'depth_ratio': 1.6, 'time': 0.001128, 'cx_gates': 2.4, 'num_gates': 2.4}",sabre_look_0_fd_v0.20,sabre_0.20,heavy_hex_27,0
"{'depth': 12, 'depth_ratio': 2.0, 'time': 0.026844024658203125, 'cx_gates': 6, 'num_gates': 18}","{'depth': 6.216, 'depth_ratio': 1.035, 'time': 0.003882, 'cx_gates': 6.177, 'num_gates': 6.177}",sabre_look_0_fd_v0.20,sabre_0.20,heavy_hex_27,1
"{'depth': 32, 'depth_ratio': 2.91, 'time': 0.0646049976348877, 'cx_gates': 27, 'num_gates': 49}","{'depth': 2.926, 'depth_ratio': 0.2677, 'time': 0.02149, 'cx_gates': 6.735, 'num_gates': 6.735}",sabre_look_0_fd_v0.20,sabre_0.20,heavy_hex_27,2
"{'depth': 46, 'depth_ratio': 2.88, 'time': 0.18210792541503906, 'cx_gates': 36, 'num_gates': 68}","{'depth': 5.748, 'depth_ratio': 0.3588, 'time': 0.02107, 'cx_gates': 6.573, 'num_gates': 6.573}",sabre_look_0_fd_v0.20,sabre_0.20,heavy_hex_27,3
"{'depth': 67, 'depth_ratio': 3.19, 'time': 0.3078320026397705, 'cx_gates': 60, 'num_gates': 102}","{'depth': 5.083, 'depth_ratio': 0.2409, 'time': 0.02247, 'cx_gates': 8.612, 'num_gates': 8.612}",sabre_look_0_fd_v0.20,sabre_0.20,heavy_hex_27,4
"{'depth': 88, 'depth_ratio': 3.38, 'time': 0.5609147548675537, 'cx_gates': 81, 'num_gates': 133}","{'depth': 4.118, 'depth_ratio': 0.1584, 'time': 0.06035, 'cx_gates': 8.27, 'num_gates': 8.27}",sabre_look_0_fd_v0.20,sabre_0.20,heavy_hex_27,5
"{'depth': 107, 'depth_ratio': 3.45, 'time': 0.7839627265930176, 'cx_gates': 108, 'num_gates': 170}","{'depth': 9.394, 'depth_ratio': 0.3042, 'time': 0.1187, 'cx_gates': 11.38, 'num_gates': 11.38}",sabre_look_0_fd_v0.20,sabre_0.20,heavy_hex_27,6
"{'depth': 128, 'depth_ratio': 3.56, 'time': 1.4088377952575684, 'cx_gates': 126, 'num_gates': 198}","{'depth': 7.228, 'depth_ratio': 0.1995, 'time': 0.1852, 'cx_gates': 12.5, 'num_gates': 12.5}",sabre_look_0_fd_v0.20,sabre_0.20,heavy_hex_27,7
"{'depth': 159, 'depth_ratio': 3.88, 'time': 2.3606319427490234, 'cx_gates': 165, 'num_gates': 247}","{'depth': 7.467, 'depth_ratio': 0.1824, 'time': 0.2532, 'cx_gates': 15.6, 'num_gates': 15.6}",sabre_look_0_fd_v0.20,sabre_0.20,heavy_hex_27,8
"{'depth': 163, 'depth_ratio': 3.54, 'time': 2.6029860973358154, 'cx_gates': 159, 'num_gates': 251}","{'depth': 9.786, 'depth_ratio': 0.2142, 'time': 0.204, 'cx_gates': 8.27, 'num_gates': 8.27}",sabre_look_0_fd_v0.20,sabre_0.20,heavy_hex_27,9
