best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 1, 'depth_ratio': 1.0, 'time': 0.016821861267089844, 'cx_gates': 0, 'num_gates': 2}","{'depth': 1.6, 'depth_ratio': 1.6, 'time': 0.00555, 'cx_gates': 2.4, 'num_gates': 2.4}",sabre_look_1_fdlg_test_v0.20,sabre_0.20,heavy_hex_27,0
"{'depth': 12, 'depth_ratio': 2.0, 'time': 0.08686494827270508, 'cx_gates': 6, 'num_gates': 18}","{'depth': 5.426, 'depth_ratio': 0.905, 'time': 0.009492, 'cx_gates': 4.409, 'num_gates': 4.409}",sabre_look_1_fdlg_test_v0.20,sabre_0.20,heavy_hex_27,1
"{'depth': 32, 'depth_ratio': 2.91, 'time': 0.3227267265319824, 'cx_gates': 27, 'num_gates': 49}","{'depth': 3.187, 'depth_ratio': 0.2909, 'time': 0.03469, 'cx_gates': 4.069, 'num_gates': 4.069}",sabre_look_1_fdlg_test_v0.20,sabre_0.20,heavy_hex_27,2
"{'depth': 47, 'depth_ratio': 2.94, 'time': 0.5573310852050781, 'cx_gates': 39, 'num_gates': 71}","{'depth': 3.262, 'depth_ratio': 0.2043, 'time': 0.05745, 'cx_gates': 5.564, 'num_gates': 5.564}",sabre_look_1_fdlg_test_v0.20,sabre_0.20,heavy_hex_27,3
"{'depth': 73, 'depth_ratio': 3.48, 'time': 1.3713440895080566, 'cx_gates': 69, 'num_gates': 111}","{'depth': 5.192, 'depth_ratio': 0.2478, 'time': 0.2324, 'cx_gates': 6.946, 'num_gates': 6.946}",sabre_look_1_fdlg_test_v0.20,sabre_0.20,heavy_hex_27,4
"{'depth': 84, 'depth_ratio': 3.23, 'time': 2.2682478427886963, 'cx_gates': 81, 'num_gates': 133}","{'depth': 10.56, 'depth_ratio': 0.4082, 'time': 0.3136, 'cx_gates': 11.29, 'num_gates': 11.29}",sabre_look_1_fdlg_test_v0.20,sabre_0.20,heavy_hex_27,5
"{'depth': 111, 'depth_ratio': 3.58, 'time': 4.62987494468689, 'cx_gates': 108, 'num_gates': 170}","{'depth': 8.495, 'depth_ratio': 0.2751, 'time': 0.635, 'cx_gates': 10.46, 'num_gates': 10.46}",sabre_look_1_fdlg_test_v0.20,sabre_0.20,heavy_hex_27,6
"{'depth': 136, 'depth_ratio': 3.78, 'time': 7.623622894287109, 'cx_gates': 132, 'num_gates': 204}","{'depth': 19.0, 'depth_ratio': 0.5279, 'time': 0.8028, 'cx_gates': 18.06, 'num_gates': 18.06}",sabre_look_1_fdlg_test_v0.20,sabre_0.20,heavy_hex_27,7
"{'depth': 166, 'depth_ratio': 4.05, 'time': 9.452623128890991, 'cx_gates': 138, 'num_gates': 220}","{'depth': 8.39, 'depth_ratio': 0.2043, 'time': 0.9545, 'cx_gates': 20.84, 'num_gates': 20.84}",sabre_look_1_fdlg_test_v0.20,sabre_0.20,heavy_hex_27,8
"{'depth': 164, 'depth_ratio': 3.57, 'time': 14.264506816864014, 'cx_gates': 162, 'num_gates': 254}","{'depth': 7.833, 'depth_ratio': 0.1689, 'time': 0.771, 'cx_gates': 12.09, 'num_gates': 12.09}",sabre_look_1_fdlg_test_v0.20,sabre_0.20,heavy_hex_27,9
