best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 27, 'depth_ratio': 2.7, 'time': 0.08306002616882324, 'cx_gates': 21, 'num_gates': 41}","{'depth': 6.771, 'depth_ratio': 0.6771, 'time': 0.02189, 'cx_gates': 2.939, 'num_gates': 2.939}",sabre_extended_v0.20,sabre_0.20,hex_7,0
"{'depth': 33, 'depth_ratio': 2.75, 'time': 0.03392910957336426, 'cx_gates': 24, 'num_gates': 48}","{'depth': 1.855, 'depth_ratio': 0.1562, 'time': 0.0009497, 'cx_gates': 4.49, 'num_gates': 4.49}",sabre_extended_v0.20,sabre_0.20,hex_7,1
"{'depth': 40, 'depth_ratio': 2.86, 'time': 0.09231996536254883, 'cx_gates': 30, 'num_gates': 58}","{'depth': 2.561, 'depth_ratio': 0.183, 'time': 0.02157, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_extended_v0.20,sabre_0.20,hex_7,2
"{'depth': 45, 'depth_ratio': 2.81, 'time': 0.09954977035522461, 'cx_gates': 30, 'num_gates': 62}","{'depth': 3.382, 'depth_ratio': 0.2136, 'time': 0.02169, 'cx_gates': 5.817, 'num_gates': 5.817}",sabre_extended_v0.20,sabre_0.20,hex_7,3
"{'depth': 63, 'depth_ratio': 3.5, 'time': 0.051276206970214844, 'cx_gates': 48, 'num_gates': 84}","{'depth': 2.53, 'depth_ratio': 0.1399, 'time': 0.01974, 'cx_gates': 3.499, 'num_gates': 3.499}",sabre_extended_v0.20,sabre_0.20,hex_7,4
"{'depth': 62, 'depth_ratio': 3.1, 'time': 0.05481100082397461, 'cx_gates': 48, 'num_gates': 88}","{'depth': 4.308, 'depth_ratio': 0.2154, 'time': 0.01971, 'cx_gates': 5.02, 'num_gates': 5.02}",sabre_extended_v0.20,sabre_0.20,hex_7,5
"{'depth': 74, 'depth_ratio': 3.36, 'time': 0.10954809188842773, 'cx_gates': 54, 'num_gates': 98}","{'depth': 2.0, 'depth_ratio': 0.092, 'time': 0.01881, 'cx_gates': 4.8, 'num_gates': 4.8}",sabre_extended_v0.20,sabre_0.20,hex_7,6
"{'depth': 88, 'depth_ratio': 3.67, 'time': 0.06932878494262695, 'cx_gates': 60, 'num_gates': 108}","{'depth': 3.521, 'depth_ratio': 0.1454, 'time': 0.02403, 'cx_gates': 7.915, 'num_gates': 7.915}",sabre_extended_v0.20,sabre_0.20,hex_7,7
"{'depth': 95, 'depth_ratio': 3.65, 'time': 0.07434701919555664, 'cx_gates': 78, 'num_gates': 130}","{'depth': 1.265, 'depth_ratio': 0.0506, 'time': 0.02652, 'cx_gates': 3.6, 'num_gates': 3.6}",sabre_extended_v0.20,sabre_0.20,hex_7,8
"{'depth': 94, 'depth_ratio': 3.36, 'time': 0.07502102851867676, 'cx_gates': 72, 'num_gates': 128}","{'depth': 3.795, 'depth_ratio': 0.1334, 'time': 0.0247, 'cx_gates': 7.348, 'num_gates': 7.348}",sabre_extended_v0.20,sabre_0.20,hex_7,9
