best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 28, 'depth_ratio': 2.8, 'time': 0.08285999298095703, 'cx_gates': 18, 'num_gates': 38}","{'depth': 2.728, 'depth_ratio': 0.2728, 'time': 0.02271, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_v0.25,sabre_0.25,hex_7,0
"{'depth': 34, 'depth_ratio': 2.83, 'time': 0.029131174087524414, 'cx_gates': 24, 'num_gates': 48}","{'depth': 2.227, 'depth_ratio': 0.1879, 'time': 0.001768, 'cx_gates': 0, 'num_gates': 0}",sabre_v0.25,sabre_0.25,hex_7,1
"{'depth': 39, 'depth_ratio': 2.79, 'time': 0.0411381721496582, 'cx_gates': 24, 'num_gates': 52}","{'depth': 2.871, 'depth_ratio': 0.204, 'time': 0.02522, 'cx_gates': 2.245, 'num_gates': 2.245}",sabre_v0.25,sabre_0.25,hex_7,2
"{'depth': 46, 'depth_ratio': 2.88, 'time': 0.0937490463256836, 'cx_gates': 33, 'num_gates': 65}","{'depth': 3.441, 'depth_ratio': 0.2139, 'time': 0.0225, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_v0.25,sabre_0.25,hex_7,3
"{'depth': 56, 'depth_ratio': 3.11, 'time': 0.04110312461853027, 'cx_gates': 54, 'num_gates': 90}","{'depth': 5.535, 'depth_ratio': 0.3073, 'time': 0.00178, 'cx_gates': 2.939, 'num_gates': 2.939}",sabre_v0.25,sabre_0.25,hex_7,4
"{'depth': 68, 'depth_ratio': 3.4, 'time': 0.04501080513000488, 'cx_gates': 51, 'num_gates': 91}","{'depth': 4.874, 'depth_ratio': 0.2437, 'time': 0.02042, 'cx_gates': 4.243, 'num_gates': 4.243}",sabre_v0.25,sabre_0.25,hex_7,5
"{'depth': 68, 'depth_ratio': 3.09, 'time': 0.05085396766662598, 'cx_gates': 54, 'num_gates': 98}","{'depth': 7.694, 'depth_ratio': 0.3496, 'time': 0.06844, 'cx_gates': 3.059, 'num_gates': 3.059}",sabre_v0.25,sabre_0.25,hex_7,6
"{'depth': 85, 'depth_ratio': 3.54, 'time': 0.11110281944274902, 'cx_gates': 69, 'num_gates': 117}","{'depth': 3.347, 'depth_ratio': 0.1411, 'time': 0.02543, 'cx_gates': 9.217, 'num_gates': 9.217}",sabre_v0.25,sabre_0.25,hex_7,7
"{'depth': 88, 'depth_ratio': 3.38, 'time': 0.0863029956817627, 'cx_gates': 75, 'num_gates': 127}","{'depth': 5.115, 'depth_ratio': 0.1975, 'time': 0.02421, 'cx_gates': 5.161, 'num_gates': 5.161}",sabre_v0.25,sabre_0.25,hex_7,8
"{'depth': 88, 'depth_ratio': 3.14, 'time': 0.06492400169372559, 'cx_gates': 60, 'num_gates': 116}","{'depth': 4.604, 'depth_ratio': 0.1668, 'time': 0.02226, 'cx_gates': 8.695, 'num_gates': 8.695}",sabre_v0.25,sabre_0.25,hex_7,9
"{'depth': 101, 'depth_ratio': 3.37, 'time': 0.07003903388977051, 'cx_gates': 93, 'num_gates': 153}","{'depth': 6.591, 'depth_ratio': 0.2181, 'time': 0.02762, 'cx_gates': 6.406, 'num_gates': 6.406}",sabre_v0.25,sabre_0.25,hex_7,10
"{'depth': 120, 'depth_ratio': 3.75, 'time': 0.13426995277404785, 'cx_gates': 84, 'num_gates': 148}","{'depth': 3.544, 'depth_ratio': 0.1105, 'time': 0.02734, 'cx_gates': 10.15, 'num_gates': 10.15}",sabre_v0.25,sabre_0.25,hex_7,11
"{'depth': 122, 'depth_ratio': 3.59, 'time': 0.07445979118347168, 'cx_gates': 111, 'num_gates': 179}","{'depth': 9.368, 'depth_ratio': 0.2741, 'time': 0.02944, 'cx_gates': 8.485, 'num_gates': 8.485}",sabre_v0.25,sabre_0.25,hex_7,12
"{'depth': 140, 'depth_ratio': 3.89, 'time': 0.08169293403625488, 'cx_gates': 135, 'num_gates': 207}","{'depth': 8.212, 'depth_ratio': 0.2279, 'time': 0.03039, 'cx_gates': 10.04, 'num_gates': 10.04}",sabre_v0.25,sabre_0.25,hex_7,13
"{'depth': 150, 'depth_ratio': 3.95, 'time': 0.08489608764648438, 'cx_gates': 117, 'num_gates': 193}","{'depth': 6.663, 'depth_ratio': 0.1744, 'time': 0.02168, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_v0.25,sabre_0.25,hex_7,14
"{'depth': 162, 'depth_ratio': 4.05, 'time': 0.08429479598999023, 'cx_gates': 111, 'num_gates': 191}","{'depth': 3.487, 'depth_ratio': 0.088, 'time': 0.02526, 'cx_gates': 15.11, 'num_gates': 15.11}",sabre_v0.25,sabre_0.25,hex_7,15
"{'depth': 171, 'depth_ratio': 4.07, 'time': 0.09151291847229004, 'cx_gates': 120, 'num_gates': 204}","{'depth': 4.317, 'depth_ratio': 0.1036, 'time': 0.03077, 'cx_gates': 13.01, 'num_gates': 13.01}",sabre_v0.25,sabre_0.25,hex_7,16
"{'depth': 172, 'depth_ratio': 3.91, 'time': 0.09567999839782715, 'cx_gates': 132, 'num_gates': 220}","{'depth': 7.026, 'depth_ratio': 0.1589, 'time': 0.02948, 'cx_gates': 13.09, 'num_gates': 13.09}",sabre_v0.25,sabre_0.25,hex_7,17
"{'depth': 174, 'depth_ratio': 3.78, 'time': 0.09873700141906738, 'cx_gates': 126, 'num_gates': 218}","{'depth': 6.621, 'depth_ratio': 0.1442, 'time': 0.02919, 'cx_gates': 9.859, 'num_gates': 9.859}",sabre_v0.25,sabre_0.25,hex_7,18
