best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 29, 'depth_ratio': 2.9, 'time': 0.03530597686767578, 'cx_gates': 21, 'num_gates': 41}","{'depth': 3.487, 'depth_ratio': 0.3487, 'time': 0.001925, 'cx_gates': 4.8, 'num_gates': 4.8}",sabre_depth_v0.20,sabre_0.20,hex_7,0
"{'depth': 73, 'depth_ratio': 3.65, 'time': 0.07309913635253906, 'cx_gates': 66, 'num_gates': 106}","{'depth': 7.761, 'depth_ratio': 0.3881, 'time': 0.001805, 'cx_gates': 2.245, 'num_gates': 2.245}",sabre_depth_v0.20,sabre_0.20,hex_7,1
"{'depth': 104, 'depth_ratio': 3.47, 'time': 0.10706090927124023, 'cx_gates': 96, 'num_gates': 156}","{'depth': 8.868, 'depth_ratio': 0.2963, 'time': 0.001808, 'cx_gates': 8.183, 'num_gates': 8.183}",sabre_depth_v0.20,sabre_0.20,hex_7,2
"{'depth': 175, 'depth_ratio': 4.38, 'time': 0.16707086563110352, 'cx_gates': 180, 'num_gates': 260}","{'depth': 3.868, 'depth_ratio': 0.09646, 'time': 0.3292, 'cx_gates': 20.82, 'num_gates': 20.82}",sabre_depth_v0.20,sabre_0.20,hex_7,3
"{'depth': 194, 'depth_ratio': 3.88, 'time': 0.2056269645690918, 'cx_gates': 195, 'num_gates': 295}","{'depth': 15.65, 'depth_ratio': 0.3129, 'time': 0.007491, 'cx_gates': 12.95, 'num_gates': 12.95}",sabre_depth_v0.20,sabre_0.20,hex_7,4
"{'depth': 219, 'depth_ratio': 3.65, 'time': 0.2527449131011963, 'cx_gates': 207, 'num_gates': 327}","{'depth': 10.67, 'depth_ratio': 0.1792, 'time': 0.3349, 'cx_gates': 17.43, 'num_gates': 17.43}",sabre_depth_v0.20,sabre_0.20,hex_7,5
"{'depth': 262, 'depth_ratio': 3.74, 'time': 0.3298161029815674, 'cx_gates': 258, 'num_gates': 398}","{'depth': 20.61, 'depth_ratio': 0.2952, 'time': 0.01633, 'cx_gates': 31.83, 'num_gates': 31.83}",sabre_depth_v0.20,sabre_0.20,hex_7,6
"{'depth': 303, 'depth_ratio': 3.79, 'time': 0.37053823471069336, 'cx_gates': 297, 'num_gates': 457}","{'depth': 21.64, 'depth_ratio': 0.2717, 'time': 0.3618, 'cx_gates': 19.39, 'num_gates': 19.39}",sabre_depth_v0.20,sabre_0.20,hex_7,7
"{'depth': 337, 'depth_ratio': 3.74, 'time': 0.45461082458496094, 'cx_gates': 333, 'num_gates': 513}","{'depth': 18.82, 'depth_ratio': 0.2099, 'time': 0.3428, 'cx_gates': 22.96, 'num_gates': 22.96}",sabre_depth_v0.20,sabre_0.20,hex_7,8
"{'depth': 388, 'depth_ratio': 3.88, 'time': 0.5037729740142822, 'cx_gates': 381, 'num_gates': 581}","{'depth': 15.51, 'depth_ratio': 0.1551, 'time': 0.01511, 'cx_gates': 21.68, 'num_gates': 21.68}",sabre_depth_v0.20,sabre_0.20,hex_7,9
"{'depth': 388, 'depth_ratio': 3.53, 'time': 1.403630256652832, 'cx_gates': 369, 'num_gates': 589}","{'depth': 30.68, 'depth_ratio': 0.2776, 'time': 0.3383, 'cx_gates': 36.47, 'num_gates': 36.47}",sabre_depth_v0.20,sabre_0.20,hex_7,10
"{'depth': 438, 'depth_ratio': 3.65, 'time': 0.6320528984069824, 'cx_gates': 411, 'num_gates': 651}","{'depth': 19.91, 'depth_ratio': 0.1666, 'time': 0.3645, 'cx_gates': 36.52, 'num_gates': 36.52}",sabre_depth_v0.20,sabre_0.20,hex_7,11
