best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 28, 'depth_ratio': 2.8, 'time': 0.0299680233001709, 'cx_gates': 18, 'num_gates': 38}","{'depth': 6.0, 'depth_ratio': 0.6, 'time': 0.0006069, 'cx_gates': 4.5, 'num_gates': 4.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,0
"{'depth': 63, 'depth_ratio': 3.15, 'time': 0.05289006233215332, 'cx_gates': 57, 'num_gates': 97}","{'depth': 3.5, 'depth_ratio': 0.175, 'time': 5.507e-05, 'cx_gates': 3.0, 'num_gates': 3.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,1
"{'depth': 111, 'depth_ratio': 3.7, 'time': 0.08167219161987305, 'cx_gates': 90, 'num_gates': 150}","{'depth': 9.0, 'depth_ratio': 0.3, 'time': 0.0004562, 'cx_gates': 3.0, 'num_gates': 3.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,2
"{'depth': 170, 'depth_ratio': 4.25, 'time': 0.10408616065979004, 'cx_gates': 129, 'num_gates': 209}","{'depth': 9.0, 'depth_ratio': 0.225, 'time': 0.0009019, 'cx_gates': 13.5, 'num_gates': 13.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,3
"{'depth': 189, 'depth_ratio': 3.78, 'time': 0.13188481330871582, 'cx_gates': 192, 'num_gates': 292}","{'depth': 15.5, 'depth_ratio': 0.31, 'time': 0.002736, 'cx_gates': 4.5, 'num_gates': 4.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,4
"{'depth': 269, 'depth_ratio': 4.48, 'time': 1.0070972442626953, 'cx_gates': 207, 'num_gates': 327}","{'depth': 0.5, 'depth_ratio': 0.01, 'time': 0.4229, 'cx_gates': 4.5, 'num_gates': 4.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,5
"{'depth': 308, 'depth_ratio': 4.4, 'time': 0.18346023559570312, 'cx_gates': 249, 'num_gates': 389}","{'depth': 0.5, 'depth_ratio': 0.005, 'time': 0.001289, 'cx_gates': 1.5, 'num_gates': 1.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,6
"{'depth': 339, 'depth_ratio': 4.24, 'time': 0.2097768783569336, 'cx_gates': 267, 'num_gates': 427}","{'depth': 0.5, 'depth_ratio': 0.005, 'time': 0.0006266, 'cx_gates': 1.5, 'num_gates': 1.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,7
"{'depth': 384, 'depth_ratio': 4.27, 'time': 0.23871421813964844, 'cx_gates': 303, 'num_gates': 483}","{'depth': 10.0, 'depth_ratio': 0.11, 'time': 0.001907, 'cx_gates': 9.0, 'num_gates': 9.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,8
"{'depth': 430, 'depth_ratio': 4.3, 'time': 1.0804381370544434, 'cx_gates': 336, 'num_gates': 536}","{'depth': 3.0, 'depth_ratio': 0.03, 'time': 0.4026, 'cx_gates': 1.5, 'num_gates': 1.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,9
"{'depth': 449, 'depth_ratio': 4.08, 'time': 0.32294583320617676, 'cx_gates': 354, 'num_gates': 574}","{'depth': 10.5, 'depth_ratio': 0.095, 'time': 0.005451, 'cx_gates': 10.5, 'num_gates': 10.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,10
"{'depth': 484, 'depth_ratio': 4.03, 'time': 1.1795310974121094, 'cx_gates': 381, 'num_gates': 621}","{'depth': 17.5, 'depth_ratio': 0.15, 'time': 0.4186, 'cx_gates': 15.0, 'num_gates': 15.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,11
"{'depth': 562, 'depth_ratio': 4.32, 'time': 0.3587009906768799, 'cx_gates': 435, 'num_gates': 695}","{'depth': 2.5, 'depth_ratio': 0.02, 'time': 0.006284, 'cx_gates': 6.0, 'num_gates': 6.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,12
"{'depth': 586, 'depth_ratio': 4.19, 'time': 0.4090099334716797, 'cx_gates': 453, 'num_gates': 733}","{'depth': 15.0, 'depth_ratio': 0.105, 'time': 0.008573, 'cx_gates': 13.5, 'num_gates': 13.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,13
"{'depth': 635, 'depth_ratio': 4.23, 'time': 0.4325897693634033, 'cx_gates': 489, 'num_gates': 789}","{'depth': 5.5, 'depth_ratio': 0.04, 'time': 0.008406, 'cx_gates': 6.0, 'num_gates': 6.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,14
"{'depth': 660, 'depth_ratio': 4.12, 'time': 0.44576311111450195, 'cx_gates': 513, 'num_gates': 833}","{'depth': 15.0, 'depth_ratio': 0.095, 'time': 0.432, 'cx_gates': 13.5, 'num_gates': 13.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,15
"{'depth': 714, 'depth_ratio': 4.2, 'time': 0.4780709743499756, 'cx_gates': 573, 'num_gates': 913}","{'depth': 27.0, 'depth_ratio': 0.16, 'time': 0.005351, 'cx_gates': 16.5, 'num_gates': 16.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,16
"{'depth': 704, 'depth_ratio': 3.91, 'time': 0.5393121242523193, 'cx_gates': 696, 'num_gates': 1056}","{'depth': 28.5, 'depth_ratio': 0.16, 'time': 0.3943, 'cx_gates': 51.0, 'num_gates': 51.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,17
"{'depth': 783, 'depth_ratio': 4.12, 'time': 0.5277969837188721, 'cx_gates': 615, 'num_gates': 995}","{'depth': 20.0, 'depth_ratio': 0.105, 'time': 0.008499, 'cx_gates': 7.5, 'num_gates': 7.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,18
"{'depth': 869, 'depth_ratio': 4.34, 'time': 0.5802402496337891, 'cx_gates': 675, 'num_gates': 1075}","{'depth': 0.5, 'depth_ratio': 0.005, 'time': 0.0032, 'cx_gates': 4.5, 'num_gates': 4.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,19
"{'depth': 890, 'depth_ratio': 4.24, 'time': 1.4666943550109863, 'cx_gates': 684, 'num_gates': 1104}","{'depth': 16.5, 'depth_ratio': 0.08, 'time': 0.363, 'cx_gates': 28.5, 'num_gates': 28.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,20
"{'depth': 873, 'depth_ratio': 3.97, 'time': 0.7033300399780273, 'cx_gates': 846, 'num_gates': 1286}","{'depth': 38.0, 'depth_ratio': 0.17, 'time': 0.4419, 'cx_gates': 48.0, 'num_gates': 48.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,21
"{'depth': 912, 'depth_ratio': 3.97, 'time': 0.7233960628509521, 'cx_gates': 882, 'num_gates': 1342}","{'depth': 42.5, 'depth_ratio': 0.18, 'time': 0.01329, 'cx_gates': 51.0, 'num_gates': 51.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,22
"{'depth': 1010, 'depth_ratio': 4.21, 'time': 0.7690491676330566, 'cx_gates': 810, 'num_gates': 1290}","{'depth': 1.0, 'depth_ratio': 0.005, 'time': 0.4261, 'cx_gates': 1.5, 'num_gates': 1.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,23
"{'depth': 1086, 'depth_ratio': 4.34, 'time': 1.672727108001709, 'cx_gates': 858, 'num_gates': 1358}","{'depth': 3.0, 'depth_ratio': 0.015, 'time': 0.4515, 'cx_gates': 1.5, 'num_gates': 1.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,24
"{'depth': 1082, 'depth_ratio': 4.16, 'time': 1.823441982269287, 'cx_gates': 1056, 'num_gates': 1576}","{'depth': 8.0, 'depth_ratio': 0.03, 'time': 0.4752, 'cx_gates': 94.5, 'num_gates': 94.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,25
"{'depth': 1137, 'depth_ratio': 4.21, 'time': 1.698028802871704, 'cx_gates': 876, 'num_gates': 1416}","{'depth': 18.0, 'depth_ratio': 0.065, 'time': 0.4238, 'cx_gates': 27.0, 'num_gates': 27.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,26
"{'depth': 1193, 'depth_ratio': 4.26, 'time': 0.8710799217224121, 'cx_gates': 942, 'num_gates': 1502}","{'depth': 23.5, 'depth_ratio': 0.085, 'time': 0.4694, 'cx_gates': 19.5, 'num_gates': 19.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,27
"{'depth': 1227, 'depth_ratio': 4.23, 'time': 1.8676459789276123, 'cx_gates': 960, 'num_gates': 1540}","{'depth': 1.5, 'depth_ratio': 0.005, 'time': 0.4785, 'cx_gates': 12.0, 'num_gates': 12.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,28
"{'depth': 1281, 'depth_ratio': 4.27, 'time': 0.941309928894043, 'cx_gates': 987, 'num_gates': 1587}","{'depth': 19.0, 'depth_ratio': 0.065, 'time': 0.4969, 'cx_gates': 33.0, 'num_gates': 33.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,29
"{'depth': 1343, 'depth_ratio': 4.33, 'time': 1.95809006690979, 'cx_gates': 1065, 'num_gates': 1685}","{'depth': 6.0, 'depth_ratio': 0.02, 'time': 0.4816, 'cx_gates': 4.5, 'num_gates': 4.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,30
"{'depth': 1280, 'depth_ratio': 4.0, 'time': 1.1197221279144287, 'cx_gates': 1254, 'num_gates': 1894}","{'depth': 58.5, 'depth_ratio': 0.185, 'time': 0.4086, 'cx_gates': 70.5, 'num_gates': 70.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,31
"{'depth': 1393, 'depth_ratio': 4.22, 'time': 1.9655358791351318, 'cx_gates': 1089, 'num_gates': 1749}","{'depth': 11.5, 'depth_ratio': 0.035, 'time': 0.4466, 'cx_gates': 9.0, 'num_gates': 9.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,32
"{'depth': 1453, 'depth_ratio': 4.27, 'time': 1.1155040264129639, 'cx_gates': 1161, 'num_gates': 1841}","{'depth': 10.0, 'depth_ratio': 0.03, 'time': 0.4684, 'cx_gates': 6.0, 'num_gates': 6.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,33
"{'depth': 1466, 'depth_ratio': 4.19, 'time': 2.0663647651672363, 'cx_gates': 1188, 'num_gates': 1888}","{'depth': 35.0, 'depth_ratio': 0.1, 'time': 0.4485, 'cx_gates': 15.0, 'num_gates': 15.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,34
"{'depth': 1583, 'depth_ratio': 4.4, 'time': 1.383533000946045, 'cx_gates': 1278, 'num_gates': 1998}","{'depth': 16.0, 'depth_ratio': 0.045, 'time': 0.3954, 'cx_gates': 0, 'num_gates': 0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,35
"{'depth': 1609, 'depth_ratio': 4.35, 'time': 2.1788840293884277, 'cx_gates': 1272, 'num_gates': 2012}","{'depth': 2.0, 'depth_ratio': 0.005, 'time': 0.4414, 'cx_gates': 13.5, 'num_gates': 13.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,36
"{'depth': 1670, 'depth_ratio': 4.39, 'time': 1.3705391883850098, 'cx_gates': 1353, 'num_gates': 2113}","{'depth': 5.5, 'depth_ratio': 0.015, 'time': 0.4348, 'cx_gates': 13.5, 'num_gates': 13.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,37
"{'depth': 1711, 'depth_ratio': 4.39, 'time': 1.367959976196289, 'cx_gates': 1368, 'num_gates': 2148}","{'depth': 2.5, 'depth_ratio': 0.005, 'time': 0.4525, 'cx_gates': 1.5, 'num_gates': 1.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,38
"{'depth': 1722, 'depth_ratio': 4.3, 'time': 2.340596914291382, 'cx_gates': 1380, 'num_gates': 2180}","{'depth': 16.0, 'depth_ratio': 0.04, 'time': 0.4522, 'cx_gates': 6.0, 'num_gates': 6.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,39
"{'depth': 1776, 'depth_ratio': 4.33, 'time': 1.4453320503234863, 'cx_gates': 1404, 'num_gates': 2224}","{'depth': 2.5, 'depth_ratio': 0.005, 'time': 0.4548, 'cx_gates': 16.5, 'num_gates': 16.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,40
"{'depth': 1852, 'depth_ratio': 4.41, 'time': 2.415846824645996, 'cx_gates': 1476, 'num_gates': 2316}","{'depth': 3.0, 'depth_ratio': 0.005, 'time': 0.4387, 'cx_gates': 12.0, 'num_gates': 12.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,41
"{'depth': 1878, 'depth_ratio': 4.37, 'time': 1.5269417762756348, 'cx_gates': 1479, 'num_gates': 2339}","{'depth': 34.0, 'depth_ratio': 0.08, 'time': 0.4758, 'cx_gates': 30.0, 'num_gates': 30.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,42
"{'depth': 1857, 'depth_ratio': 4.22, 'time': 2.7080929279327393, 'cx_gates': 1833, 'num_gates': 2713}","{'depth': 49.0, 'depth_ratio': 0.11, 'time': 0.5517, 'cx_gates': 136.5, 'num_gates': 136.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,43
"{'depth': 1974, 'depth_ratio': 4.39, 'time': 1.6759917736053467, 'cx_gates': 1569, 'num_gates': 2469}","{'depth': 8.0, 'depth_ratio': 0.015, 'time': 0.4688, 'cx_gates': 3.0, 'num_gates': 3.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,44
"{'depth': 2006, 'depth_ratio': 4.36, 'time': 2.6215529441833496, 'cx_gates': 1560, 'num_gates': 2480}","{'depth': 36.5, 'depth_ratio': 0.08, 'time': 0.4314, 'cx_gates': 49.5, 'num_gates': 49.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,45
"{'depth': 2049, 'depth_ratio': 4.36, 'time': 1.7690191268920898, 'cx_gates': 1611, 'num_gates': 2551}","{'depth': 27.0, 'depth_ratio': 0.055, 'time': 0.4429, 'cx_gates': 37.5, 'num_gates': 37.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,46
"{'depth': 2088, 'depth_ratio': 4.35, 'time': 2.708301067352295, 'cx_gates': 1653, 'num_gates': 2613}","{'depth': 28.5, 'depth_ratio': 0.06, 'time': 0.06141, 'cx_gates': 34.5, 'num_gates': 34.5}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,47
"{'depth': 2148, 'depth_ratio': 4.38, 'time': 1.8598639965057373, 'cx_gates': 1704, 'num_gates': 2684}","{'depth': 21.5, 'depth_ratio': 0.045, 'time': 0.05339, 'cx_gates': 27.0, 'num_gates': 27.0}",sabre_look_1_1_v0.20,sabre_0.20,hex_7,48
