best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 28, 'depth_ratio': 2.8, 'time': 0.030997037887573242, 'cx_gates': 18, 'num_gates': 38}","{'depth': 5.5, 'depth_ratio': 0.55, 'time': 0.0001786, 'cx_gates': 7.5, 'num_gates': 7.5}",sabre_look_1_2_v0.20,sabre_0.20,hex_7,0
"{'depth': 69, 'depth_ratio': 3.45, 'time': 0.07271885871887207, 'cx_gates': 57, 'num_gates': 97}","{'depth': 6.5, 'depth_ratio': 0.325, 'time': 0.006288, 'cx_gates': 0, 'num_gates': 0}",sabre_look_1_2_v0.20,sabre_0.20,hex_7,1
"{'depth': 120, 'depth_ratio': 4.0, 'time': 0.096099853515625, 'cx_gates': 90, 'num_gates': 150}","{'depth': 1.5, 'depth_ratio': 0.05, 'time': 0.001609, 'cx_gates': 0, 'num_gates': 0}",sabre_look_1_2_v0.20,sabre_0.20,hex_7,2
"{'depth': 180, 'depth_ratio': 4.5, 'time': 0.13367915153503418, 'cx_gates': 144, 'num_gates': 224}","{'depth': 2.0, 'depth_ratio': 0.05, 'time': 0.00111, 'cx_gates': 0, 'num_gates': 0}",sabre_look_1_2_v0.20,sabre_0.20,hex_7,3
"{'depth': 201, 'depth_ratio': 4.02, 'time': 0.17692184448242188, 'cx_gates': 198, 'num_gates': 298}","{'depth': 8.5, 'depth_ratio': 0.17, 'time': 0.004611, 'cx_gates': 13.5, 'num_gates': 13.5}",sabre_look_1_2_v0.20,sabre_0.20,hex_7,4
"{'depth': 249, 'depth_ratio': 4.15, 'time': 1.0945889949798584, 'cx_gates': 192, 'num_gates': 312}","{'depth': 13.0, 'depth_ratio': 0.215, 'time': 0.4389, 'cx_gates': 10.5, 'num_gates': 10.5}",sabre_look_1_2_v0.20,sabre_0.20,hex_7,5
"{'depth': 281, 'depth_ratio': 4.01, 'time': 0.23001384735107422, 'cx_gates': 222, 'num_gates': 362}","{'depth': 15.5, 'depth_ratio': 0.225, 'time': 0.009542, 'cx_gates': 9.0, 'num_gates': 9.0}",sabre_look_1_2_v0.20,sabre_0.20,hex_7,6
"{'depth': 331, 'depth_ratio': 4.14, 'time': 0.2686469554901123, 'cx_gates': 261, 'num_gates': 421}","{'depth': 15.5, 'depth_ratio': 0.195, 'time': 0.0133, 'cx_gates': 7.5, 'num_gates': 7.5}",sabre_look_1_2_v0.20,sabre_0.20,hex_7,7
"{'depth': 369, 'depth_ratio': 4.1, 'time': 0.31493401527404785, 'cx_gates': 291, 'num_gates': 471}","{'depth': 0, 'depth_ratio': 0, 'time': 5.853e-05, 'cx_gates': 0, 'num_gates': 0}",sabre_look_1_2_v0.20,sabre_0.20,hex_7,8
"{'depth': 407, 'depth_ratio': 4.07, 'time': 0.3600020408630371, 'cx_gates': 312, 'num_gates': 512}","{'depth': 2.5, 'depth_ratio': 0.025, 'time': 0.4616, 'cx_gates': 3.0, 'num_gates': 3.0}",sabre_look_1_2_v0.20,sabre_0.20,hex_7,9
