best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 28, 'depth_ratio': 2.8, 'time': 0.04042792320251465, 'cx_gates': 18, 'num_gates': 38}","{'depth': 3.382, 'depth_ratio': 0.3382, 'time': 0.004864, 'cx_gates': 2.4, 'num_gates': 2.4}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,0
"{'depth': 66, 'depth_ratio': 3.3, 'time': 0.1245419979095459, 'cx_gates': 51, 'num_gates': 91}","{'depth': 4.622, 'depth_ratio': 0.2311, 'time': 0.009125, 'cx_gates': 4.243, 'num_gates': 4.243}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,1
"{'depth': 112, 'depth_ratio': 3.73, 'time': 0.25194406509399414, 'cx_gates': 111, 'num_gates': 171}","{'depth': 8.158, 'depth_ratio': 0.2733, 'time': 0.03362, 'cx_gates': 6.462, 'num_gates': 6.462}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,2
"{'depth': 168, 'depth_ratio': 4.2, 'time': 0.3913719654083252, 'cx_gates': 177, 'num_gates': 257}","{'depth': 6.28, 'depth_ratio': 0.1569, 'time': 0.3624, 'cx_gates': 11.45, 'num_gates': 11.45}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,3
"{'depth': 194, 'depth_ratio': 3.88, 'time': 0.39183902740478516, 'cx_gates': 153, 'num_gates': 253}","{'depth': 8.612, 'depth_ratio': 0.1722, 'time': 0.04651, 'cx_gates': 19.95, 'num_gates': 19.95}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,4
"{'depth': 243, 'depth_ratio': 4.05, 'time': 0.5950908660888672, 'cx_gates': 231, 'num_gates': 351}","{'depth': 7.003, 'depth_ratio': 0.1163, 'time': 0.3323, 'cx_gates': 9.372, 'num_gates': 9.372}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,5
"{'depth': 291, 'depth_ratio': 4.16, 'time': 0.6768391132354736, 'cx_gates': 234, 'num_gates': 374}","{'depth': 10.89, 'depth_ratio': 0.1542, 'time': 0.04069, 'cx_gates': 13.68, 'num_gates': 13.68}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,6
"{'depth': 315, 'depth_ratio': 3.94, 'time': 0.9179062843322754, 'cx_gates': 309, 'num_gates': 469}","{'depth': 14.09, 'depth_ratio': 0.1758, 'time': 0.3602, 'cx_gates': 14.52, 'num_gates': 14.52}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,7
"{'depth': 366, 'depth_ratio': 4.07, 'time': 0.9716081619262695, 'cx_gates': 297, 'num_gates': 477}","{'depth': 7.139, 'depth_ratio': 0.07756, 'time': 0.3144, 'cx_gates': 26.22, 'num_gates': 26.22}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,8
"{'depth': 394, 'depth_ratio': 3.94, 'time': 0.9581911563873291, 'cx_gates': 312, 'num_gates': 512}","{'depth': 9.666, 'depth_ratio': 0.09666, 'time': 0.3313, 'cx_gates': 11.85, 'num_gates': 11.85}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,9
"{'depth': 436, 'depth_ratio': 3.96, 'time': 2.0279552936553955, 'cx_gates': 336, 'num_gates': 556}","{'depth': 11.53, 'depth_ratio': 0.1055, 'time': 0.3193, 'cx_gates': 14.27, 'num_gates': 14.27}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,10
"{'depth': 477, 'depth_ratio': 3.98, 'time': 2.381511926651001, 'cx_gates': 462, 'num_gates': 702}","{'depth': 18.74, 'depth_ratio': 0.1544, 'time': 0.4023, 'cx_gates': 30.26, 'num_gates': 30.26}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,11
"{'depth': 525, 'depth_ratio': 4.04, 'time': 1.4425108432769775, 'cx_gates': 411, 'num_gates': 671}","{'depth': 25.64, 'depth_ratio': 0.1971, 'time': 0.4239, 'cx_gates': 29.96, 'num_gates': 29.96}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,12
"{'depth': 568, 'depth_ratio': 4.06, 'time': 1.5577471256256104, 'cx_gates': 423, 'num_gates': 703}","{'depth': 17.65, 'depth_ratio': 0.1265, 'time': 0.3659, 'cx_gates': 48.02, 'num_gates': 48.02}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,13
"{'depth': 644, 'depth_ratio': 4.29, 'time': 1.9194750785827637, 'cx_gates': 522, 'num_gates': 822}","{'depth': 4.214, 'depth_ratio': 0.02713, 'time': 0.3517, 'cx_gates': 6.946, 'num_gates': 6.946}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,14
"{'depth': 649, 'depth_ratio': 4.06, 'time': 2.8656437397003174, 'cx_gates': 498, 'num_gates': 818}","{'depth': 16.07, 'depth_ratio': 0.1007, 'time': 0.4424, 'cx_gates': 29.21, 'num_gates': 29.21}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,15
"{'depth': 703, 'depth_ratio': 4.14, 'time': 2.222862958908081, 'cx_gates': 558, 'num_gates': 898}","{'depth': 15.91, 'depth_ratio': 0.09243, 'time': 0.08234, 'cx_gates': 13.99, 'num_gates': 13.99}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,16
"{'depth': 726, 'depth_ratio': 4.03, 'time': 2.8594419956207275, 'cx_gates': 705, 'num_gates': 1065}","{'depth': 26.67, 'depth_ratio': 0.1486, 'time': 0.4421, 'cx_gates': 35.77, 'num_gates': 35.77}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,17
"{'depth': 787, 'depth_ratio': 4.14, 'time': 2.688952922821045, 'cx_gates': 633, 'num_gates': 1013}","{'depth': 15.43, 'depth_ratio': 0.08285, 'time': 0.4271, 'cx_gates': 12.78, 'num_gates': 12.78}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,18
"{'depth': 834, 'depth_ratio': 4.17, 'time': 2.8144800662994385, 'cx_gates': 642, 'num_gates': 1042}","{'depth': 11.5, 'depth_ratio': 0.05776, 'time': 0.4925, 'cx_gates': 17.45, 'num_gates': 17.45}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,19
"{'depth': 867, 'depth_ratio': 4.13, 'time': 4.053177118301392, 'cx_gates': 678, 'num_gates': 1098}","{'depth': 9.478, 'depth_ratio': 0.044, 'time': 0.3271, 'cx_gates': 10.83, 'num_gates': 10.83}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,20
"{'depth': 926, 'depth_ratio': 4.21, 'time': 3.421199321746826, 'cx_gates': 720, 'num_gates': 1160}","{'depth': 6.573, 'depth_ratio': 0.03033, 'time': 0.3943, 'cx_gates': 75.73, 'num_gates': 75.73}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,21
"{'depth': 942, 'depth_ratio': 4.1, 'time': 3.4641730785369873, 'cx_gates': 729, 'num_gates': 1189}","{'depth': 11.57, 'depth_ratio': 0.0506, 'time': 0.6709, 'cx_gates': 84.74, 'num_gates': 84.74}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,22
"{'depth': 1008, 'depth_ratio': 4.2, 'time': 4.8033223152160645, 'cx_gates': 798, 'num_gates': 1278}","{'depth': 6.917, 'depth_ratio': 0.03059, 'time': 0.8122, 'cx_gates': 82.95, 'num_gates': 82.95}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,23
"{'depth': 1040, 'depth_ratio': 4.16, 'time': 5.06800389289856, 'cx_gates': 804, 'num_gates': 1304}","{'depth': 23.16, 'depth_ratio': 0.09187, 'time': 0.7799, 'cx_gates': 83.13, 'num_gates': 83.13}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,24
"{'depth': 1075, 'depth_ratio': 4.13, 'time': 5.241916179656982, 'cx_gates': 840, 'num_gates': 1360}","{'depth': 15.33, 'depth_ratio': 0.06053, 'time': 0.4648, 'cx_gates': 90.98, 'num_gates': 90.98}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,25
"{'depth': 1129, 'depth_ratio': 4.18, 'time': 5.52843713760376, 'cx_gates': 1107, 'num_gates': 1647}","{'depth': 23.97, 'depth_ratio': 0.08786, 'time': 0.4343, 'cx_gates': 76.99, 'num_gates': 76.99}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,26
"{'depth': 1166, 'depth_ratio': 4.16, 'time': 5.625478744506836, 'cx_gates': 933, 'num_gates': 1493}","{'depth': 16.06, 'depth_ratio': 0.06033, 'time': 0.3353, 'cx_gates': 14.87, 'num_gates': 14.87}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,27
"{'depth': 1228, 'depth_ratio': 4.23, 'time': 5.289361953735352, 'cx_gates': 984, 'num_gates': 1564}","{'depth': 13.42, 'depth_ratio': 0.04841, 'time': 0.3809, 'cx_gates': 19.12, 'num_gates': 19.12}",sabre_look_4_size_2_start_1_v0.20,sabre_0.20,hex_7,28
