best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 27, 'depth_ratio': 2.7, 'time': 0.0279996395111084, 'cx_gates': 21, 'num_gates': 41}","{'depth': 7.053, 'depth_ratio': 0.7053, 'time': 0.001422, 'cx_gates': 4.226, 'num_gates': 4.226}",sabre_look_5_v0.20,sabre_0.20,hex_7,10
"{'depth': 69, 'depth_ratio': 3.45, 'time': 0.060256004333496094, 'cx_gates': 57, 'num_gates': 97}","{'depth': 8.717, 'depth_ratio': 0.4358, 'time': 0.001388, 'cx_gates': 6.185, 'num_gates': 6.185}",sabre_look_5_v0.20,sabre_0.20,hex_7,20
"{'depth': 111, 'depth_ratio': 3.7, 'time': 0.09365296363830566, 'cx_gates': 105, 'num_gates': 165}","{'depth': 8.803, 'depth_ratio': 0.2936, 'time': 0.2759, 'cx_gates': 7.491, 'num_gates': 7.491}",sabre_look_5_v0.20,sabre_0.20,hex_7,30
"{'depth': 163, 'depth_ratio': 4.08, 'time': 0.13179707527160645, 'cx_gates': 162, 'num_gates': 242}","{'depth': 8.328, 'depth_ratio': 0.2065, 'time': 0.002696, 'cx_gates': 13.89, 'num_gates': 13.89}",sabre_look_5_v0.20,sabre_0.20,hex_7,40
"{'depth': 190, 'depth_ratio': 3.8, 'time': 0.1595749855041504, 'cx_gates': 192, 'num_gates': 292}","{'depth': 9.247, 'depth_ratio': 0.1849, 'time': 0.2751, 'cx_gates': 22.32, 'num_gates': 22.32}",sabre_look_5_v0.20,sabre_0.20,hex_7,50
"{'depth': 247, 'depth_ratio': 4.12, 'time': 1.0343751907348633, 'cx_gates': 243, 'num_gates': 363}","{'depth': 8.215, 'depth_ratio': 0.135, 'time': 0.2798, 'cx_gates': 18.72, 'num_gates': 18.72}",sabre_look_5_v0.20,sabre_0.20,hex_7,60
"{'depth': 258, 'depth_ratio': 3.69, 'time': 0.2235701084136963, 'cx_gates': 252, 'num_gates': 392}","{'depth': 16.22, 'depth_ratio': 0.23, 'time': 0.003599, 'cx_gates': 7.348, 'num_gates': 7.348}",sabre_look_5_v0.20,sabre_0.20,hex_7,70
"{'depth': 298, 'depth_ratio': 3.73, 'time': 0.2552981376647949, 'cx_gates': 291, 'num_gates': 451}","{'depth': 19.37, 'depth_ratio': 0.2408, 'time': 0.2734, 'cx_gates': 19.84, 'num_gates': 19.84}",sabre_look_5_v0.20,sabre_0.20,hex_7,80
"{'depth': 366, 'depth_ratio': 4.07, 'time': 0.27694201469421387, 'cx_gates': 279, 'num_gates': 459}","{'depth': 7.761, 'depth_ratio': 0.08601, 'time': 0.2818, 'cx_gates': 35.74, 'num_gates': 35.74}",sabre_look_5_v0.20,sabre_0.20,hex_7,90
"{'depth': 359, 'depth_ratio': 3.59, 'time': 0.32165074348449707, 'cx_gates': 345, 'num_gates': 545}","{'depth': 19.1, 'depth_ratio': 0.191, 'time': 0.2865, 'cx_gates': 12.53, 'num_gates': 12.53}",sabre_look_5_v0.20,sabre_0.20,hex_7,100
"{'depth': 441, 'depth_ratio': 4.01, 'time': 1.1987040042877197, 'cx_gates': 333, 'num_gates': 553}","{'depth': 9.246, 'depth_ratio': 0.08253, 'time': 0.2829, 'cx_gates': 29.42, 'num_gates': 29.42}",sabre_look_5_v0.20,sabre_0.20,hex_7,110
