best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 31, 'depth_ratio': 3.1, 'time': 0.025259733200073242, 'cx_gates': 24, 'num_gates': 44}","{'depth': 2.227, 'depth_ratio': 0.2227, 'time': 0.0002613, 'cx_gates': 1.2, 'num_gates': 1.2}",sabre_v020_depth,sabre_v020,hex_7,0
"{'depth': 76, 'depth_ratio': 3.8, 'time': 0.04898476600646973, 'cx_gates': 69, 'num_gates': 109}","{'depth': 5.762, 'depth_ratio': 0.2881, 'time': 0.0003567, 'cx_gates': 1.2, 'num_gates': 1.2}",sabre_v020_depth,sabre_v020,hex_7,1
"{'depth': 110, 'depth_ratio': 3.67, 'time': 0.07283425331115723, 'cx_gates': 102, 'num_gates': 162}","{'depth': 9.453, 'depth_ratio': 0.3132, 'time': 0.001025, 'cx_gates': 14.12, 'num_gates': 14.12}",sabre_v020_depth,sabre_v020,hex_7,2
"{'depth': 163, 'depth_ratio': 4.08, 'time': 0.09904694557189941, 'cx_gates': 162, 'num_gates': 242}","{'depth': 10.32, 'depth_ratio': 0.2578, 'time': 0.001001, 'cx_gates': 11.94, 'num_gates': 11.94}",sabre_v020_depth,sabre_v020,hex_7,3
"{'depth': 183, 'depth_ratio': 3.66, 'time': 0.12059473991394043, 'cx_gates': 177, 'num_gates': 277}","{'depth': 22.89, 'depth_ratio': 0.4578, 'time': 0.001397, 'cx_gates': 3.499, 'num_gates': 3.499}",sabre_v020_depth,sabre_v020,hex_7,4
"{'depth': 218, 'depth_ratio': 3.63, 'time': 0.14464116096496582, 'cx_gates': 207, 'num_gates': 327}","{'depth': 26.84, 'depth_ratio': 0.4471, 'time': 0.002085, 'cx_gates': 9.6, 'num_gates': 9.6}",sabre_v020_depth,sabre_v020,hex_7,5
"{'depth': 292, 'depth_ratio': 4.17, 'time': 0.16791510581970215, 'cx_gates': 228, 'num_gates': 368}","{'depth': 9.33, 'depth_ratio': 0.134, 'time': 0.301, 'cx_gates': 37.01, 'num_gates': 37.01}",sabre_v020_depth,sabre_v020,hex_7,6
"{'depth': 329, 'depth_ratio': 4.11, 'time': 0.19739103317260742, 'cx_gates': 321, 'num_gates': 481}","{'depth': 1.47, 'depth_ratio': 0.01855, 'time': 0.3008, 'cx_gates': 27.73, 'num_gates': 27.73}",sabre_v020_depth,sabre_v020,hex_7,7
"{'depth': 332, 'depth_ratio': 3.69, 'time': 0.22028589248657227, 'cx_gates': 327, 'num_gates': 507}","{'depth': 20.71, 'depth_ratio': 0.229, 'time': 0.002639, 'cx_gates': 29.0, 'num_gates': 29.0}",sabre_v020_depth,sabre_v020,hex_7,8
"{'depth': 396, 'depth_ratio': 3.96, 'time': 0.24861621856689453, 'cx_gates': 384, 'num_gates': 584}","{'depth': 16.17, 'depth_ratio': 0.1617, 'time': 0.3011, 'cx_gates': 23.39, 'num_gates': 23.39}",sabre_v020_depth,sabre_v020,hex_7,9
"{'depth': 430, 'depth_ratio': 3.91, 'time': 0.27990221977233887, 'cx_gates': 417, 'num_gates': 637}","{'depth': 28.67, 'depth_ratio': 0.2581, 'time': 0.3319, 'cx_gates': 23.27, 'num_gates': 23.27}",sabre_v020_depth,sabre_v020,hex_7,10
