best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 27, 'depth_ratio': 2.7, 'time': 0.026217937469482422, 'cx_gates': 21, 'num_gates': 41}","{'depth': 6.771, 'depth_ratio': 0.6771, 'time': 0.0002128, 'cx_gates': 2.939, 'num_gates': 2.939}",sabre_v020_extended,sabre_v020,hex_7,0
"{'depth': 62, 'depth_ratio': 3.1, 'time': 0.0519869327545166, 'cx_gates': 48, 'num_gates': 88}","{'depth': 4.308, 'depth_ratio': 0.2154, 'time': 0.0003369, 'cx_gates': 5.02, 'num_gates': 5.02}",sabre_v020_extended,sabre_v020,hex_7,1
"{'depth': 115, 'depth_ratio': 3.83, 'time': 0.08005523681640625, 'cx_gates': 87, 'num_gates': 147}","{'depth': 4.75, 'depth_ratio': 0.1582, 'time': 0.001187, 'cx_gates': 11.48, 'num_gates': 11.48}",sabre_v020_extended,sabre_v020,hex_7,2
"{'depth': 145, 'depth_ratio': 3.62, 'time': 0.10884213447570801, 'cx_gates': 108, 'num_gates': 188}","{'depth': 16.6, 'depth_ratio': 0.4181, 'time': 0.003103, 'cx_gates': 23.52, 'num_gates': 23.52}",sabre_v020_extended,sabre_v020,hex_7,3
"{'depth': 191, 'depth_ratio': 3.82, 'time': 0.9319260120391846, 'cx_gates': 171, 'num_gates': 271}","{'depth': 15.53, 'depth_ratio': 0.3106, 'time': 0.3199, 'cx_gates': 10.04, 'num_gates': 10.04}",sabre_v020_extended,sabre_v020,hex_7,4
"{'depth': 235, 'depth_ratio': 3.92, 'time': 0.1620347499847412, 'cx_gates': 207, 'num_gates': 327}","{'depth': 14.08, 'depth_ratio': 0.2341, 'time': 0.002251, 'cx_gates': 9.372, 'num_gates': 9.372}",sabre_v020_extended,sabre_v020,hex_7,5
"{'depth': 260, 'depth_ratio': 3.71, 'time': 0.1791999340057373, 'cx_gates': 189, 'num_gates': 329}","{'depth': 13.3, 'depth_ratio': 0.1906, 'time': 0.006276, 'cx_gates': 24.96, 'num_gates': 24.96}",sabre_v020_extended,sabre_v020,hex_7,6
"{'depth': 283, 'depth_ratio': 3.54, 'time': 0.19970011711120605, 'cx_gates': 204, 'num_gates': 364}","{'depth': 12.6, 'depth_ratio': 0.1552, 'time': 0.3375, 'cx_gates': 35.83, 'num_gates': 35.83}",sabre_v020_extended,sabre_v020,hex_7,7
"{'depth': 338, 'depth_ratio': 3.76, 'time': 0.26219797134399414, 'cx_gates': 312, 'num_gates': 492}","{'depth': 7.864, 'depth_ratio': 0.08612, 'time': 0.01062, 'cx_gates': 28.69, 'num_gates': 28.69}",sabre_v020_extended,sabre_v020,hex_7,8
"{'depth': 358, 'depth_ratio': 3.58, 'time': 0.2536938190460205, 'cx_gates': 255, 'num_gates': 455}","{'depth': 8.998, 'depth_ratio': 0.08998, 'time': 0.3474, 'cx_gates': 38.21, 'num_gates': 38.21}",sabre_v020_extended,sabre_v020,hex_7,9
"{'depth': 413, 'depth_ratio': 3.75, 'time': 0.32080984115600586, 'cx_gates': 363, 'num_gates': 583}","{'depth': 16.44, 'depth_ratio': 0.1519, 'time': 0.3418, 'cx_gates': 29.12, 'num_gates': 29.12}",sabre_v020_extended,sabre_v020,hex_7,10
