best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 27, 'depth_ratio': 2.7, 'time': 0.07981729507446289, 'cx_gates': 21, 'num_gates': 41}","{'depth': 3.919, 'depth_ratio': 0.3919, 'time': 0.009382, 'cx_gates': 1.897, 'num_gates': 1.897}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,0
"{'depth': 60, 'depth_ratio': 3.0, 'time': 0.18227815628051758, 'cx_gates': 51, 'num_gates': 91}","{'depth': 9.968, 'depth_ratio': 0.4984, 'time': 0.01211, 'cx_gates': 2.939, 'num_gates': 2.939}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,1
"{'depth': 104, 'depth_ratio': 3.47, 'time': 0.3172569274902344, 'cx_gates': 99, 'num_gates': 159}","{'depth': 4.4, 'depth_ratio': 0.144, 'time': 0.001312, 'cx_gates': 6.0, 'num_gates': 6.0}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,2
"{'depth': 147, 'depth_ratio': 3.67, 'time': 0.467144250869751, 'cx_gates': 144, 'num_gates': 224}","{'depth': 11.76, 'depth_ratio': 0.2988, 'time': 0.01197, 'cx_gates': 5.879, 'num_gates': 5.879}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,3
"{'depth': 172, 'depth_ratio': 3.44, 'time': 1.4629597663879395, 'cx_gates': 171, 'num_gates': 271}","{'depth': 17.46, 'depth_ratio': 0.3492, 'time': 0.3609, 'cx_gates': 5.499, 'num_gates': 5.499}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,4
"{'depth': 224, 'depth_ratio': 3.73, 'time': 0.7040970325469971, 'cx_gates': 213, 'num_gates': 333}","{'depth': 14.0, 'depth_ratio': 0.236, 'time': 0.01671, 'cx_gates': 6.0, 'num_gates': 6.0}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,5
"{'depth': 248, 'depth_ratio': 3.54, 'time': 0.7295560836791992, 'cx_gates': 183, 'num_gates': 323}","{'depth': 6.911, 'depth_ratio': 0.1011, 'time': 0.3903, 'cx_gates': 28.5, 'num_gates': 28.5}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,6
"{'depth': 298, 'depth_ratio': 3.73, 'time': 0.8571479320526123, 'cx_gates': 222, 'num_gates': 382}","{'depth': 2.757, 'depth_ratio': 0.032, 'time': 0.4007, 'cx_gates': 33.08, 'num_gates': 33.08}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,7
"{'depth': 337, 'depth_ratio': 3.74, 'time': 1.0869550704956055, 'cx_gates': 321, 'num_gates': 501}","{'depth': 2.332, 'depth_ratio': 0.02757, 'time': 0.02987, 'cx_gates': 25.2, 'num_gates': 25.2}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,8
"{'depth': 354, 'depth_ratio': 3.54, 'time': 1.1208040714263916, 'cx_gates': 255, 'num_gates': 455}","{'depth': 12.94, 'depth_ratio': 0.1294, 'time': 0.05645, 'cx_gates': 51.88, 'num_gates': 51.88}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,9
"{'depth': 385, 'depth_ratio': 3.5, 'time': 1.2004098892211914, 'cx_gates': 267, 'num_gates': 487}","{'depth': 14.54, 'depth_ratio': 0.1308, 'time': 0.4226, 'cx_gates': 59.53, 'num_gates': 59.53}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,10
"{'depth': 424, 'depth_ratio': 3.53, 'time': 2.270272970199585, 'cx_gates': 300, 'num_gates': 540}","{'depth': 9.033, 'depth_ratio': 0.07772, 'time': 0.3405, 'cx_gates': 57.32, 'num_gates': 57.32}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,11
"{'depth': 460, 'depth_ratio': 3.54, 'time': 1.404742956161499, 'cx_gates': 330, 'num_gates': 590}","{'depth': 11.69, 'depth_ratio': 0.09042, 'time': 87.12, 'cx_gates': 45.47, 'num_gates': 45.47}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,12
"{'depth': 508, 'depth_ratio': 3.63, 'time': 1.4944870471954346, 'cx_gates': 351, 'num_gates': 631}","{'depth': 6.859, 'depth_ratio': 0.04883, 'time': 10.98, 'cx_gates': 52.8, 'num_gates': 52.8}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,13
"{'depth': 543, 'depth_ratio': 3.62, 'time': 1.6120259761810303, 'cx_gates': 372, 'num_gates': 672}","{'depth': 9.952, 'depth_ratio': 0.06573, 'time': 409.2, 'cx_gates': 72.01, 'num_gates': 72.01}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,14
"{'depth': 579, 'depth_ratio': 3.62, 'time': 1.7694058418273926, 'cx_gates': 390, 'num_gates': 710}","{'depth': 6.573, 'depth_ratio': 0.04261, 'time': 86.13, 'cx_gates': 72.54, 'num_gates': 72.54}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,15
"{'depth': 618, 'depth_ratio': 3.64, 'time': 1.8429579734802246, 'cx_gates': 423, 'num_gates': 763}","{'depth': 4.49, 'depth_ratio': 0.024, 'time': 56.77, 'cx_gates': 69.49, 'num_gates': 69.49}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,16
"{'depth': 651, 'depth_ratio': 3.62, 'time': 1.942176103591919, 'cx_gates': 438, 'num_gates': 798}","{'depth': 9.2, 'depth_ratio': 0.048, 'time': 6.644, 'cx_gates': 69.6, 'num_gates': 69.6}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,17
"{'depth': 672, 'depth_ratio': 3.54, 'time': 3.0697219371795654, 'cx_gates': 627, 'num_gates': 1007}","{'depth': 4.673, 'depth_ratio': 0.02366, 'time': 6.175, 'cx_gates': 65.44, 'num_gates': 65.44}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,18
"{'depth': 722, 'depth_ratio': 3.61, 'time': 2.1841049194335938, 'cx_gates': 483, 'num_gates': 883}","{'depth': 1.833, 'depth_ratio': 0.007483, 'time': 99.19, 'cx_gates': 83.77, 'num_gates': 83.77}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,19
"{'depth': 746, 'depth_ratio': 3.55, 'time': 2.5477800369262695, 'cx_gates': 687, 'num_gates': 1107}","{'depth': 8.98, 'depth_ratio': 0.0449, 'time': 0.4634, 'cx_gates': 64.86, 'num_gates': 64.86}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,20
"{'depth': 810, 'depth_ratio': 3.68, 'time': 3.6574437618255615, 'cx_gates': 738, 'num_gates': 1178}","{'depth': 5.269, 'depth_ratio': 0.024, 'time': 0.5051, 'cx_gates': 76.36, 'num_gates': 76.36}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,21
"{'depth': 840, 'depth_ratio': 3.65, 'time': 2.780822992324829, 'cx_gates': 768, 'num_gates': 1228}","{'depth': 7.054, 'depth_ratio': 0.03187, 'time': 0.3141, 'cx_gates': 88.98, 'num_gates': 88.98}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,22
"{'depth': 895, 'depth_ratio': 3.73, 'time': 3.716028928756714, 'cx_gates': 612, 'num_gates': 1092}","{'depth': 5.913, 'depth_ratio': 0.02227, 'time': 0.4456, 'cx_gates': 104.4, 'num_gates': 104.4}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,23
"{'depth': 925, 'depth_ratio': 3.7, 'time': 3.051650047302246, 'cx_gates': 849, 'num_gates': 1349}","{'depth': 13.93, 'depth_ratio': 0.05535, 'time': 0.4426, 'cx_gates': 98.39, 'num_gates': 98.39}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,24
"{'depth': 982, 'depth_ratio': 3.78, 'time': 3.2678420543670654, 'cx_gates': 897, 'num_gates': 1417}","{'depth': 6.119, 'depth_ratio': 0.02154, 'time': 0.4463, 'cx_gates': 103.0, 'num_gates': 103.0}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,25
"{'depth': 1021, 'depth_ratio': 3.78, 'time': 3.476778984069824, 'cx_gates': 951, 'num_gates': 1491}","{'depth': 5.238, 'depth_ratio': 0.0196, 'time': 0.4003, 'cx_gates': 91.24, 'num_gates': 91.24}",sabre_v020_look_3_beam_10,sabre_v020,hex_7,26
