best_data,std_dev,routing pass,layout pass,coupling map,beam
"{'depth': 662, 'depth_ratio': 6.65, 'time': 0.2513899803161621, 'cx_gates': 1182, 'num_gates': 1183}","{'depth': 38.62, 'depth_ratio': 0.3862, 'time': 0.01576, 'cx_gates': 100.4, 'num_gates': 100.4}",sabre_v020,sabre_v020,hex_127,0
"{'depth': 324, 'depth_ratio': 3.24, 'time': 8.62171196937561, 'cx_gates': 1647, 'num_gates': 1648}","{'depth': 12.98, 'depth_ratio': 0.1298, 'time': 0.6973, 'cx_gates': 268.9, 'num_gates': 268.9}",sabre_v020_look_05_beam_10,sabre_v020,hex_127,10
"{'depth': 308, 'depth_ratio': 3.08, 'time': 22.304646015167236, 'cx_gates': 1563, 'num_gates': 1564}","{'depth': 14.55, 'depth_ratio': 0.1455, 'time': 2.716, 'cx_gates': 384.3, 'num_gates': 384.3}",sabre_v020_look_05_beam_20,sabre_v020,hex_127,20
"{'depth': 298, 'depth_ratio': 2.98, 'time': 34.926905155181885, 'cx_gates': 1899, 'num_gates': 1900}","{'depth': 14.32, 'depth_ratio': 0.1432, 'time': 3.178, 'cx_gates': 334.3, 'num_gates': 334.3}",sabre_v020_look_05_beam_30,sabre_v020,hex_127,30
"{'depth': 297, 'depth_ratio': 2.97, 'time': 48.264338970184326, 'cx_gates': 1473, 'num_gates': 1474}","{'depth': 21.21, 'depth_ratio': 0.2121, 'time': 3.585, 'cx_gates': 199.3, 'num_gates': 199.3}",sabre_v020_look_05_beam_40,sabre_v020,hex_127,40
"{'depth': 295, 'depth_ratio': 2.95, 'time': 64.11808896064758, 'cx_gates': 1770, 'num_gates': 1771}","{'depth': 27.55, 'depth_ratio': 0.2755, 'time': 4.613, 'cx_gates': 357.8, 'num_gates': 357.8}",sabre_v020_look_05_beam_50,sabre_v020,hex_127,50
"{'depth': 311, 'depth_ratio': 3.11, 'time': 66.05894923210144, 'cx_gates': 1539, 'num_gates': 1540}","{'depth': 13.44, 'depth_ratio': 0.1344, 'time': 2.773, 'cx_gates': 298.9, 'num_gates': 298.9}",sabre_v020_look_05_beam_60,sabre_v020,hex_127,60
"{'depth': 311, 'depth_ratio': 3.11, 'time': 85.09539890289307, 'cx_gates': 1539, 'num_gates': 1540}","{'depth': 15.1, 'depth_ratio': 0.151, 'time': 2.84, 'cx_gates': 311.1, 'num_gates': 311.1}",sabre_v020_look_05_beam_70,sabre_v020,hex_127,70
"{'depth': 344, 'depth_ratio': 3.44, 'time': 96.99217104911804, 'cx_gates': 885, 'num_gates': 886}","{'depth': 9.704, 'depth_ratio': 0.09704, 'time': 6.277, 'cx_gates': 449.7, 'num_gates': 449.7}",sabre_v020_look_05_beam_80,sabre_v020,hex_127,80
"{'depth': 344, 'depth_ratio': 3.44, 'time': 117.98113632202148, 'cx_gates': 885, 'num_gates': 886}","{'depth': 9.704, 'depth_ratio': 0.09704, 'time': 7.397, 'cx_gates': 449.7, 'num_gates': 449.7}",sabre_v020_look_05_beam_90,sabre_v020,hex_127,90
"{'depth': 344, 'depth_ratio': 3.44, 'time': 138.0877170562744, 'cx_gates': 885, 'num_gates': 886}","{'depth': 9.704, 'depth_ratio': 0.09704, 'time': 8.533, 'cx_gates': 449.7, 'num_gates': 449.7}",sabre_v020_look_05_beam_100,sabre_v020,hex_127,100
"{'depth': 344, 'depth_ratio': 3.44, 'time': 156.0452811717987, 'cx_gates': 885, 'num_gates': 886}","{'depth': 9.704, 'depth_ratio': 0.09704, 'time': 10.33, 'cx_gates': 449.7, 'num_gates': 449.7}",sabre_v020_look_05_beam_110,sabre_v020,hex_127,110
"{'depth': 344, 'depth_ratio': 3.44, 'time': 174.4506266117096, 'cx_gates': 885, 'num_gates': 886}","{'depth': 9.704, 'depth_ratio': 0.09704, 'time': 10.43, 'cx_gates': 449.7, 'num_gates': 449.7}",sabre_v020_look_05_beam_120,sabre_v020,hex_127,120
"{'depth': 344, 'depth_ratio': 3.44, 'time': 187.52587485313416, 'cx_gates': 885, 'num_gates': 886}","{'depth': 9.704, 'depth_ratio': 0.09704, 'time': 10.77, 'cx_gates': 449.7, 'num_gates': 449.7}",sabre_v020_look_05_beam_130,sabre_v020,hex_127,130
"{'depth': 344, 'depth_ratio': 3.44, 'time': 209.0024356842041, 'cx_gates': 885, 'num_gates': 886}","{'depth': 9.704, 'depth_ratio': 0.09704, 'time': 13.06, 'cx_gates': 449.7, 'num_gates': 449.7}",sabre_v020_look_05_beam_140,sabre_v020,hex_127,140
"{'depth': 344, 'depth_ratio': 3.44, 'time': 222.2949550151825, 'cx_gates': 885, 'num_gates': 886}","{'depth': 9.704, 'depth_ratio': 0.09704, 'time': 12.47, 'cx_gates': 449.7, 'num_gates': 449.7}",sabre_v020_look_05_beam_150,sabre_v020,hex_127,150
"{'depth': 344, 'depth_ratio': 3.44, 'time': 241.78628206253052, 'cx_gates': 885, 'num_gates': 886}","{'depth': 9.704, 'depth_ratio': 0.09704, 'time': 14.56, 'cx_gates': 449.7, 'num_gates': 449.7}",sabre_v020_look_05_beam_160,sabre_v020,hex_127,160
"{'depth': 344, 'depth_ratio': 3.44, 'time': 255.47539687156677, 'cx_gates': 885, 'num_gates': 886}","{'depth': 14.01, 'depth_ratio': 0.1401, 'time': 13.86, 'cx_gates': 464.4, 'num_gates': 464.4}",sabre_v020_look_05_beam_170,sabre_v020,hex_127,170
"{'depth': 323, 'depth_ratio': 3.23, 'time': 312.52731919288635, 'cx_gates': 1260, 'num_gates': 1261}","{'depth': 12.21, 'depth_ratio': 0.1221, 'time': 16.11, 'cx_gates': 356.0, 'num_gates': 356.0}",sabre_v020_look_05_beam_180,sabre_v020,hex_127,180
