best_data,std_dev,routing pass,layout pass,coupling map,beam
"{'depth': 662, 'depth_ratio': 6.65, 'time': 0.2513899803161621, 'cx_gates': 1182, 'num_gates': 1183}","{'depth': 38.62, 'depth_ratio': 0.3862, 'time': 0.01576, 'cx_gates': 100.4, 'num_gates': 100.4}",sabre_v020,sabre_v020,hex_127,0
"{'depth': 655, 'depth_ratio': 6.55, 'time': 0.48471498489379883, 'cx_gates': 1107, 'num_gates': 1108}","{'depth': 21.66, 'depth_ratio': 0.2166, 'time': 0.04383, 'cx_gates': 58.28, 'num_gates': 58.28}",sabre_v020_tree_look_05_beam_01,sabre_v020,hex_127,1
"{'depth': 655, 'depth_ratio': 6.55, 'time': 0.8023922443389893, 'cx_gates': 1107, 'num_gates': 1108}","{'depth': 21.66, 'depth_ratio': 0.2166, 'time': 0.073, 'cx_gates': 58.28, 'num_gates': 58.28}",sabre_v020_tree_look_05_beam_02,sabre_v020,hex_127,2
"{'depth': 648, 'depth_ratio': 6.48, 'time': 1.1196463108062744, 'cx_gates': 1107, 'num_gates': 1108}","{'depth': 22.17, 'depth_ratio': 0.2217, 'time': 0.1236, 'cx_gates': 49.37, 'num_gates': 49.37}",sabre_v020_tree_look_05_beam_03,sabre_v020,hex_127,3
"{'depth': 648, 'depth_ratio': 6.48, 'time': 1.5437500476837158, 'cx_gates': 1107, 'num_gates': 1108}","{'depth': 22.17, 'depth_ratio': 0.2217, 'time': 0.1114, 'cx_gates': 49.37, 'num_gates': 49.37}",sabre_v020_tree_look_05_beam_04,sabre_v020,hex_127,4
"{'depth': 648, 'depth_ratio': 6.48, 'time': 1.8037490844726562, 'cx_gates': 1107, 'num_gates': 1108}","{'depth': 21.7, 'depth_ratio': 0.217, 'time': 0.1344, 'cx_gates': 31.58, 'num_gates': 31.58}",sabre_v020_tree_look_05_beam_05,sabre_v020,hex_127,5
"{'depth': 648, 'depth_ratio': 6.48, 'time': 2.0308799743652344, 'cx_gates': 1107, 'num_gates': 1108}","{'depth': 17.87, 'depth_ratio': 0.1787, 'time': 0.1783, 'cx_gates': 53.11, 'num_gates': 53.11}",sabre_v020_tree_look_05_beam_06,sabre_v020,hex_127,6
"{'depth': 647, 'depth_ratio': 6.47, 'time': 2.6107828617095947, 'cx_gates': 1086, 'num_gates': 1087}","{'depth': 17.74, 'depth_ratio': 0.1774, 'time': 0.2117, 'cx_gates': 53.91, 'num_gates': 53.91}",sabre_v020_tree_look_05_beam_07,sabre_v020,hex_127,7
"{'depth': 648, 'depth_ratio': 6.48, 'time': 2.5711848735809326, 'cx_gates': 1107, 'num_gates': 1108}","{'depth': 17.15, 'depth_ratio': 0.1715, 'time': 0.2357, 'cx_gates': 53.11, 'num_gates': 53.11}",sabre_v020_tree_look_05_beam_08,sabre_v020,hex_127,8
"{'depth': 647, 'depth_ratio': 6.47, 'time': 3.1592888832092285, 'cx_gates': 1086, 'num_gates': 1087}","{'depth': 17.74, 'depth_ratio': 0.1774, 'time': 0.2311, 'cx_gates': 53.91, 'num_gates': 53.91}",sabre_v020_tree_look_05_beam_09,sabre_v020,hex_127,9
"{'depth': 647, 'depth_ratio': 6.47, 'time': 3.4336650371551514, 'cx_gates': 1086, 'num_gates': 1087}","{'depth': 17.74, 'depth_ratio': 0.1774, 'time': 0.2602, 'cx_gates': 53.91, 'num_gates': 53.91}",sabre_v020_tree_look_05_beam_10,sabre_v020,hex_127,10
"{'depth': 644, 'depth_ratio': 6.44, 'time': 6.336409091949463, 'cx_gates': 1086, 'num_gates': 1087}","{'depth': 15.6, 'depth_ratio': 0.156, 'time': 0.4738, 'cx_gates': 55.34, 'num_gates': 55.34}",sabre_v020_tree_look_05_beam_20,sabre_v020,hex_127,20
"{'depth': 644, 'depth_ratio': 6.44, 'time': 7.604166269302368, 'cx_gates': 1107, 'num_gates': 1108}","{'depth': 15.0, 'depth_ratio': 0.15, 'time': 0.7724, 'cx_gates': 54.52, 'num_gates': 54.52}",sabre_v020_tree_look_05_beam_30,sabre_v020,hex_127,30
"{'depth': 644, 'depth_ratio': 6.44, 'time': 11.210651159286499, 'cx_gates': 1086, 'num_gates': 1087}","{'depth': 15.73, 'depth_ratio': 0.1573, 'time': 0.83, 'cx_gates': 55.34, 'num_gates': 55.34}",sabre_v020_tree_look_05_beam_40,sabre_v020,hex_127,40
"{'depth': 644, 'depth_ratio': 6.44, 'time': 13.175018072128296, 'cx_gates': 1086, 'num_gates': 1087}","{'depth': 15.73, 'depth_ratio': 0.1573, 'time': 0.854, 'cx_gates': 55.34, 'num_gates': 55.34}",sabre_v020_tree_look_05_beam_50,sabre_v020,hex_127,50
"{'depth': 644, 'depth_ratio': 6.44, 'time': 15.035148859024048, 'cx_gates': 1086, 'num_gates': 1087}","{'depth': 15.49, 'depth_ratio': 0.1549, 'time': 1.036, 'cx_gates': 55.34, 'num_gates': 55.34}",sabre_v020_tree_look_05_beam_60,sabre_v020,hex_127,60
"{'depth': 644, 'depth_ratio': 6.44, 'time': 16.79153609275818, 'cx_gates': 1086, 'num_gates': 1087}","{'depth': 15.49, 'depth_ratio': 0.1549, 'time': 0.9925, 'cx_gates': 55.34, 'num_gates': 55.34}",sabre_v020_tree_look_05_beam_70,sabre_v020,hex_127,70
