best_data,std_dev,routing pass,layout pass,coupling map,lookahead
"{'depth': 662, 'depth_ratio': 6.65, 'time': 0.2513899803161621, 'cx_gates': 1182, 'num_gates': 1183}","{'depth': 38.62, 'depth_ratio': 0.3862, 'time': 0.01576, 'cx_gates': 100.4, 'num_gates': 100.4}",sabre_v020,sabre_v020,hex_127,0
"{'depth': 662, 'depth_ratio': 6.62, 'time': 0.13145685195922852, 'cx_gates': 1134, 'num_gates': 1135}","{'depth': 26.84, 'depth_ratio': 0.2684, 'time': 0.02974, 'cx_gates': 29.73, 'num_gates': 29.73}",sabre_v020_tree_look_01_beam_10,sabre_v020,hex_127,1
"{'depth': 651, 'depth_ratio': 6.51, 'time': 0.5598790645599365, 'cx_gates': 1107, 'num_gates': 1108}","{'depth': 21.05, 'depth_ratio': 0.2105, 'time': 0.0887, 'cx_gates': 43.04, 'num_gates': 43.04}",sabre_v020_tree_look_02_beam_10,sabre_v020,hex_127,2
"{'depth': 648, 'depth_ratio': 6.48, 'time': 1.4447102546691895, 'cx_gates': 1107, 'num_gates': 1108}","{'depth': 18.41, 'depth_ratio': 0.1841, 'time': 0.1329, 'cx_gates': 54.68, 'num_gates': 54.68}",sabre_v020_tree_look_03_beam_10,sabre_v020,hex_127,3
"{'depth': 647, 'depth_ratio': 6.47, 'time': 2.563774824142456, 'cx_gates': 1086, 'num_gates': 1087}","{'depth': 19.42, 'depth_ratio': 0.1942, 'time': 0.2161, 'cx_gates': 55.47, 'num_gates': 55.47}",sabre_v020_tree_look_04_beam_10,sabre_v020,hex_127,4
"{'depth': 647, 'depth_ratio': 6.47, 'time': 3.4336650371551514, 'cx_gates': 1086, 'num_gates': 1087}","{'depth': 17.74, 'depth_ratio': 0.1774, 'time': 0.2602, 'cx_gates': 53.91, 'num_gates': 53.91}",sabre_v020_tree_look_05_beam_10,sabre_v020,hex_127,5
"{'depth': 647, 'depth_ratio': 6.47, 'time': 4.368315935134888, 'cx_gates': 1086, 'num_gates': 1087}","{'depth': 17.74, 'depth_ratio': 0.1774, 'time': 0.3487, 'cx_gates': 53.91, 'num_gates': 53.91}",sabre_v020_tree_look_06_beam_10,sabre_v020,hex_127,6
"{'depth': 633, 'depth_ratio': 6.33, 'time': 5.258725166320801, 'cx_gates': 1098, 'num_gates': 1099}","{'depth': 21.19, 'depth_ratio': 0.2119, 'time': 0.4159, 'cx_gates': 50.81, 'num_gates': 50.81}",sabre_v020_tree_look_07_beam_10,sabre_v020,hex_127,7
"{'depth': 628, 'depth_ratio': 6.28, 'time': 6.01487398147583, 'cx_gates': 1089, 'num_gates': 1090}","{'depth': 22.63, 'depth_ratio': 0.2263, 'time': 0.4736, 'cx_gates': 53.11, 'num_gates': 53.11}",sabre_v020_tree_look_08_beam_10,sabre_v020,hex_127,8
"{'depth': 628, 'depth_ratio': 6.28, 'time': 6.733296155929565, 'cx_gates': 1089, 'num_gates': 1090}","{'depth': 22.63, 'depth_ratio': 0.2263, 'time': 0.6021, 'cx_gates': 53.11, 'num_gates': 53.11}",sabre_v020_tree_look_09_beam_10,sabre_v020,hex_127,9
"{'depth': 628, 'depth_ratio': 6.28, 'time': 7.761308908462524, 'cx_gates': 1089, 'num_gates': 1090}","{'depth': 22.63, 'depth_ratio': 0.2263, 'time': 0.6273, 'cx_gates': 53.11, 'num_gates': 53.11}",sabre_v020_tree_look_10_beam_10,sabre_v020,hex_127,10
"{'depth': 628, 'depth_ratio': 6.28, 'time': 16.399154901504517, 'cx_gates': 1089, 'num_gates': 1090}","{'depth': 22.63, 'depth_ratio': 0.2263, 'time': 1.249, 'cx_gates': 53.11, 'num_gates': 53.11}",sabre_v020_tree_look_20_beam_10,sabre_v020,hex_127,20
"{'depth': 628, 'depth_ratio': 6.28, 'time': 24.806023836135864, 'cx_gates': 1089, 'num_gates': 1090}","{'depth': 24.32, 'depth_ratio': 0.2432, 'time': 1.353, 'cx_gates': 57.0, 'num_gates': 57.0}",sabre_v020_tree_look_30_beam_10,sabre_v020,hex_127,30
"{'depth': 628, 'depth_ratio': 6.28, 'time': 33.181811809539795, 'cx_gates': 1089, 'num_gates': 1090}","{'depth': 24.32, 'depth_ratio': 0.2432, 'time': 1.968, 'cx_gates': 57.0, 'num_gates': 57.0}",sabre_v020_tree_look_40_beam_10,sabre_v020,hex_127,40
"{'depth': 628, 'depth_ratio': 6.28, 'time': 41.73241591453552, 'cx_gates': 1089, 'num_gates': 1090}","{'depth': 24.32, 'depth_ratio': 0.2432, 'time': 2.491, 'cx_gates': 57.0, 'num_gates': 57.0}",sabre_v020_tree_look_50_beam_10,sabre_v020,hex_127,50
"{'depth': 628, 'depth_ratio': 6.28, 'time': 51.419708251953125, 'cx_gates': 1089, 'num_gates': 1090}","{'depth': 24.32, 'depth_ratio': 0.2432, 'time': 2.84, 'cx_gates': 57.0, 'num_gates': 57.0}",sabre_v020_tree_look_60_beam_10,sabre_v020,hex_127,60
"{'depth': 628, 'depth_ratio': 6.28, 'time': 60.2917218208313, 'cx_gates': 1089, 'num_gates': 1090}","{'depth': 24.32, 'depth_ratio': 0.2432, 'time': 3.476, 'cx_gates': 57.0, 'num_gates': 57.0}",sabre_v020_tree_look_70_beam_10,sabre_v020,hex_127,70
"{'depth': 628, 'depth_ratio': 6.28, 'time': 68.3340060710907, 'cx_gates': 1089, 'num_gates': 1090}","{'depth': 24.32, 'depth_ratio': 0.2432, 'time': 3.746, 'cx_gates': 57.0, 'num_gates': 57.0}",sabre_v020_tree_look_80_beam_10,sabre_v020,hex_127,80
"{'depth': 628, 'depth_ratio': 6.28, 'time': 76.72235321998596, 'cx_gates': 1089, 'num_gates': 1090}","{'depth': 24.32, 'depth_ratio': 0.2432, 'time': 3.874, 'cx_gates': 57.0, 'num_gates': 57.0}",sabre_v020_tree_look_90_beam_10,sabre_v020,hex_127,90
"{'depth': 628, 'depth_ratio': 6.28, 'time': 84.32812786102295, 'cx_gates': 1089, 'num_gates': 1090}","{'depth': 24.32, 'depth_ratio': 0.2432, 'time': 4.047, 'cx_gates': 57.0, 'num_gates': 57.0}",sabre_v020_tree_look_100_beam_10,sabre_v020,hex_127,100
