best_data,std_dev,routing pass,layout pass,coupling map,beam
"{'depth': 1105, 'depth_ratio': 4.42, 'time': 0.8781869411468506, 'cx_gates': 1002, 'num_gates': 1502}","{'depth': 27.61, 'depth_ratio': 0.1105, 'time': 0.03917, 'cx_gates': 85.12, 'num_gates': 85.12}",sabre_v020,sabre_v020,hex_27,0
"{'depth': 866, 'depth_ratio': 3.46, 'time': 12.709913969039917, 'cx_gates': 789, 'num_gates': 1289}","{'depth': 43.41, 'depth_ratio': 0.174, 'time': 0.4596, 'cx_gates': 37.39, 'num_gates': 37.39}",sabre_v020_look_05_beam_10,sabre_v020,hex_27,10
"{'depth': 863, 'depth_ratio': 3.45, 'time': 36.361881732940674, 'cx_gates': 789, 'num_gates': 1289}","{'depth': 47.63, 'depth_ratio': 0.1894, 'time': 1.668, 'cx_gates': 42.95, 'num_gates': 42.95}",sabre_v020_look_05_beam_20,sabre_v020,hex_27,20
"{'depth': 872, 'depth_ratio': 3.49, 'time': 77.52111411094666, 'cx_gates': 795, 'num_gates': 1295}","{'depth': 37.51, 'depth_ratio': 0.1511, 'time': 3.435, 'cx_gates': 43.0, 'num_gates': 43.0}",sabre_v020_look_05_beam_30,sabre_v020,hex_27,30
"{'depth': 866, 'depth_ratio': 3.46, 'time': 103.49901795387268, 'cx_gates': 771, 'num_gates': 1271}","{'depth': 33.83, 'depth_ratio': 0.1372, 'time': 9.496, 'cx_gates': 46.92, 'num_gates': 46.92}",sabre_v020_look_05_beam_40,sabre_v020,hex_27,40
"{'depth': 871, 'depth_ratio': 3.48, 'time': 117.9789309501648, 'cx_gates': 777, 'num_gates': 1277}","{'depth': 35.61, 'depth_ratio': 0.1421, 'time': 6.104, 'cx_gates': 32.4, 'num_gates': 32.4}",sabre_v020_look_5_beam_50,sabre_v020,hex_27,50
"{'depth': 873, 'depth_ratio': 3.49, 'time': 156.4007339477539, 'cx_gates': 777, 'num_gates': 1277}","{'depth': 39.2, 'depth_ratio': 0.156, 'time': 5.931, 'cx_gates': 32.4, 'num_gates': 32.4}",sabre_v020_look_5_beam_60,sabre_v020,hex_27,60
"{'depth': 891, 'depth_ratio': 3.56, 'time': 205.62530183792114, 'cx_gates': 801, 'num_gates': 1301}","{'depth': 28.4, 'depth_ratio': 0.116, 'time': 365.9, 'cx_gates': 43.2, 'num_gates': 43.2}",sabre_v020_look_05_beam_70,sabre_v020,hex_27,70
"{'depth': 888, 'depth_ratio': 3.55, 'time': 253.86795592308044, 'cx_gates': 801, 'num_gates': 1301}","{'depth': 32.34, 'depth_ratio': 0.1299, 'time': 14.13, 'cx_gates': 58.06, 'num_gates': 58.06}",sabre_v020_look_05_beam_80,sabre_v020,hex_27,80
"{'depth': 877, 'depth_ratio': 3.51, 'time': 309.70554280281067, 'cx_gates': 789, 'num_gates': 1289}","{'depth': 40.41, 'depth_ratio': 0.16, 'time': 337.0, 'cx_gates': 51.47, 'num_gates': 51.47}",sabre_v020_look_05_beam_90,sabre_v020,hex_27,90
"{'depth': 866, 'depth_ratio': 3.46, 'time': 459.0454349059034, 'cx_gates': 777, 'num_gates': 1277}","{'depth': 38.76, 'depth_ratio': 0.1533, 'time': 49.79, 'cx_gates': 36.3, 'num_gates': 36.3}",sabre_v020_look_05_beam_100,sabre_v020,hex_27,100
"{'depth': 866, 'depth_ratio': 3.46, 'time': 639.0243098735809, 'cx_gates': 777, 'num_gates': 1277}","{'depth': 38.76, 'depth_ratio': 0.1533, 'time': 49.79, 'cx_gates': 36.3, 'num_gates': 36.3}",sabre_v020_look_05_beam_110,sabre_v020,hex_27,110
