best_data,std_dev,routing pass,layout pass,coupling map,beam
"{'depth': 1105, 'depth_ratio': 4.42, 'time': 0.8781869411468506, 'cx_gates': 1002, 'num_gates': 1502}","{'depth': 27.61, 'depth_ratio': 0.1105, 'time': 0.03917, 'cx_gates': 85.12, 'num_gates': 85.12}",sabre_v020,sabre_v020,hex_27,0
"{'depth': 1072, 'depth_ratio': 4.29, 'time': 1.7018868923187256, 'cx_gates': 969, 'num_gates': 1469}","{'depth': 18.24, 'depth_ratio': 0.07116, 'time': 0.18, 'cx_gates': 17.55, 'num_gates': 17.55}",sabre_v020_tree_look_05_beam_01,sabre_v020,hex_27,1
"{'depth': 1063, 'depth_ratio': 4.25, 'time': 2.7670018672943115, 'cx_gates': 963, 'num_gates': 1463}","{'depth': 19.06, 'depth_ratio': 0.076, 'time': 0.208, 'cx_gates': 16.97, 'num_gates': 16.97}",sabre_v020_tree_look_05_beam_02,sabre_v020,hex_27,2
"{'depth': 1063, 'depth_ratio': 4.25, 'time': 3.679258108139038, 'cx_gates': 963, 'num_gates': 1463}","{'depth': 21.81, 'depth_ratio': 0.08658, 'time': 0.2626, 'cx_gates': 20.49, 'num_gates': 20.49}",sabre_v020_tree_look_05_beam_03,sabre_v020,hex_27,3
"{'depth': 1063, 'depth_ratio': 4.25, 'time': 4.703406810760498, 'cx_gates': 963, 'num_gates': 1463}","{'depth': 22.26, 'depth_ratio': 0.08863, 'time': 0.2807, 'cx_gates': 20.49, 'num_gates': 20.49}",sabre_v020_tree_look_05_beam_04,sabre_v020,hex_27,4
"{'depth': 1063, 'depth_ratio': 4.25, 'time': 5.504080057144165, 'cx_gates': 963, 'num_gates': 1463}","{'depth': 22.26, 'depth_ratio': 0.08863, 'time': 0.2994, 'cx_gates': 20.49, 'num_gates': 20.49}",sabre_v020_tree_look_05_beam_05,sabre_v020,hex_27,5
"{'depth': 1063, 'depth_ratio': 4.25, 'time': 6.108422040939331, 'cx_gates': 963, 'num_gates': 1463}","{'depth': 20.34, 'depth_ratio': 0.0801, 'time': 0.5131, 'cx_gates': 24.64, 'num_gates': 24.64}",sabre_v020_tree_look_05_beam_06,sabre_v020,hex_27,6
"{'depth': 1063, 'depth_ratio': 4.25, 'time': 7.241213083267212, 'cx_gates': 963, 'num_gates': 1463}","{'depth': 22.26, 'depth_ratio': 0.08863, 'time': 0.6011, 'cx_gates': 20.49, 'num_gates': 20.49}",sabre_v020_tree_look_05_beam_07,sabre_v020,hex_27,7
"{'depth': 1063, 'depth_ratio': 4.25, 'time': 7.702708005905151, 'cx_gates': 963, 'num_gates': 1463}","{'depth': 22.26, 'depth_ratio': 0.08863, 'time': 0.8623, 'cx_gates': 20.49, 'num_gates': 20.49}",sabre_v020_tree_look_05_beam_08,sabre_v020,hex_27,8
"{'depth': 1063, 'depth_ratio': 4.25, 'time': 9.126101970672607, 'cx_gates': 963, 'num_gates': 1463}","{'depth': 22.26, 'depth_ratio': 0.08863, 'time': 0.8181, 'cx_gates': 20.49, 'num_gates': 20.49}",sabre_v020_tree_look_05_beam_09,sabre_v020,hex_27,9
"{'depth': 1063, 'depth_ratio': 4.25, 'time': 9.683534860610962, 'cx_gates': 963, 'num_gates': 1463}","{'depth': 22.26, 'depth_ratio': 0.08863, 'time': 0.9812, 'cx_gates': 20.49, 'num_gates': 20.49}",sabre_v020_tree_look_05_beam_10,sabre_v020,hex_27,10
"{'depth': 1063, 'depth_ratio': 4.25, 'time': 17.107533931732178, 'cx_gates': 963, 'num_gates': 1463}","{'depth': 21.68, 'depth_ratio': 0.08672, 'time': 1.419, 'cx_gates': 20.13, 'num_gates': 20.13}",sabre_v020_tree_look_05_beam_20,sabre_v020,hex_27,20
"{'depth': 1063, 'depth_ratio': 4.25, 'time': 24.196979761123657, 'cx_gates': 963, 'num_gates': 1463}","{'depth': 21.32, 'depth_ratio': 0.08495, 'time': 2.853, 'cx_gates': 21.38, 'num_gates': 21.38}",sabre_v020_tree_look_05_beam_30,sabre_v020,hex_27,30
"{'depth': 1063, 'depth_ratio': 4.25, 'time': 30.459759950637817, 'cx_gates': 963, 'num_gates': 1463}","{'depth': 21.51, 'depth_ratio': 0.08588, 'time': 3.796, 'cx_gates': 19.95, 'num_gates': 19.95}",sabre_v020_tree_look_05_beam_40,sabre_v020,hex_27,40
