best_data,std_dev,routing pass,layout pass,coupling map,lookahead
"{'depth': 1105, 'depth_ratio': 4.42, 'time': 0.8781869411468506, 'cx_gates': 1002, 'num_gates': 1502}","{'depth': 27.61, 'depth_ratio': 0.1105, 'time': 0.03917, 'cx_gates': 85.12, 'num_gates': 85.12}",sabre_v020,sabre_v020,hex_27,0
"{'depth': 975, 'depth_ratio': 3.9, 'time': 0.9625740051269531, 'cx_gates': 963, 'num_gates': 1463}","{'depth': 15.4, 'depth_ratio': 0.05987, 'time': 0.03175, 'cx_gates': 84.39, 'num_gates': 84.39}",sabre_v020_look_01_beam_10,sabre_v020,hex_27,1
"{'depth': 969, 'depth_ratio': 3.88, 'time': 1.9689772129058838, 'cx_gates': 750, 'num_gates': 1250}","{'depth': 24.79, 'depth_ratio': 0.09831, 'time': 0.1348, 'cx_gates': 61.59, 'num_gates': 61.59}",sabre_v020_look_02_beam_10,sabre_v020,hex_27,2
"{'depth': 924, 'depth_ratio': 3.7, 'time': 4.88584303855896, 'cx_gates': 843, 'num_gates': 1343}","{'depth': 7.813, 'depth_ratio': 0.02898, 'time': 0.3523, 'cx_gates': 79.92, 'num_gates': 79.92}",sabre_v020_look_03_beam_10,sabre_v020,hex_27,3
"{'depth': 876, 'depth_ratio': 3.5, 'time': 7.848737955093384, 'cx_gates': 789, 'num_gates': 1289}","{'depth': 30.25, 'depth_ratio': 0.1221, 'time': 0.3379, 'cx_gates': 43.17, 'num_gates': 43.17}",sabre_v020_look_04_beam_10,sabre_v020,hex_27,4
"{'depth': 866, 'depth_ratio': 3.46, 'time': 12.709913969039917, 'cx_gates': 789, 'num_gates': 1289}","{'depth': 43.41, 'depth_ratio': 0.174, 'time': 0.4596, 'cx_gates': 37.39, 'num_gates': 37.39}",sabre_v020_look_05_beam_10,sabre_v020,hex_27,5
"{'depth': 874, 'depth_ratio': 3.5, 'time': 16.837385892868042, 'cx_gates': 801, 'num_gates': 1301}","{'depth': 33.6, 'depth_ratio': 0.1329, 'time': 0.6737, 'cx_gates': 42.83, 'num_gates': 42.83}",sabre_v020_look_06_beam_10,sabre_v020,hex_27,6
"{'depth': 891, 'depth_ratio': 3.56, 'time': 20.255932092666626, 'cx_gates': 813, 'num_gates': 1313}","{'depth': 41.82, 'depth_ratio': 0.1688, 'time': 0.9022, 'cx_gates': 40.27, 'num_gates': 40.27}",sabre_v020_look_07_beam_10,sabre_v020,hex_27,7
"{'depth': 874, 'depth_ratio': 3.5, 'time': 25.944595098495483, 'cx_gates': 801, 'num_gates': 1301}","{'depth': 25.77, 'depth_ratio': 0.1013, 'time': 0.9171, 'cx_gates': 47.61, 'num_gates': 47.61}",sabre_v020_look_08_beam_10,sabre_v020,hex_27,8
"{'depth': 892, 'depth_ratio': 3.57, 'time': 31.333235263824463, 'cx_gates': 813, 'num_gates': 1313}","{'depth': 37.96, 'depth_ratio': 0.1506, 'time': 1.613, 'cx_gates': 45.22, 'num_gates': 45.22}",sabre_v020_look_09_beam_10,sabre_v020,hex_27,9
"{'depth': 873, 'depth_ratio': 3.49, 'time': 32.7457218170166, 'cx_gates': 801, 'num_gates': 1301}","{'depth': 59.44, 'depth_ratio': 0.2398, 'time': 0.4242, 'cx_gates': 40.22, 'num_gates': 40.22}",sabre_v020_look_10_beam_10,sabre_v020,hex_7,10
"{'depth': 876, 'depth_ratio': 3.5, 'time': 43.04033303260803, 'cx_gates': 801, 'num_gates': 1301}","{'depth': 38.41, 'depth_ratio': 0.1567, 'time': 2.945, 'cx_gates': 42.93, 'num_gates': 42.93}",sabre_v020_look_11_beam_10,sabre_v020,hex_27,11
"{'depth': 876, 'depth_ratio': 3.5, 'time': 48.782350063323975, 'cx_gates': 801, 'num_gates': 1301}","{'depth': 38.86, 'depth_ratio': 0.1567, 'time': 3.09, 'cx_gates': 35.21, 'num_gates': 35.21}",sabre_v020_look_12_beam_10,sabre_v020,hex_27,12
"{'depth': 876, 'depth_ratio': 3.5, 'time': 54.92928600311279, 'cx_gates': 801, 'num_gates': 1301}","{'depth': 43.54, 'depth_ratio': 0.1748, 'time': 4.096, 'cx_gates': 37.2, 'num_gates': 37.2}",sabre_v020_look_13_beam_10,sabre_v020,hex_27,13
"{'depth': 876, 'depth_ratio': 3.5, 'time': 61.45860290527344, 'cx_gates': 801, 'num_gates': 1301}","{'depth': 37.87, 'depth_ratio': 0.1523, 'time': 4.25, 'cx_gates': 35.92, 'num_gates': 35.92}",sabre_v020_look_14_beam_10,sabre_v020,hex_27,14
"{'depth': 900, 'depth_ratio': 3.6, 'time': 83.59555101394653, 'cx_gates': 825, 'num_gates': 1325}","{'depth': 53.43, 'depth_ratio': 0.2133, 'time': 1.677, 'cx_gates': 43.91, 'num_gates': 43.91}",sabre_v020_look_15_beam_10,sabre_v020,hex_7,15
