best_data,std_dev,routing pass,layout pass,coupling map,lookahead
"{'depth': 1105, 'depth_ratio': 4.42, 'time': 0.8781869411468506, 'cx_gates': 1002, 'num_gates': 1502}","{'depth': 27.61, 'depth_ratio': 0.1105, 'time': 0.03917, 'cx_gates': 85.12, 'num_gates': 85.12}",sabre_v020,sabre_v020,hex_27,0
"{'depth': 1089, 'depth_ratio': 4.36, 'time': 1.1439151763916016, 'cx_gates': 969, 'num_gates': 1469}","{'depth': 14.87, 'depth_ratio': 0.05671, 'time': 0.2682, 'cx_gates': 17.9, 'num_gates': 17.9}",sabre_v020_tree_look_01_beam_10,sabre_v020,hex_27,1
"{'depth': 1077, 'depth_ratio': 4.31, 'time': 2.5847692489624023, 'cx_gates': 972, 'num_gates': 1472}","{'depth': 18.02, 'depth_ratio': 0.07026, 'time': 0.7487, 'cx_gates': 17.86, 'num_gates': 17.86}",sabre_v020_tree_look_02_beam_10,sabre_v020,hex_27,2
"{'depth': 1070, 'depth_ratio': 4.28, 'time': 4.770059823989868, 'cx_gates': 969, 'num_gates': 1469}","{'depth': 19.6, 'depth_ratio': 0.0773, 'time': 0.8595, 'cx_gates': 18.55, 'num_gates': 18.55}",sabre_v020_tree_look_03_beam_10,sabre_v020,hex_27,3
"{'depth': 1071, 'depth_ratio': 4.28, 'time': 7.018918991088867, 'cx_gates': 966, 'num_gates': 1466}","{'depth': 19.81, 'depth_ratio': 0.07965, 'time': 0.9446, 'cx_gates': 19.41, 'num_gates': 19.41}",sabre_v020_tree_look_04_beam_10,sabre_v020,hex_27,4
"{'depth': 1063, 'depth_ratio': 4.25, 'time': 9.683534860610962, 'cx_gates': 963, 'num_gates': 1463}","{'depth': 22.26, 'depth_ratio': 0.08863, 'time': 0.9812, 'cx_gates': 20.49, 'num_gates': 20.49}",sabre_v020_tree_look_05_beam_10,sabre_v020,hex_27,5
"{'depth': 1060, 'depth_ratio': 4.24, 'time': 12.564653158187866, 'cx_gates': 960, 'num_gates': 1460}","{'depth': 23.23, 'depth_ratio': 0.09187, 'time': 0.5982, 'cx_gates': 21.52, 'num_gates': 21.52}",sabre_v020_tree_look_06_beam_10,sabre_v020,hex_27,6
"{'depth': 1060, 'depth_ratio': 4.24, 'time': 15.590804100036621, 'cx_gates': 960, 'num_gates': 1460}","{'depth': 23.23, 'depth_ratio': 0.09187, 'time': 0.8622, 'cx_gates': 21.52, 'num_gates': 21.52}",sabre_v020_tree_look_07_beam_10,sabre_v020,hex_27,7
"{'depth': 1054, 'depth_ratio': 4.22, 'time': 17.62918186187744, 'cx_gates': 954, 'num_gates': 1454}","{'depth': 25.23, 'depth_ratio': 0.09851, 'time': 0.7771, 'cx_gates': 23.62, 'num_gates': 23.62}",sabre_v020_tree_look_08_beam_10,sabre_v020,hex_27,8
"{'depth': 1054, 'depth_ratio': 4.22, 'time': 19.521811962127686, 'cx_gates': 954, 'num_gates': 1454}","{'depth': 25.23, 'depth_ratio': 0.09851, 'time': 0.9033, 'cx_gates': 23.62, 'num_gates': 23.62}",sabre_v020_tree_look_09_beam_10,sabre_v020,hex_27,9
