depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,1,0.011317968368530273,0,0.0,0.0,0.0007624,sabre_v0_20_,sabre_layout,0,1,1,1,1
2,2,0.007901191711425781,3,1.785,3.269,0.0007178,sabre_v0_20_,sabre_layout,0,1,1,1,1
8,9,0.009270906448364258,2,3.832,6.185,0.01162,sabre_v0_20_,sabre_layout,0,1,1,1,1
13,13,0.008744955062866211,3,2.487,5.612,0.0006142,sabre_v0_20_,sabre_layout,0,1,1,1,1
16,20,0.011015176773071289,2,3.571,8.078,0.0005441,sabre_v0_20_,sabre_layout,0,1,1,1,1
17,33,0.010835886001586914,3,8.958,21.69,0.001909,sabre_v0_20_,sabre_layout,0,1,1,1,1
33,61,0.0120849609375,3,2.681,2.121,0.0009429,sabre_v0_20_,sabre_layout,0,1,1,1,1
34,62,0.015141010284423828,0,9.138,20.5,0.0005593,sabre_v0_20_,sabre_layout,0,1,1,1,1
36,87,0.014998674392700195,3,9.337,12.19,0.00138,sabre_v0_20_,sabre_layout,0,1,1,1,1
52,112,0.013839006423950195,3,5.449,12.07,0.002091,sabre_v0_20_,sabre_layout,0,1,1,1,1
55,104,0.014834880828857422,3,6.801,10.89,0.002065,sabre_v0_20_,sabre_layout,0,1,1,1,1
56,111,0.01743006706237793,0,9.566,21.05,0.001395,sabre_v0_20_,sabre_layout,0,1,1,1,1
61,118,0.019097089767456055,3,4.437,5.612,0.001312,sabre_v0_20_,sabre_layout,0,1,1,1,1
72,98,0.019411087036132812,3,9.01,25.54,0.001327,sabre_v0_20_,sabre_layout,0,1,1,1,1
68,138,0.01975226402282715,3,8.675,8.043,0.001783,sabre_v0_20_,sabre_layout,0,1,1,1,1
90,154,0.02000570297241211,3,10.47,18.54,0.001308,sabre_v0_20_,sabre_layout,0,1,1,1,1
93,161,0.024626970291137695,0,12.4,27.58,0.00175,sabre_v0_20_,sabre_layout,0,1,1,1,1
98,183,0.023195981979370117,3,9.284,13.16,0.001827,sabre_v0_20_,sabre_layout,0,1,1,1,1
99,175,0.023227930068969727,3,17.15,20.61,0.002568,sabre_v0_20_,sabre_layout,0,1,1,1,1
109,209,0.022716999053955078,1,13.53,18.54,0.001364,sabre_v0_20_,sabre_layout,0,1,1,1,1
116,228,0.02706599235534668,2,8.456,20.83,0.002464,sabre_v0_20_,sabre_layout,0,1,1,1,1
116,250,0.029308080673217773,3,18.02,11.81,0.001003,sabre_v0_20_,sabre_layout,0,1,1,1,1
130,212,0.026993989944458008,3,12.74,22.95,0.001795,sabre_v0_20_,sabre_layout,0,1,1,1,1
135,216,0.0285952091217041,3,26.97,51.11,0.002953,sabre_v0_20_,sabre_layout,0,1,1,1,1
156,277,0.03139829635620117,3,9.67,17.41,0.001663,sabre_v0_20_,sabre_layout,0,1,1,1,1
150,272,0.03540301322937012,2,11.37,31.2,0.00255,sabre_v0_20_,sabre_layout,0,1,1,1,1
140,240,0.031124114990234375,1,29.95,41.05,0.002035,sabre_v0_20_,sabre_layout,0,1,1,1,1
178,364,0.037368059158325195,1,11.02,2.121,0.001802,sabre_v0_20_,sabre_layout,0,1,1,1,1
178,353,0.03214621543884277,3,7.969,31.35,0.003501,sabre_v0_20_,sabre_layout,0,1,1,1,1
188,309,0.04030489921569824,1,14.37,30.81,0.001248,sabre_v0_20_,sabre_layout,0,1,1,1,1
193,340,0.040206193923950195,0,17.92,26.28,0.002404,sabre_v0_20_,sabre_layout,0,1,1,1,1
192,362,0.039823055267333984,3,26.8,25.5,0.002589,sabre_v0_20_,sabre_layout,0,1,1,1,1
223,411,0.04032778739929199,3,10.96,8.874,0.001854,sabre_v0_20_,sabre_layout,0,1,1,1,1
241,391,0.04524803161621094,2,5.309,27.85,0.0009042,sabre_v0_20_,sabre_layout,0,1,1,1,1
212,428,0.04941701889038086,0,20.75,13.67,0.002976,sabre_v0_20_,sabre_layout,0,1,1,1,1
208,402,0.08372974395751953,2,25.87,42.11,0.01642,sabre_v0_20_,sabre_layout,0,1,1,1,1
238,427,0.04317307472229004,3,23.12,31.25,0.002285,sabre_v0_20_,sabre_layout,0,1,1,1,1
256,491,0.05162978172302246,1,14.74,17.3,0.00272,sabre_v0_20_,sabre_layout,0,1,1,1,1
296,480,0.05298805236816406,0,9.653,46.01,0.002333,sabre_v0_20_,sabre_layout,0,1,1,1,1
276,481,0.05193018913269043,0,9.311,46.14,0.002293,sabre_v0_20_,sabre_layout,0,1,1,1,1
256,488,0.04729270935058594,3,24.52,32.93,0.004125,sabre_v0_20_,sabre_layout,0,1,1,1,1
273,516,0.04983019828796387,2,29.73,48.02,0.002779,sabre_v0_20_,sabre_layout,0,1,1,1,1
308,559,0.08841800689697266,1,9.247,17.1,0.01366,sabre_v0_20_,sabre_layout,0,1,1,1,1
294,506,0.054316043853759766,0,33.36,82.17,0.02031,sabre_v0_20_,sabre_layout,0,1,1,1,1
317,603,0.053700923919677734,1,18.39,11.3,0.001536,sabre_v0_20_,sabre_layout,0,1,1,1,1
334,598,0.05923318862915039,0,34.66,49.43,0.00247,sabre_v0_20_,sabre_layout,0,1,1,1,1
325,725,0.06166195869445801,1,32.92,41.75,0.002862,sabre_v0_20_,sabre_layout,0,1,1,1,1
348,600,0.06428122520446777,3,17.93,37.73,0.003131,sabre_v0_20_,sabre_layout,0,1,1,1,1
365,631,0.06493306159973145,0,13.83,32.55,0.01468,sabre_v0_20_,sabre_layout,0,1,1,1,1
379,728,0.06227302551269531,2,28.93,30.77,0.003178,sabre_v0_20_,sabre_layout,0,1,1,1,1
348,636,0.06811213493347168,0,38.2,85.04,0.002616,sabre_v0_20_,sabre_layout,0,1,1,1,1
405,769,0.07038688659667969,3,12.03,16.5,0.002405,sabre_v0_20_,sabre_layout,0,1,1,1,1
400,770,0.07323288917541504,0,23.79,40.66,0.00212,sabre_v0_20_,sabre_layout,0,1,1,1,1
379,783,0.06819915771484375,1,32.65,36.74,0.004038,sabre_v0_20_,sabre_layout,0,1,1,1,1
393,745,0.06557893753051758,2,44.92,78.84,0.006229,sabre_v0_20_,sabre_layout,0,1,1,1,1
370,608,0.06372880935668945,3,52.35,125.1,0.00687,sabre_v0_20_,sabre_layout,0,1,1,1,1
435,720,0.07150411605834961,1,23.85,79.52,0.004231,sabre_v0_20_,sabre_layout,0,1,1,1,1
419,781,0.07738113403320312,0,37.81,46.69,0.004083,sabre_v0_20_,sabre_layout,0,1,1,1,1
430,737,0.11981487274169922,3,35.58,85.25,0.01808,sabre_v0_20_,sabre_layout,0,1,1,1,1
490,879,0.08204913139343262,3,27.07,76.29,0.001033,sabre_v0_20_,sabre_layout,0,1,1,1,1
472,859,0.07787108421325684,1,30.0,60.76,0.003921,sabre_v0_20_,sabre_layout,0,1,1,1,1
484,854,0.08431601524353027,0,41.09,101.4,0.001417,sabre_v0_20_,sabre_layout,0,1,1,1,1
475,903,0.08063483238220215,2,37.73,37.61,0.004217,sabre_v0_20_,sabre_layout,0,1,1,1,1
512,931,0.08312082290649414,3,29.15,73.39,0.01635,sabre_v0_20_,sabre_layout,0,1,1,1,1
504,890,0.0887749195098877,3,39.81,96.96,0.004865,sabre_v0_20_,sabre_layout,0,1,1,1,1
522,990,0.09369397163391113,3,32.73,25.54,0.004718,sabre_v0_20_,sabre_layout,0,1,1,1,1
521,991,0.08349609375,1,33.69,50.57,0.004321,sabre_v0_20_,sabre_layout,0,1,1,1,1
584,1067,0.09091401100158691,0,11.46,30.48,0.002207,sabre_v0_20_,sabre_layout,0,1,1,1,1
579,1128,0.09063434600830078,0,44.65,50.93,0.02176,sabre_v0_20_,sabre_layout,0,1,1,1,1
648,1171,0.09860396385192871,0,27.25,41.38,0.003744,sabre_v0_20_,sabre_layout,0,1,1,1,1
587,1067,0.0995640754699707,2,49.53,83.85,0.003049,sabre_v0_20_,sabre_layout,0,1,1,1,1
639,1128,0.09273099899291992,3,43.15,105.1,0.006318,sabre_v0_20_,sabre_layout,0,1,1,1,1
607,1132,0.09682512283325195,1,31.19,61.21,0.006025,sabre_v0_20_,sabre_layout,0,1,1,1,1
581,1052,0.10121893882751465,2,43.15,91.55,0.005429,sabre_v0_20_,sabre_layout,0,1,1,1,1
615,1233,0.1109321117401123,2,51.54,56.34,0.008016,sabre_v0_20_,sabre_layout,0,1,1,1,1
601,1135,0.0976569652557373,3,65.53,103.6,0.03737,sabre_v0_20_,sabre_layout,0,1,1,1,1
609,962,0.08602118492126465,3,70.72,196.9,0.01833,sabre_v0_20_,sabre_layout,0,1,1,1,1
707,1428,0.10983085632324219,0,47.38,37.73,0.003607,sabre_v0_20_,sabre_layout,0,1,1,1,1
681,1270,0.10394096374511719,2,52.63,98.48,0.003138,sabre_v0_20_,sabre_layout,0,1,1,1,1
709,1343,0.11568403244018555,2,34.24,74.71,0.01443,sabre_v0_20_,sabre_layout,0,1,1,1,1
728,1449,0.12232089042663574,2,29.46,42.5,0.007106,sabre_v0_20_,sabre_layout,0,1,1,1,1
711,1270,0.10528016090393066,1,72.71,149.9,0.007588,sabre_v0_20_,sabre_layout,0,1,1,1,1
761,1331,0.1033620834350586,1,47.53,131.8,0.008389,sabre_v0_20_,sabre_layout,0,1,1,1,1
739,1413,0.11819601058959961,3,40.27,52.95,0.004718,sabre_v0_20_,sabre_layout,0,1,1,1,1
742,1450,0.1124420166015625,3,28.54,59.52,0.00265,sabre_v0_20_,sabre_layout,0,1,1,1,1
720,1304,0.1528158187866211,2,80.92,168.4,0.01455,sabre_v0_20_,sabre_layout,0,1,1,1,1
811,1425,0.1148836612701416,1,20.23,80.25,0.02346,sabre_v0_20_,sabre_layout,0,1,1,1,1
772,1495,0.11915397644042969,1,40.77,50.26,0.006775,sabre_v0_20_,sabre_layout,0,1,1,1,1
824,1592,0.13373899459838867,0,27.83,45.96,0.007943,sabre_v0_20_,sabre_layout,0,1,1,1,1
875,1623,0.12152981758117676,1,49.93,92.74,0.01865,sabre_v0_20_,sabre_layout,0,1,1,1,1
830,1459,0.12843680381774902,0,75.33,184.7,0.007315,sabre_v0_20_,sabre_layout,0,1,1,1,1
840,1538,0.11631321907043457,3,64.92,118.2,0.01268,sabre_v0_20_,sabre_layout,0,1,1,1,1
823,1446,0.12610673904418945,0,42.96,114.8,0.007087,sabre_v0_20_,sabre_layout,0,1,1,1,1
915,1666,0.1723158359527588,1,43.63,78.96,0.01509,sabre_v0_20_,sabre_layout,0,1,1,1,1
897,1574,0.162445068359375,1,63.59,127.6,0.01519,sabre_v0_20_,sabre_layout,0,1,1,1,1
890,1704,0.1338961124420166,2,57.87,84.51,0.007883,sabre_v0_20_,sabre_layout,0,1,1,1,1
873,1660,0.1415088176727295,1,47.79,104.6,0.01506,sabre_v0_20_,sabre_layout,0,1,1,1,1
959,1856,0.14527583122253418,1,38.09,105.2,0.005024,sabre_v0_20_,sabre_layout,0,1,1,1,1
904,1623,0.13610196113586426,0,106.5,221.5,0.002239,sabre_v0_20_,sabre_layout,0,1,1,1,1
892,1726,0.13347721099853516,3,99.92,129.2,0.005007,sabre_v0_20_,sabre_layout,0,1,1,1,1
1024,1922,0.1432349681854248,3,59.32,103.8,0.004789,sabre_v0_20_,sabre_layout,0,1,1,1,1
985,1806,0.14608383178710938,0,53.21,90.08,0.01816,sabre_v0_20_,sabre_layout,0,1,1,1,1
1016,1858,0.14774775505065918,1,19.45,92.82,0.006342,sabre_v0_20_,sabre_layout,0,1,1,1,1
1035,2030,0.14491605758666992,3,54.3,100.1,0.01835,sabre_v0_20_,sabre_layout,0,1,1,1,1
1045,1929,0.14081525802612305,3,58.55,99.53,0.008071,sabre_v0_20_,sabre_layout,0,1,1,1,1
1069,1999,0.14568185806274414,1,75.92,102.1,0.003809,sabre_v0_20_,sabre_layout,0,1,1,1,1
1053,2009,0.15052413940429688,3,45.05,115.1,0.008896,sabre_v0_20_,sabre_layout,0,1,1,1,1
1122,2259,0.15740704536437988,2,39.93,14.77,0.01858,sabre_v0_20_,sabre_layout,0,1,1,1,1
1082,2119,0.16817522048950195,0,33.35,49.43,0.007473,sabre_v0_20_,sabre_layout,0,1,1,1,1
1085,2000,0.1532127857208252,1,88.01,194.8,0.01661,sabre_v0_20_,sabre_layout,0,1,1,1,1
1069,1899,0.16478419303894043,1,47.66,115.1,0.005214,sabre_v0_20_,sabre_layout,0,1,1,1,1
1125,2092,0.15026307106018066,2,76.19,155.6,0.01427,sabre_v0_20_,sabre_layout,0,1,1,1,1
1183,2240,0.19149303436279297,2,82.67,115.9,0.01128,sabre_v0_20_,sabre_layout,0,1,1,1,1
1117,2010,0.14741778373718262,2,53.18,151.4,0.01227,sabre_v0_20_,sabre_layout,0,1,1,1,1
1150,2257,0.17669296264648438,0,88.6,166.2,0.00854,sabre_v0_20_,sabre_layout,0,1,1,1,1
1122,2000,0.1700279712677002,0,84.07,204.2,0.0067,sabre_v0_20_,sabre_layout,0,1,1,1,1
1195,2268,0.17521119117736816,1,54.56,92.31,0.003484,sabre_v0_20_,sabre_layout,0,1,1,1,1
1212,2266,0.16272330284118652,2,81.93,161.6,0.004925,sabre_v0_20_,sabre_layout,0,1,1,1,1
1178,2183,0.1670689582824707,3,70.86,131.6,0.00636,sabre_v0_20_,sabre_layout,0,1,1,1,1
1228,2190,0.17015910148620605,1,117.5,220.8,0.01287,sabre_v0_20_,sabre_layout,0,1,1,1,1
1262,2488,0.17151212692260742,1,50.42,140.4,0.009356,sabre_v0_20_,sabre_layout,0,1,1,1,1
1182,2204,0.16335678100585938,3,115.9,234.0,0.01786,sabre_v0_20_,sabre_layout,0,1,1,1,1
1384,2616,0.19411897659301758,0,50.06,78.2,0.006262,sabre_v0_20_,sabre_layout,0,1,1,1,1
1242,2407,0.18628191947937012,0,93.78,148.9,0.01177,sabre_v0_20_,sabre_layout,0,1,1,1,1
1324,2525,0.17311310768127441,1,64.15,92.77,0.00365,sabre_v0_20_,sabre_layout,0,1,1,1,1
1278,2511,0.1707170009613037,3,87.99,212.8,0.01096,sabre_v0_20_,sabre_layout,0,1,1,1,1
