depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,1,0.011508941650390625,0,0.0,0.0,0.0003513,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
2,2,0.00960993766784668,0,2.046,3.674,0.0001682,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
5,6,0.009582996368408203,1,1.225,1.299,0.0002576,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
6,10,0.013451099395751953,2,2.739,3.674,0.0007546,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
7,11,0.011291980743408203,1,3.269,3.897,0.001047,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
11,18,0.011205673217773438,3,4.272,13.81,0.001312,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
14,25,0.012247085571289062,1,2.291,2.598,0.0006715,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
22,35,0.013631105422973633,2,1.299,2.487,0.0002855,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
21,42,0.014612913131713867,0,1.479,1.299,0.009749,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
22,61,0.015257835388183594,1,4.71,5.612,0.001433,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
30,62,0.014474868774414062,3,1.118,14.77,0.001603,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
29,69,0.018733739852905273,2,3.961,5.761,0.001,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
29,67,0.019533872604370117,2,4.387,8.746,0.001345,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
41,113,0.021091938018798828,2,1.09,8.874,0.001603,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
37,99,0.020863056182861328,1,4.0,4.975,0.01508,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
40,124,0.02062082290649414,3,2.958,11.02,0.001095,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
44,125,0.02268528938293457,1,4.243,12.37,0.0007429,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
44,141,0.022738933563232422,0,5.166,3.897,0.0005019,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
50,157,0.023801088333129883,3,2.693,8.043,0.01222,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
54,155,0.02377486228942871,1,3.832,11.88,0.0008915,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
57,180,0.024679899215698242,3,3.491,15.35,0.0008293,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
58,193,0.024632930755615234,3,2.55,16.21,0.001658,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
59,185,0.025096893310546875,3,3.419,21.46,0.001536,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
63,231,0.030721187591552734,2,4.023,8.584,0.01053,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
72,220,0.029444217681884766,1,2.046,14.29,0.001267,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
72,263,0.0323030948638916,2,4.717,17.36,0.0007777,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
76,228,0.031823158264160156,2,1.803,30.04,0.001147,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
75,283,0.03552103042602539,2,3.354,13.91,0.001606,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
81,305,0.03421831130981445,3,6.042,22.49,0.01164,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
84,246,0.03331804275512695,2,3.606,33.97,0.001182,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
83,232,0.03190469741821289,3,6.442,45.52,0.002897,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
94,362,0.039466142654418945,3,1.09,25.14,0.0005521,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
96,372,0.041281700134277344,3,3.082,4.975,0.01076,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
93,397,0.044164180755615234,1,2.487,18.37,0.002153,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
100,371,0.044928789138793945,1,2.861,18.61,0.001046,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
98,438,0.04473590850830078,0,7.762,32.31,0.0006646,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
101,316,0.06683731079101562,2,5.673,53.01,0.009501,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
107,449,0.04756307601928711,0,3.5,19.56,0.001079,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
111,387,0.04464411735534668,3,2.165,39.63,0.002117,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
112,451,0.051087141036987305,0,4.743,16.21,0.001566,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
116,431,0.07083702087402344,3,6.759,38.12,0.009453,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
121,477,0.05082082748413086,1,2.872,18.05,0.001075,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
119,511,0.05013394355773926,3,4.031,32.2,0.002093,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
116,551,0.05508589744567871,0,8.927,36.56,0.001655,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
127,516,0.056977272033691406,2,2.872,38.24,0.01228,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
128,604,0.0623478889465332,2,4.95,10.06,0.002378,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
143,464,0.055114030838012695,0,0.8292,92.45,0.0045,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
