depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,1,0.010349035263061523,0,0.0,0.0,0.0004717,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
5,5,0.00855708122253418,0,1.299,3.674,0.0002626,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
4,6,0.008137941360473633,3,1.225,2.121,0.0003156,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
5,7,0.008699893951416016,3,2.586,2.487,0.0001264,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
14,14,0.010473012924194336,3,9.487,14.75,0.0007198,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
15,21,0.01046609878540039,3,11.72,10.69,0.0006579,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
22,28,0.011516809463500977,1,3.897,6.0,0.01364,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
26,32,0.012109041213989258,0,8.456,13.5,0.0006545,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
29,36,0.011758804321289062,3,1.581,3.354,0.0005505,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
33,34,0.013192892074584961,1,9.618,14.07,0.00159,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
38,47,0.015154838562011719,1,11.08,12.97,0.001453,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
39,57,0.016033172607421875,0,4.093,1.299,0.001338,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
46,64,0.01481008529663086,3,8.555,33.61,0.001715,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
49,65,0.015686750411987305,3,9.708,11.88,0.001463,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
46,60,0.01891779899597168,0,16.89,15.07,0.0009405,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
60,64,0.016270875930786133,3,5.629,13.31,0.001501,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
54,86,0.020061016082763672,1,10.33,7.036,0.001307,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
68,99,0.022809743881225586,2,4.153,22.19,0.0009111,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
63,100,0.02086806297302246,1,12.7,22.1,0.001354,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
76,98,0.023845195770263672,0,4.743,31.57,0.000615,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
74,141,0.02325916290283203,3,3.419,21.88,0.00134,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
66,121,0.022832870483398438,3,13.27,18.55,0.001229,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
79,212,0.025308847427368164,0,16.53,31.68,0.0008367,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
98,150,0.025264978408813477,2,2.773,53.08,0.002904,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
88,136,0.026372194290161133,3,6.185,32.27,0.001534,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
99,167,0.030498981475830078,0,11.1,41.97,0.000777,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
99,168,0.03328108787536621,2,9.909,42.9,0.01006,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
88,223,0.02906203269958496,1,16.83,12.97,0.003136,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
102,158,0.029555082321166992,3,10.7,35.14,0.002475,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
109,228,0.034240007400512695,2,11.09,27.85,0.001764,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
126,244,0.03746771812438965,0,8.689,11.88,0.0005214,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
124,233,0.03381514549255371,3,12.19,40.6,0.001742,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
143,285,0.04096102714538574,1,4.743,62.23,0.001304,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
131,286,0.04079389572143555,0,13.98,14.29,0.002185,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
139,284,0.04215097427368164,3,14.74,33.3,0.00119,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
148,342,0.041425228118896484,3,7.224,46.98,0.002853,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
148,277,0.04303097724914551,3,8.899,49.95,0.001564,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
148,257,0.042549848556518555,2,10.73,38.15,0.002235,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
140,363,0.04681897163391113,2,15.56,48.26,0.001955,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
140,388,0.04953503608703613,0,19.97,19.03,0.0007301,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
138,260,0.046714067459106445,0,17.34,59.81,0.00268,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
159,324,0.051749229431152344,1,19.2,30.1,0.0006978,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
166,298,0.05025792121887207,0,14.31,64.5,0.003548,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
183,335,0.05073881149291992,0,12.46,34.01,0.002499,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
163,327,0.04979085922241211,1,11.05,41.38,0.002768,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
179,310,0.05852985382080078,0,8.258,65.77,0.003214,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
195,521,0.05860590934753418,3,11.42,49.04,0.001005,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
193,351,0.055602073669433594,3,19.34,61.5,0.01311,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
190,427,0.0565340518951416,1,25.11,87.71,0.0067,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
226,449,0.060027360916137695,2,5.937,70.91,0.002688,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
181,381,0.05811715126037598,1,20.86,72.45,0.003757,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
201,460,0.06376814842224121,0,17.12,62.8,0.002016,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
198,536,0.06959319114685059,3,30.75,36.8,0.004247,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
219,492,0.06943511962890625,0,15.2,138.9,0.004967,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
248,559,0.06734728813171387,1,10.43,43.4,0.003206,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
231,608,0.08065986633300781,0,19.86,25.13,0.005665,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
240,423,0.06578183174133301,1,11.32,112.5,0.004798,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
235,598,0.07000112533569336,1,14.36,46.33,0.004889,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
230,551,0.07350516319274902,3,35.93,77.11,0.003461,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
251,600,0.0739450454711914,1,24.59,58.95,0.005342,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
237,598,0.07738924026489258,3,17.63,69.82,0.003472,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
286,569,0.07234501838684082,2,9.138,73.53,0.005585,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
258,699,0.11403107643127441,3,16.07,94.99,0.01616,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
289,682,0.08481717109680176,0,4.146,85.1,0.001349,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
268,656,0.0798799991607666,2,14.3,72.39,0.005781,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
280,669,0.08977413177490234,2,12.7,89.56,0.005605,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
269,607,0.0803220272064209,2,16.38,60.24,0.005564,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
301,662,0.08703064918518066,0,20.73,144.2,0.005624,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
274,846,0.09853076934814453,0,28.73,31.85,0.003271,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
323,814,0.09126973152160645,0,11.41,19.56,0.004403,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
304,584,0.08998298645019531,3,10.78,169.9,0.004194,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
318,720,0.09031414985656738,1,16.39,45.02,0.004909,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
319,913,0.10396623611450195,0,14.57,60.5,0.01148,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
314,764,0.10128617286682129,3,18.53,52.33,0.00538,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
324,828,0.10437679290771484,0,17.72,83.97,0.005803,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
314,733,0.09738898277282715,2,16.11,137.4,0.004067,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
353,761,0.09878921508789062,3,17.48,108.3,0.005729,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
319,699,0.1056971549987793,0,36.57,121.0,0.006428,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
333,850,0.10142087936401367,2,33.67,90.65,0.004858,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
373,1055,0.10814309120178223,1,6.344,32.42,0.003969,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
344,879,0.10445690155029297,1,27.73,68.78,0.007077,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
347,700,0.10419988632202148,2,36.91,138.4,0.01282,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
372,905,0.11910796165466309,2,12.25,77.69,0.007157,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
390,1080,0.11687707901000977,1,14.53,68.78,0.002231,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
352,1117,0.11774277687072754,1,25.12,82.77,0.01102,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
377,1196,0.1228022575378418,1,36.22,99.57,0.005966,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
388,912,0.11353111267089844,1,16.57,107.2,0.00845,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
400,1075,0.1208641529083252,0,6.685,89.18,0.005447,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
379,785,0.11398696899414062,1,16.72,138.2,0.006497,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
371,1215,0.13701081275939941,0,26.69,102.2,0.004238,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
418,1192,0.14208388328552246,2,13.28,34.73,0.005482,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
457,1097,0.12557005882263184,1,13.9,172.0,0.0106,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
404,1119,0.15340900421142578,3,23.46,78.72,0.01476,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
409,1249,0.1406571865081787,0,38.98,60.24,0.005599,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
409,950,0.1337440013885498,2,22.47,176.9,0.009537,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
441,1314,0.14776897430419922,2,33.36,75.82,0.004903,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
451,1495,0.1705489158630371,3,26.07,94.08,0.008483,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
431,1070,0.1255357265472412,1,40.59,186.5,0.01331,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
454,1023,0.13505983352661133,0,21.85,190.8,0.01115,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
430,1120,0.12955474853515625,1,15.11,132.1,0.01096,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
447,1520,0.14403605461120605,1,23.46,125.3,0.002223,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
462,1395,0.14304900169372559,1,23.33,36.46,0.004338,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
469,1294,0.15506482124328613,2,33.93,131.0,0.005573,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
465,1349,0.14992690086364746,3,8.958,117.0,0.008876,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
466,1551,0.1685929298400879,0,22.17,185.9,0.01639,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
485,1684,0.17337584495544434,1,19.19,175.3,0.01189,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
476,1361,0.1476609706878662,1,18.32,122.7,0.01441,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
478,1335,0.14807486534118652,3,38.85,145.5,0.02107,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
529,1558,0.17030715942382812,1,13.12,64.98,0.00921,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
505,1220,0.14710593223571777,3,10.99,123.4,0.009446,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
482,1257,0.16430306434631348,1,52.4,201.8,0.01039,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
537,1582,0.1819899082183838,1,4.437,62.98,0.007809,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
543,1535,0.1772007942199707,0,7.462,45.02,0.006161,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
504,1365,0.17504405975341797,0,29.35,177.4,0.01401,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
471,1552,0.18466782569885254,3,40.05,163.9,0.006938,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
558,1667,0.15029597282409668,3,22.58,179.6,0.01218,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
515,1419,0.15693378448486328,1,38.8,102.6,0.01303,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
553,1684,0.17289113998413086,2,28.32,193.4,0.0102,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
527,1733,0.18352580070495605,0,29.31,107.5,0.006233,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
556,1596,0.17225909233093262,3,16.39,124.0,0.009995,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
548,1798,0.17911219596862793,0,35.76,60.65,0.005876,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
578,1895,0.18094182014465332,1,38.12,98.78,0.01311,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
536,1386,0.17694592475891113,1,37.24,305.9,0.007709,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
580,1726,0.17956089973449707,1,33.46,171.5,0.004901,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
563,1595,0.1731090545654297,3,36.34,171.7,0.01586,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
598,1380,0.17017602920532227,1,13.2,204.4,0.01361,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
