depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
3,15,0.008201122283935547,3,3.269,3.269,0.0009493,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
15,45,0.015203237533569336,3,4.243,6.495,0.001604,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
27,78,0.022010087966918945,3,5.356,3.354,0.0008468,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
48,153,0.03527116775512695,3,5.356,9.337,0.00202,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
48,180,0.03893709182739258,3,2.598,16.07,0.003436,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
51,204,0.053725242614746094,1,19.6,17.17,0.002971,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
87,240,0.05400490760803223,3,12.07,4.437,0.002826,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
87,270,0.06423211097717285,3,5.196,29.16,0.002274,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
105,270,0.07010507583618164,1,10.26,22.3,0.003172,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
96,342,0.08331108093261719,3,32.52,15.37,0.002487,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
120,393,0.091094970703125,1,24.83,28.33,0.003173,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
141,441,0.09392499923706055,0,9.337,17.04,0.002421,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
123,462,0.10803008079528809,3,29.65,31.32,0.008942,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
141,486,0.11056089401245117,3,34.5,34.23,0.2306,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
180,495,0.11142921447753906,3,8.078,4.975,0.004812,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
138,549,0.13489699363708496,3,54.06,31.42,0.004918,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
180,639,0.14749979972839355,2,39.74,21.69,0.004613,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
180,669,0.16120123863220215,3,50.04,34.88,0.008654,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
198,735,0.17817091941833496,2,23.85,27.85,0.008638,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
216,753,0.17712998390197754,3,50.04,42.66,0.008086,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
261,810,0.17737317085266113,3,30.84,75.69,0.009259,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
213,795,0.6836271286010742,3,50.75,25.72,0.2212,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
249,855,0.19207286834716797,3,34.07,33.44,0.008766,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
258,891,0.205704927444458,2,48.67,34.34,0.009197,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
276,960,0.20737719535827637,3,51.63,38.26,0.005495,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
270,957,0.22066998481750488,3,58.42,14.45,0.005664,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
267,915,0.21748995780944824,1,68.69,33.83,0.005024,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
294,1062,0.7445433139801025,1,59.62,38.26,0.2241,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
291,1050,0.2617030143737793,1,71.98,24.65,0.01234,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
309,1146,0.27634525299072266,2,78.21,24.22,0.0137,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
345,1251,0.2787010669708252,3,62.37,45.22,0.01164,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
360,1251,0.7740402221679688,2,19.79,33.17,0.2121,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
342,1236,0.3058171272277832,1,76.28,53.6,0.02158,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
324,1179,0.28098297119140625,2,78.15,25.04,0.01066,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
390,1347,0.3128969669342041,2,9.808,27.74,0.002047,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
363,1287,0.8010790348052979,1,77.08,76.22,0.2191,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
405,1398,0.3393590450286865,3,63.44,16.89,0.01313,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
405,1413,0.3681149482727051,1,8.216,20.24,0.01015,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
387,1452,0.3663330078125,1,95.12,46.33,0.02737,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
411,1476,0.3655121326446533,0,83.7,29.77,0.01348,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
453,1578,0.39290690422058105,1,65.61,28.25,0.01917,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
414,1512,0.39040088653564453,0,93.37,59.57,0.2466,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
438,1578,0.4088630676269531,3,6.833,22.5,0.009884,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
459,1635,0.407789945602417,3,76.88,50.13,0.01427,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
480,1725,0.4295308589935303,3,113.3,20.28,0.2317,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
453,1722,0.4603157043457031,0,109.2,89.86,0.02921,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
483,1668,0.42395496368408203,3,30.19,62.4,0.01672,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
486,1728,0.4442932605743408,1,92.79,40.33,0.2138,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
513,1755,0.4574587345123291,3,107.7,66.52,0.0231,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
519,1887,0.4785149097442627,1,113.9,96.16,0.2193,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
