depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
0,0,0.012344837188720703,0,0.0,0.0,0.0007196,sabre_v0_20_,sabre_layout,0,1,1,1,1
9,9,0.01052403450012207,2,2.487,3.269,0.001005,sabre_v0_20_,sabre_layout,0,1,1,1,1
1,1,0.009673118591308594,0,0.0,0.0,0.0005388,sabre_v0_20_,sabre_layout,0,1,1,1,1
3,3,0.01045680046081543,0,0.0,0.0,0.0005268,sabre_v0_20_,sabre_layout,0,1,1,1,1
19,21,0.0160677433013916,3,2.449,3.674,0.0005919,sabre_v0_20_,sabre_layout,0,1,1,1,1
2,2,0.009402036666870117,0,0.0,0.0,0.0001482,sabre_v0_20_,sabre_layout,0,1,1,1,1
13,13,0.011538028717041016,3,3.536,6.495,0.0003218,sabre_v0_20_,sabre_layout,0,1,1,1,1
2,2,0.00992274284362793,1,1.299,2.598,0.0002946,sabre_v0_20_,sabre_layout,0,1,1,1,1
84,84,0.021545886993408203,0,0.0,0.0,0.0002251,sabre_v0_20_,sabre_layout,0,1,1,1,1
24,27,0.015668153762817383,1,2.861,2.487,0.0007797,sabre_v0_20_,sabre_layout,0,1,1,1,1
3,2,0.010832071304321289,1,1.299,2.598,0.0003783,sabre_v0_20_,sabre_layout,0,1,1,1,1
0,0,0.010097980499267578,0,0.0,0.0,0.01848,sabre_v0_20_,sabre_layout,0,1,1,1,1
19,38,0.013727903366088867,1,2.55,4.437,0.0004768,sabre_v0_20_,sabre_layout,0,1,1,1,1
3,0,0.009802103042602539,0,0.0,0.0,0.0002125,sabre_v0_20_,sabre_layout,0,1,1,1,1
5,5,0.0103302001953125,2,1.09,1.299,0.0002563,sabre_v0_20_,sabre_layout,0,1,1,1,1
17,17,0.01194310188293457,0,1.299,1.299,0.0002685,sabre_v0_20_,sabre_layout,0,1,1,1,1
9,9,0.011159181594848633,0,2.598,2.598,0.0002706,sabre_v0_20_,sabre_layout,0,1,1,1,1
48,51,0.015529870986938477,0,1.803,2.487,0.0008337,sabre_v0_20_,sabre_layout,0,1,1,1,1
2,2,0.01080179214477539,0,0.0,0.0,0.0006354,sabre_v0_20_,sabre_layout,0,1,1,1,1
15,15,0.012452125549316406,0,2.487,2.487,0.0002394,sabre_v0_20_,sabre_layout,0,1,1,1,1
10,16,0.014025211334228516,0,2.5,1.5,0.0005048,sabre_v0_20_,sabre_layout,0,1,1,1,1
9,9,0.01149296760559082,0,1.5,1.5,0.02012,sabre_v0_20_,sabre_layout,0,1,1,1,1
4,4,0.011047124862670898,1,2.0,3.0,0.0007381,sabre_v0_20_,sabre_layout,0,1,1,1,1
13,25,0.013960123062133789,1,4.5,10.03,0.0009746,sabre_v0_20_,sabre_layout,0,1,1,1,1
2,6,0.015344858169555664,0,0.0,0.0,0.001305,sabre_v0_20_,sabre_layout,0,1,1,1,1
93,184,0.04162311553955078,0,13.97,18.12,0.001883,sabre_v0_20_,sabre_layout,0,1,1,1,1
2,4,0.013080120086669922,0,0.0,0.0,0.0003425,sabre_v0_20_,sabre_layout,0,1,1,1,1
99,131,0.022262096405029297,1,7.874,12.19,0.001452,sabre_v0_20_,sabre_layout,0,1,1,1,1
35,35,0.016989946365356445,2,11.0,20.61,0.0005647,sabre_v0_20_,sabre_layout,0,1,1,1,1
19,25,0.01402592658996582,0,2.046,1.299,0.0004609,sabre_v0_20_,sabre_layout,0,1,1,1,1
63,96,0.03980612754821777,2,2.598,2.121,0.006099,sabre_v0_20_,sabre_layout,0,1,1,1,1
63,96,0.04063820838928223,2,2.598,2.121,0.006311,sabre_v0_20_,sabre_layout,0,1,1,1,1
