depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
0,0,0.011976957321166992,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
15,18,0.012563943862915039,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
1,1,0.009337902069091797,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
3,3,0.010627985000610352,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
25,30,0.015146970748901367,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
2,2,0.010204076766967773,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
14,19,0.011432886123657227,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
5,8,0.010837078094482422,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
219,237,0.05263996124267578,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
31,33,0.016201019287109375,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
6,8,0.010914087295532227,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
0,0,0.00981283187866211,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
24,41,0.01373910903930664,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
3,0,0.009888172149658203,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
7,8,0.010999917984008789,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
17,17,0.011810064315795898,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
9,9,0.011348962783813477,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
69,78,0.020624876022338867,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
2,2,0.010640144348144531,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
15,15,0.012792110443115234,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
15,19,0.014410018920898438,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
9,9,0.011024951934814453,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
8,10,0.012106895446777344,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
16,28,0.01310586929321289,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
2,6,0.01526188850402832,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
100,205,0.0399019718170166,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
2,4,0.01243901252746582,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
163,242,0.04822492599487305,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
35,44,0.0170900821685791,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
19,25,0.013633012771606445,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
292,525,0.1199638843536377,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
292,525,0.12337827682495117,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
20,8,0.015315055847167969,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
10,10,0.015844106674194336,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
125,240,0.03783297538757324,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
10,4,0.013648033142089844,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
140,204,0.049429893493652344,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
366,618,0.25061702728271484,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
142,220,0.036164045333862305,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
67,81,0.023884057998657227,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
7,13,0.0140380859375,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
116,163,0.03650522232055664,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
207,322,0.07219481468200684,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
38,30,0.01833510398864746,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
0,0,0.012537002563476562,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
103,190,0.02733302116394043,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
143,302,0.05191183090209961,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
428,769,0.3851802349090576,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
428,769,0.4215548038482666,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
64,98,0.03338909149169922,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
81,108,0.02767014503479004,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
232,388,0.05147695541381836,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
12,16,0.015440940856933594,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
107,189,0.03337693214416504,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
303,583,0.1326301097869873,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
243,438,0.0582432746887207,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
509,918,0.19640779495239258,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
7,9,0.026424169540405273,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
120,216,0.05617809295654297,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
126,196,0.053070068359375,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
324,457,0.08097410202026367,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
735,1362,1.274681806564331,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
662,906,0.2006361484527588,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
128,192,0.03912091255187988,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
351,705,0.3147249221801758,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
66,70,0.02477407455444336,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
32,46,0.021179914474487305,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
1106,2032,2.517892837524414,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
474,931,0.09445977210998535,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
216,409,0.07522702217102051,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
755,1328,0.16318488121032715,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
292,383,0.09807205200195312,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
1549,2802,6.0706000328063965,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
321,571,0.10288381576538086,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
87,88,0.031033992767333984,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
296,531,0.08015704154968262,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
1392,2589,0.27132296562194824,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
42,42,0.03090190887451172,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
860,2261,2.3261148929595947,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
21,149,0.14647698402404785,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
682,979,0.28875207901000977,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
87,144,0.0540468692779541,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
442,857,0.437650203704834,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
1035,1878,0.29593515396118164,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1,1
