depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
0,0,0.010544061660766602,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
15,18,0.010513067245483398,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
1,1,0.009242773056030273,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
3,3,0.009350061416625977,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
25,30,0.014974355697631836,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
2,2,0.00922703742980957,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
14,19,0.011491060256958008,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
5,8,0.010055065155029297,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
219,237,0.053379058837890625,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
31,33,0.015085935592651367,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
6,8,0.010989904403686523,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
0,0,0.009289026260375977,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
24,41,0.013777971267700195,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
3,0,0.009668111801147461,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
7,8,0.011108875274658203,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
17,17,0.01165914535522461,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
9,9,0.011427879333496094,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
69,78,0.020693063735961914,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
2,2,0.009987831115722656,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
15,15,0.013480901718139648,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
15,19,0.013920783996582031,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
9,9,0.010960102081298828,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
8,10,0.011797428131103516,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
16,28,0.012483835220336914,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
2,6,0.014984846115112305,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
100,205,0.0397031307220459,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
2,4,0.012145757675170898,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
163,242,0.04764604568481445,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
35,44,0.01691603660583496,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
19,25,0.016238927841186523,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
292,525,0.16577410697937012,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
292,525,0.11914205551147461,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
20,8,0.014636993408203125,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
10,10,0.014245986938476562,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
125,240,0.03530097007751465,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
10,4,0.012962818145751953,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
140,204,0.04641103744506836,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
366,618,0.24419403076171875,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
142,220,0.03427410125732422,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
67,81,0.024196863174438477,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
7,13,0.013234853744506836,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.2,1
