depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
0,0,0.012285947799682617,0,0.0,0.0,0.0004292,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
3,3,0.010924816131591797,2,1.225,2.121,0.0002945,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
1,1,0.010002851486206055,0,0.0,0.0,0.01156,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
3,3,0.010512113571166992,0,0.0,0.0,0.0003991,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
19,24,0.012910127639770508,0,0.0,0.0,0.000266,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
2,2,0.010584831237792969,0,0.0,0.0,0.0006917,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
7,4,0.010769128799438477,0,0.0,0.0,0.0004064,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
2,2,0.010782003402709961,0,1.299,1.5,0.0001534,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
0,0,0.05038881301879883,0,0.0,0.0,0.01327,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
24,27,0.013613224029541016,1,5.0,5.356,0.0003795,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
3,2,0.012349843978881836,0,1.5,1.5,0.000585,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
0,0,0.010908126831054688,0,0.0,0.0,0.0005425,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
5,5,0.010792970657348633,0,0.0,0.0,0.014,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
3,0,0.010969877243041992,0,0.0,0.0,9.64e-05,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
2,2,0.010990142822265625,2,2.121,3.897,0.0006984,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
20,20,0.011836051940917969,3,2.598,2.598,0.0003535,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
9,9,0.01123809814453125,0,4.5,4.5,0.0002,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
25,27,0.014211177825927734,2,1.299,1.5,0.0006726,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
2,2,0.010323047637939453,0,0.0,0.0,0.0122,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
9,9,0.010817766189575195,0,0.0,0.0,0.0005261,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
15,19,0.014199018478393555,0,2.947,2.487,0.0005023,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
12,12,0.011397123336791992,0,1.5,1.5,0.0003705,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
4,4,0.011799812316894531,0,0.0,0.0,0.0006055,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
6,10,0.04276609420776367,3,1.92,4.437,0.01267,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
2,0,0.012909650802612305,0,0.0,0.0,0.0002052,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
27,43,0.013049840927124023,3,1.225,3.269,0.0008687,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
2,4,0.013453960418701172,0,2.165,2.598,0.0004715,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
14,17,0.013505935668945312,0,0.0,0.0,0.0005106,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
14,14,0.011987924575805664,0,2.046,3.674,0.01426,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
22,31,0.014343023300170898,0,0.8292,2.487,0.0002827,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
2,24,0.012356281280517578,0,0.0,0.0,0.0005435,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
2,24,0.011919021606445312,0,0.0,0.0,0.0004383,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
