depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
0,0,0.011465072631835938,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
9,15,0.010471820831298828,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
1,1,0.00955820083618164,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
3,3,0.009553909301757812,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
19,21,0.013947010040283203,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
2,2,0.00914311408996582,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
22,28,0.011036157608032227,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
2,2,0.009479999542236328,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
135,135,0.040495872497558594,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
24,27,0.014623165130615234,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
3,2,0.010201215744018555,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
0,0,0.009365081787109375,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
35,35,0.01343393325805664,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
3,0,0.009786844253540039,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
7,11,0.011140108108520508,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
17,17,0.011279106140136719,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
9,9,0.010720968246459961,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
61,60,0.02057504653930664,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
2,2,0.009724140167236328,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
18,18,0.012652873992919922,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
15,19,0.013055086135864258,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
9,9,0.01061105728149414,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
4,4,0.01032710075378418,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
28,31,0.012943744659423828,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
2,6,0.015740156173706055,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
74,124,0.03941798210144043,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
2,4,0.013653039932250977,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
136,146,0.04069709777832031,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
38,38,0.016409873962402344,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
14,16,0.013231992721557617,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
187,240,0.10466790199279785,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
187,240,0.10352611541748047,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
20,8,0.017204999923706055,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
10,10,0.015256881713867188,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
201,210,0.08198785781860352,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
10,4,0.013604164123535156,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
129,171,0.04239201545715332,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
287,360,0.13562703132629395,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
166,223,0.03794384002685547,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
58,60,0.020596981048583984,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
6,13,0.01341104507446289,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
95,121,0.03181624412536621,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
217,322,0.05324816703796387,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
38,30,0.016742229461669922,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
0,0,0.011694192886352539,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
74,85,0.022875070571899414,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
86,158,0.04861092567443848,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
302,394,0.22363710403442383,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
302,394,0.2229328155517578,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
57,71,0.02789306640625,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
70,54,0.02691197395324707,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
238,250,0.04675912857055664,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
12,16,0.01575613021850586,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
85,120,0.029546022415161133,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
339,493,0.09729909896850586,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
243,285,0.0529940128326416,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
470,735,0.15883302688598633,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
7,9,0.02617478370666504,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
125,192,0.053205013275146484,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
125,154,0.04203391075134277,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
248,307,0.07023191452026367,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
516,891,0.4333927631378174,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
543,708,0.15306806564331055,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
76,120,0.037258148193359375,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
351,606,0.20545721054077148,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
54,61,0.025054931640625,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
32,46,0.02165985107421875,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
733,1186,0.644798994064331,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
533,664,0.08830690383911133,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
187,328,0.07361793518066406,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
710,863,0.12040543556213379,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
204,305,0.10565614700317383,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
1051,1809,1.0468690395355225,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
267,466,0.1130058765411377,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
87,88,0.02978205680847168,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
160,297,0.07844996452331543,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
1255,1605,0.19599008560180664,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
42,42,0.032239675521850586,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
743,1586,0.6674559116363525,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
31,155,0.1424250602722168,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
449,838,0.29441094398498535,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
66,90,0.044497013092041016,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
362,695,0.23244595527648926,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
747,1158,0.24907803535461426,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
25,231,0.20126104354858398,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
