depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
0,0,0.011950016021728516,0,0.0,0.0,0.01092,sabre_v0_20_,sabre_layout,0,1,1,1,1
9,9,0.009889841079711914,2,2.487,3.269,0.0004788,sabre_v0_20_,sabre_layout,0,1,1,1,1
1,1,0.008785247802734375,0,0.0,0.0,0.0004547,sabre_v0_20_,sabre_layout,0,1,1,1,1
3,3,0.009257078170776367,0,0.0,0.0,0.0003366,sabre_v0_20_,sabre_layout,0,1,1,1,1
19,21,0.011332035064697266,3,2.449,3.674,0.0005464,sabre_v0_20_,sabre_layout,0,1,1,1,1
2,2,0.009138822555541992,0,0.0,0.0,0.0004106,sabre_v0_20_,sabre_layout,0,1,1,1,1
7,4,0.009366989135742188,0,0.0,0.0,0.0002166,sabre_v0_20_,sabre_layout,0,1,1,1,1
2,2,0.00861811637878418,1,1.299,2.598,0.0006985,sabre_v0_20_,sabre_layout,0,1,1,1,1
0,0,0.020318984985351562,0,0.0,0.0,0.001289,sabre_v0_20_,sabre_layout,0,1,1,1,1
24,27,0.011322975158691406,1,2.861,2.487,0.0003557,sabre_v0_20_,sabre_layout,0,1,1,1,1
3,2,0.042948246002197266,1,1.299,2.598,0.01416,sabre_v0_20_,sabre_layout,0,1,1,1,1
0,0,0.008638143539428711,0,0.0,0.0,0.0002502,sabre_v0_20_,sabre_layout,0,1,1,1,1
5,5,0.00923013687133789,0,0.0,0.0,0.0002009,sabre_v0_20_,sabre_layout,0,1,1,1,1
3,0,0.009230852127075195,0,0.0,0.0,0.000274,sabre_v0_20_,sabre_layout,0,1,1,1,1
5,5,0.009730100631713867,2,1.09,1.299,0.0001398,sabre_v0_20_,sabre_layout,0,1,1,1,1
17,17,0.011234045028686523,0,1.299,1.299,0.0002822,sabre_v0_20_,sabre_layout,0,1,1,1,1
9,9,0.010154962539672852,0,2.598,2.598,0.0001944,sabre_v0_20_,sabre_layout,0,1,1,1,1
23,24,0.011667251586914062,1,2.165,4.437,0.0004319,sabre_v0_20_,sabre_layout,0,1,1,1,1
2,2,0.009386301040649414,0,0.0,0.0,0.0003494,sabre_v0_20_,sabre_layout,0,1,1,1,1
9,9,0.009274721145629883,0,0.0,0.0,0.0002996,sabre_v0_20_,sabre_layout,0,1,1,1,1
10,16,0.04573202133178711,0,2.5,1.5,0.01438,sabre_v0_20_,sabre_layout,0,1,1,1,1
9,9,0.010567903518676758,0,1.5,1.5,0.0004515,sabre_v0_20_,sabre_layout,0,1,1,1,1
4,4,0.009890079498291016,1,2.0,3.0,0.0003138,sabre_v0_20_,sabre_layout,0,1,1,1,1
13,25,0.012604951858520508,1,4.5,10.03,0.0005296,sabre_v0_20_,sabre_layout,0,1,1,1,1
2,0,0.011765003204345703,0,0.0,0.0,0.0002921,sabre_v0_20_,sabre_layout,0,1,1,1,1
25,40,0.011131048202514648,3,2.121,6.364,0.001071,sabre_v0_20_,sabre_layout,0,1,1,1,1
2,4,0.011815786361694336,0,0.0,0.0,0.0002377,sabre_v0_20_,sabre_layout,0,1,1,1,1
14,17,0.013023853302001953,0,0.0,0.0,0.0005524,sabre_v0_20_,sabre_layout,0,1,1,1,1
14,14,0.009856939315795898,0,5.745,6.139,0.0008004,sabre_v0_20_,sabre_layout,0,1,1,1,1
19,25,0.012929201126098633,0,2.046,1.299,0.01465,sabre_v0_20_,sabre_layout,0,1,1,1,1
2,24,0.011291980743408203,0,0.0,0.0,0.000314,sabre_v0_20_,sabre_layout,0,1,1,1,1
2,24,0.011404037475585938,0,0.0,0.0,0.0002748,sabre_v0_20_,sabre_layout,0,1,1,1,1
20,8,0.011713743209838867,0,0.0,0.0,0.0002609,sabre_v0_20_,sabre_layout,0,1,1,1,1
10,10,0.012597799301147461,0,0.0,0.0,0.000694,sabre_v0_20_,sabre_layout,0,1,1,1,1
114,222,0.030133962631225586,3,6.344,25.22,0.002063,sabre_v0_20_,sabre_layout,0,1,1,1,1
10,4,0.012562036514282227,0,0.0,0.0,0.000272,sabre_v0_20_,sabre_layout,0,1,1,1,1
45,60,0.011322021484375,0,0.0,0.0,0.0001792,sabre_v0_20_,sabre_layout,0,1,1,1,1
2,30,0.012341976165771484,0,0.0,0.0,0.0002746,sabre_v0_20_,sabre_layout,0,1,1,1,1
