depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
0,0,0.01052093505859375,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
15,18,0.010532140731811523,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
1,1,0.008887052536010742,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
3,3,0.00944209098815918,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
25,30,0.014956951141357422,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
2,2,0.011270761489868164,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
14,19,0.012254953384399414,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
5,8,0.011554956436157227,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
219,237,0.05399894714355469,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
31,33,0.015789031982421875,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
6,8,0.010855913162231445,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
0,0,0.010008811950683594,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
24,41,0.013272762298583984,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
3,0,0.010277748107910156,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
7,8,0.01081395149230957,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
17,17,0.012433767318725586,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
9,9,0.01133418083190918,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
69,78,0.021172046661376953,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
2,2,0.010490894317626953,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
15,15,0.012909173965454102,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
15,19,0.014895200729370117,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
9,9,0.011311054229736328,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
8,10,0.011811017990112305,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
16,28,0.014178037643432617,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
2,6,0.014811277389526367,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
100,205,0.04031109809875488,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
2,4,0.012979984283447266,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
163,242,0.05194997787475586,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
35,44,0.01732182502746582,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
19,25,0.01446223258972168,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
292,525,0.12430119514465332,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
292,525,0.12845301628112793,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
20,8,0.016582965850830078,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
10,10,0.01619410514831543,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
125,240,0.038336992263793945,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
10,4,0.01347804069519043,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
140,204,0.04696917533874512,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
366,618,0.28789305686950684,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
142,220,0.03362679481506348,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
67,81,0.022996902465820312,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
7,13,0.01366281509399414,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
116,163,0.035594940185546875,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
207,322,0.0733327865600586,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
38,30,0.018536806106567383,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
0,0,0.013416051864624023,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,1.06,1
