depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
0,0,0.010149955749511719,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
15,18,0.010860919952392578,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
1,1,0.008764982223510742,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
3,3,0.010243892669677734,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
25,30,0.015410900115966797,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
2,2,0.010055065155029297,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
14,19,0.011372089385986328,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
5,8,0.010821104049682617,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
219,237,0.05432772636413574,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
31,33,0.015919208526611328,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
6,8,0.011260986328125,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
0,0,0.010489225387573242,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
24,41,0.013508081436157227,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
3,0,0.009671926498413086,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
7,8,0.010579109191894531,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
17,17,0.04914689064025879,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
9,9,0.0116119384765625,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
69,78,0.020547151565551758,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
2,2,0.010438919067382812,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
15,15,0.01260685920715332,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
15,19,0.014850854873657227,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
9,9,0.011564016342163086,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
8,10,0.011993885040283203,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
16,28,0.012730121612548828,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
2,6,0.015149116516113281,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
100,205,0.03971290588378906,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
2,4,0.01217794418334961,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
161,245,0.04645204544067383,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
35,44,0.018236875534057617,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
19,25,0.014824867248535156,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
225,351,0.12251496315002441,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
225,351,0.12178301811218262,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
20,8,0.014245033264160156,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
10,10,0.016124963760375977,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
125,240,0.035698890686035156,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
10,4,0.01277303695678711,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
140,204,0.04561209678649902,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
384,693,0.27198290824890137,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
142,220,0.034455060958862305,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
67,81,0.023081064224243164,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
7,13,0.013313055038452148,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
116,163,0.036041975021362305,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
207,322,0.0694422721862793,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
38,30,0.017687082290649414,0,0,0,0,sabre_v0_20_crit,sabre_layout,0,1,1,2,1
