depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter,qc_label
239,267,0.0367581844329834,0,0,0,0,sabre_v0_20_,fast_layout,0,1,1,1,1,0
92,154,0.017325878143310547,0,0,0,0,sabre_v0_20_,fast_layout,0,1,1,1,1,1
128,149,0.04427909851074219,0,0,0,0,sabre_v0_20_,fast_layout,0,1,1,1,1,2
194,315,0.030535221099853516,0,0,0,0,sabre_v0_20_,fast_layout,0,1,1,1,1,3
194,315,0.03087306022644043,0,0,0,0,sabre_v0_20_,fast_layout,0,1,1,1,1,4
460,813,0.07894301414489746,0,0,0,0,sabre_v0_20_,fast_layout,0,1,1,1,1,5
130,195,0.029194116592407227,0,0,0,0,sabre_v0_20_,fast_layout,0,1,1,1,1,6
640,867,0.08579206466674805,0,0,0,0,sabre_v0_20_,fast_layout,0,1,1,1,1,7
135,283,0.0320887565612793,0,0,0,0,sabre_v0_20_,fast_layout,0,1,1,1,1,8
96,249,0.11390304565429688,0,0,0,0,sabre_v0_20_,fast_layout,0,1,1,1,1,9
