depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
262,297,0.038533687591552734,0,0,0,0,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
72,145,0.023401975631713867,0,0,0,0,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
180,209,0.027177095413208008,0,0,0,0,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
152,405,0.05017375946044922,0,0,0,0,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
152,405,0.049963951110839844,0,0,0,0,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
541,918,0.12369608879089355,0,0,0,0,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
210,306,0.04176616668701172,0,0,0,0,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
663,939,0.1132669448852539,0,0,0,0,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
110,388,0.04816412925720215,0,0,0,0,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
90,243,0.1237649917602539,0,0,0,0,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
