depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter,qc_label
230,270,3.790170465969955,0,0,0,0,sabre_v0_20_depth,fast_layout,0,100,1,1,1,0
83,140,1.8117092186524895,0,0,0,0,sabre_v0_20_depth,fast_layout,0,100,1,1,1,1
150,184,2.0434763925142962,0,0,0,0,sabre_v0_20_depth,fast_layout,0,100,1,1,1,2
118,311,5.838828014014083,0,0,0,0,sabre_v0_20_depth,fast_layout,0,100,1,1,1,3
118,311,3.101172285674285,0,0,0,0,sabre_v0_20_depth,fast_layout,0,100,1,1,1,4
366,758,8.21413712336482,0,0,0,0,sabre_v0_20_depth,fast_layout,0,100,1,1,1,5
143,210,3.155443099127249,0,0,0,0,sabre_v0_20_depth,fast_layout,0,100,1,1,1,6
531,774,8.85989533746458,0,0,0,0,sabre_v0_20_depth,fast_layout,0,100,1,1,1,7
97,301,3.2577052610361825,0,0,0,0,sabre_v0_20_depth,fast_layout,0,100,1,1,1,8
102,224,12.66026098044484,0,0,0,0,sabre_v0_20_depth,fast_layout,0,100,1,1,1,9
