depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter,qc_label
186,246,0.6711680889129639,0,0,0,0,sabre_v0_20_dive,fast_layout,0,1,1,1,1,0
69,178,0.5640919208526611,0,0,0,0,sabre_v0_20_dive,fast_layout,0,1,1,1,1,1
100,185,0.29088521003723145,0,0,0,0,sabre_v0_20_dive,fast_layout,0,1,1,1,1,2
136,471,3.6924631595611572,0,0,0,0,sabre_v0_20_dive,fast_layout,0,1,1,1,1,3
136,471,3.673860788345337,0,0,0,0,sabre_v0_20_dive,fast_layout,0,1,1,1,1,4
364,1095,29.164520978927612,0,0,0,0,sabre_v0_20_dive,fast_layout,0,1,1,1,1,5
158,330,2.5095198154449463,0,0,0,0,sabre_v0_20_dive,fast_layout,0,1,1,1,1,6
499,1452,21.16408133506775,0,0,0,0,sabre_v0_20_dive,fast_layout,0,1,1,1,1,7
88,325,2.534525156021118,0,0,0,0,sabre_v0_20_dive,fast_layout,0,1,1,1,1,8
99,282,1.1894910335540771,0,0,0,0,sabre_v0_20_dive,fast_layout,0,1,1,1,1,9
186,234,1.1332547664642334,0,0,0,0,sabre_v0_20_dive,fast_layout,0,2,1,1,1,0
69,172,1.0654189586639404,0,0,0,0,sabre_v0_20_dive,fast_layout,0,2,1,1,1,1
97,128,0.3438739776611328,0,0,0,0,sabre_v0_20_dive,fast_layout,0,2,1,1,1,2
136,465,7.274964809417725,0,0,0,0,sabre_v0_20_dive,fast_layout,0,2,1,1,1,3
136,465,7.228192090988159,0,0,0,0,sabre_v0_20_dive,fast_layout,0,2,1,1,1,4
367,1125,63.29660105705261,0,0,0,0,sabre_v0_20_dive,fast_layout,0,2,1,1,1,5
158,330,5.126314878463745,0,0,0,0,sabre_v0_20_dive,fast_layout,0,2,1,1,1,6
526,1470,47.59264588356018,0,0,0,0,sabre_v0_20_dive,fast_layout,0,2,1,1,1,7
80,343,3.5787179470062256,0,0,0,0,sabre_v0_20_dive,fast_layout,0,2,1,1,1,8
87,348,13.606332063674927,0,0,0,0,sabre_v0_20_dive,fast_layout,0,2,1,1,1,9
188,240,1.626067876815796,0,0,0,0,sabre_v0_20_dive,fast_layout,0,3,1,1,1,0
72,187,1.9480419158935547,0,0,0,0,sabre_v0_20_dive,fast_layout,0,3,1,1,1,1
95,200,0.863055944442749,0,0,0,0,sabre_v0_20_dive,fast_layout,0,3,1,1,1,2
136,465,11.233644008636475,0,0,0,0,sabre_v0_20_dive,fast_layout,0,3,1,1,1,3
136,465,11.171961069107056,0,0,0,0,sabre_v0_20_dive,fast_layout,0,3,1,1,1,4
366,1173,96.71341490745544,0,0,0,0,sabre_v0_20_dive,fast_layout,0,3,1,1,1,5
156,291,6.306426048278809,0,0,0,0,sabre_v0_20_dive,fast_layout,0,3,1,1,1,6
512,1509,71.4436628818512,0,0,0,0,sabre_v0_20_dive,fast_layout,0,3,1,1,1,7
76,391,4.849112033843994,0,0,0,0,sabre_v0_20_dive,fast_layout,0,3,1,1,1,8
87,348,21.185335874557495,0,0,0,0,sabre_v0_20_dive,fast_layout,0,3,1,1,1,9
188,240,2.182344913482666,0,0,0,0,sabre_v0_20_dive,fast_layout,0,4,1,1,1,0
72,187,2.5958988666534424,0,0,0,0,sabre_v0_20_dive,fast_layout,0,4,1,1,1,1
97,128,0.8114700317382812,0,0,0,0,sabre_v0_20_dive,fast_layout,0,4,1,1,1,2
136,465,15.055357933044434,0,0,0,0,sabre_v0_20_dive,fast_layout,0,4,1,1,1,3
136,465,15.2309091091156,0,0,0,0,sabre_v0_20_dive,fast_layout,0,4,1,1,1,4
366,1173,130.09579372406006,0,0,0,0,sabre_v0_20_dive,fast_layout,0,4,1,1,1,5
141,267,8.071730136871338,0,0,0,0,sabre_v0_20_dive,fast_layout,0,4,1,1,1,6
495,1461,78.78590798377991,0,0,0,0,sabre_v0_20_dive,fast_layout,0,4,1,1,1,7
76,391,6.497217893600464,0,0,0,0,sabre_v0_20_dive,fast_layout,0,4,1,1,1,8
96,306,7.920772075653076,0,0,0,0,sabre_v0_20_dive,fast_layout,0,4,1,1,1,9
186,222,2.58052921295166,0,0,0,0,sabre_v0_20_dive,fast_layout,0,5,1,1,1,0
72,187,3.214168071746826,0,0,0,0,sabre_v0_20_dive,fast_layout,0,5,1,1,1,1
