depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
209,252,0.04499006271362305,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
75,115,0.02235889434814453,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
130,146,0.02756023406982422,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
178,273,0.04733896255493164,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
178,273,0.04688596725463867,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
455,669,0.13700413703918457,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
105,189,0.03795909881591797,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
531,654,0.10279393196105957,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
111,166,0.0397188663482666,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
105,243,0.09636807441711426,0,0,0,0,sabre_v0_20_extended,sabre_layout,0,1,1,1,1
