depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter,qc_label
6,6,0.027462005615234375,0,0,0,0,sabre_v0_20_look,fast_layout,10,1,1,1,1,0
8,9,0.013345003128051758,0,0,0,0,sabre_v0_20_look,fast_layout,10,1,1,1,1,1
14,17,0.015182018280029297,0,0,0,0,sabre_v0_20_look,fast_layout,10,1,1,1,1,2
18,53,0.027165889739990234,0,0,0,0,sabre_v0_20_look,fast_layout,10,1,1,1,1,3
18,53,0.026589155197143555,0,0,0,0,sabre_v0_20_look,fast_layout,10,1,1,1,1,4
15,27,0.052490949630737305,0,0,0,0,sabre_v0_20_look,fast_layout,10,1,1,1,1,5
19,32,0.024513959884643555,0,0,0,0,sabre_v0_20_look,fast_layout,10,1,1,1,1,6
8,12,0.08428597450256348,0,0,0,0,sabre_v0_20_look,fast_layout,10,1,1,1,1,7
5,6,0.02262091636657715,0,0,0,0,sabre_v0_20_look,fast_layout,10,1,1,1,1,8
16,39,0.07092499732971191,0,0,0,0,sabre_v0_20_look,fast_layout,10,1,1,1,1,9
6,6,0.026279211044311523,0,0,0,0,sabre_v0_20_look,fast_layout,10,2,1,1,1,0
8,9,0.01304316520690918,0,0,0,0,sabre_v0_20_look,fast_layout,10,2,1,1,1,1
14,17,0.015988826751708984,0,0,0,0,sabre_v0_20_look,fast_layout,10,2,1,1,1,2
18,53,0.030595064163208008,0,0,0,0,sabre_v0_20_look,fast_layout,10,2,1,1,1,3
18,53,0.03244209289550781,0,0,0,0,sabre_v0_20_look,fast_layout,10,2,1,1,1,4
8,15,0.05594801902770996,0,0,0,0,sabre_v0_20_look,fast_layout,10,2,1,1,1,5
19,28,0.05574393272399902,0,0,0,0,sabre_v0_20_look,fast_layout,10,2,1,1,1,6
8,12,0.06329011917114258,0,0,0,0,sabre_v0_20_look,fast_layout,10,2,1,1,1,7
5,6,0.024199247360229492,0,0,0,0,sabre_v0_20_look,fast_layout,10,2,1,1,1,8
16,39,0.07113790512084961,0,0,0,0,sabre_v0_20_look,fast_layout,10,2,1,1,1,9
