depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter,qc_label
219,233,25.79454684815975,0,0,0,0,sabre_v0_20_depth,fast_layout,0,680,1,1,1,0
79,121,12.329846041321824,0,0,0,0,sabre_v0_20_depth,fast_layout,0,680,1,1,1,1
143,159,13.907170670311572,0,0,0,0,sabre_v0_20_depth,fast_layout,0,680,1,1,1,2
113,268,39.73697861298984,0,0,0,0,sabre_v0_20_depth,fast_layout,0,680,1,1,1,3
113,268,21.105471251295985,0,0,0,0,sabre_v0_20_depth,fast_layout,0,680,1,1,1,4
348,653,55.90248426771463,0,0,0,0,sabre_v0_20_depth,fast_layout,0,680,1,1,1,5
136,181,21.474819029362738,0,0,0,0,sabre_v0_20_depth,fast_layout,0,680,1,1,1,6
506,667,60.29728409419617,0,0,0,0,sabre_v0_20_depth,fast_layout,0,680,1,1,1,7
92,259,22.170778788913825,0,0,0,0,sabre_v0_20_depth,fast_layout,0,680,1,1,1,8
97,193,86.161215676731,0,0,0,0,sabre_v0_20_depth,fast_layout,0,680,1,1,1,9
