depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter,qc_label
286,325,0.9045525324022069,0,0,0,0,sabre_v0_20_depth,fast_layout,23,100,1,1,1,0
93,153,0.4323779567231538,0,0,0,0,sabre_v0_20_depth,fast_layout,23,100,1,1,1,1
168,201,0.48769092639739475,0,0,0,0,sabre_v0_20_depth,fast_layout,23,100,1,1,1,2
132,339,1.3934799803221447,0,0,0,0,sabre_v0_20_depth,fast_layout,23,100,1,1,1,3
132,339,0.7401179629276473,0,0,0,0,sabre_v0_20_depth,fast_layout,23,100,1,1,1,4
416,822,1.9603652667208362,0,0,0,0,sabre_v0_20_depth,fast_layout,23,100,1,1,1,5
170,249,0.7530700985070805,0,0,0,0,sabre_v0_20_depth,fast_layout,23,100,1,1,1,6
596,845,2.1144802948252464,0,0,0,0,sabre_v0_20_depth,fast_layout,23,100,1,1,1,7
109,329,0.7774757283736458,0,0,0,0,sabre_v0_20_depth,fast_layout,23,100,1,1,1,8
117,254,3.0214659824814873,0,0,0,0,sabre_v0_20_depth,fast_layout,23,100,1,1,1,9
