depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
17,102,0.0016660690307617188,0,0,0,6.25e-05,None,trivial_layout,0,1,1,1,3
37,210,0.0026521682739257812,0,0,0,0.0002423,None,trivial_layout,0,1,1,1,3
55,323,0.0041048526763916016,0,0,0,3.253e-05,None,trivial_layout,0,1,1,1,3
66,417,0.0054209232330322266,0,0,0,0.001696,None,trivial_layout,0,1,1,1,3
73,540,0.006322145462036133,0,0,0,0.01141,None,trivial_layout,0,1,1,1,3
95,630,0.007673978805541992,0,0,0,0.0002523,None,trivial_layout,0,1,1,1,3
115,726,0.008250951766967773,0,0,0,0.0001487,None,trivial_layout,0,1,1,1,3
124,843,0.009573936462402344,0,0,0,0.0001746,None,trivial_layout,0,1,1,1,3
148,950,0.010549068450927734,0,0,0,0.0001262,None,trivial_layout,0,1,1,1,3
155,1045,0.01145482063293457,0,0,0,0.0002217,None,trivial_layout,0,1,1,1,3
