depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
4,43,0.0012166500091552734,0,0,0,0.000195,None,trivial_layout,0,1,1,1,3
8,69,0.0010769367218017578,0,0,0,7.734e-05,None,trivial_layout,0,1,1,1,3
12,107,0.0011508464813232422,0,0,0,4.429e-05,None,trivial_layout,0,1,1,1,3
16,149,0.0014498233795166016,0,0,0,4.662e-05,None,trivial_layout,0,1,1,1,3
20,188,0.0016350746154785156,0,0,0,0.0004733,None,trivial_layout,0,1,1,1,3
24,242,0.0020492076873779297,0,0,0,7.141e-05,None,trivial_layout,0,1,1,1,3
28,285,0.0021817684173583984,0,0,0,5.828e-05,None,trivial_layout,0,1,1,1,3
29,268,0.0023288726806640625,0,0,0,0.0001315,None,trivial_layout,0,1,1,1,3
36,314,0.002939939498901367,0,0,0,0.0002192,None,trivial_layout,0,1,1,1,3
39,340,0.002997159957885742,0,0,0,8.149e-05,None,trivial_layout,0,1,1,1,3
42,377,0.0032892227172851562,0,0,0,0.0001257,None,trivial_layout,0,1,1,1,3
46,412,0.003312826156616211,0,0,0,6.535e-05,None,trivial_layout,0,1,1,1,3
50,453,0.0035419464111328125,0,0,0,0.0001498,None,trivial_layout,0,1,1,1,3
52,474,0.0035839080810546875,0,0,0,9.63e-05,None,trivial_layout,0,1,1,1,3
63,575,0.0044939517974853516,0,0,0,0.0001978,None,trivial_layout,0,1,1,1,3
60,592,0.004307985305786133,0,0,0,0.000114,None,trivial_layout,0,1,1,1,3
66,607,0.004448890686035156,0,0,0,5.986e-05,None,trivial_layout,0,1,1,1,3
66,591,0.0047070980072021484,0,0,0,5.142e-05,None,trivial_layout,0,1,1,1,3
70,680,0.00486302375793457,0,0,0,0.01122,None,trivial_layout,0,1,1,1,3
80,717,0.005338907241821289,0,0,0,0.0001236,None,trivial_layout,0,1,1,1,3
76,760,0.005346775054931641,0,0,0,5.671e-05,None,trivial_layout,0,1,1,1,3
85,741,0.00535893440246582,0,0,0,2.492e-05,None,trivial_layout,0,1,1,1,3
90,816,0.0059320926666259766,0,0,0,0.0001686,None,trivial_layout,0,1,1,1,3
91,872,0.0060689449310302734,0,0,0,5.623e-05,None,trivial_layout,0,1,1,1,3
98,934,0.006649971008300781,0,0,0,0.0001611,None,trivial_layout,0,1,1,1,3
96,915,0.006735086441040039,0,0,0,0.0001991,None,trivial_layout,0,1,1,1,3
