depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
17,119,0.002892732620239258,0,0,0,0.0004554,None,trivial_layout,0,1,1,1,3
32,238,0.003402233123779297,0,0,0,0.0001031,None,trivial_layout,0,1,1,1,3
45,368,0.004587888717651367,0,0,0,8.814e-05,None,trivial_layout,0,1,1,1,3
64,448,0.005462169647216797,0,0,0,0.0001872,None,trivial_layout,0,1,1,1,3
82,608,0.0068700313568115234,0,0,0,0.0001354,None,trivial_layout,0,1,1,1,3
96,696,0.008326053619384766,0,0,0,0.0001655,None,trivial_layout,0,1,1,1,3
110,799,0.009067058563232422,0,0,0,3.503e-05,None,trivial_layout,0,1,1,1,3
126,956,0.011450052261352539,0,0,0,0.0003331,None,trivial_layout,0,1,1,1,3
143,1078,0.01247406005859375,0,0,0,0.0002538,None,trivial_layout,0,1,1,1,3
152,1167,0.013495922088623047,0,0,0,0.0002874,None,trivial_layout,0,1,1,1,3
