depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
10,54,0.02470707893371582,1,2.385,5.612,0.002391,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
23,123,0.04969072341918945,0,4.33,13.48,0.003571,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
40,212,0.08154797554016113,3,4.71,18.05,0.003016,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
78,303,0.11866307258605957,2,3.345,34.5,0.008174,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
69,363,0.1245570182800293,0,14.62,42.34,0.006022,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
118,520,0.19139480590820312,3,11.58,61.37,0.009013,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
113,512,0.20971012115478516,1,10.49,28.8,0.009433,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
164,754,0.2358100414276123,2,7.969,13.5,0.01169,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
167,717,0.2580077648162842,2,12.93,30.18,0.004058,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
156,772,0.28226804733276367,1,17.65,55.29,0.009205,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
205,814,0.2779231071472168,3,8.292,24.14,0.01255,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
212,993,0.3690197467803955,2,12.98,15.93,0.01088,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
227,942,0.34769678115844727,1,21.23,84.77,0.01568,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
222,1001,0.3666660785675049,3,16.45,41.73,0.02586,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
261,1203,0.43810486793518066,3,22.01,58.61,0.01853,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
283,1205,0.43754076957702637,1,21.94,34.88,0.0137,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
275,1261,0.46352291107177734,2,13.5,89.05,0.02221,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
327,1404,0.536919116973877,0,14.99,41.52,0.01882,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
354,1563,0.5302920341491699,2,25.22,70.37,0.02051,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
332,1458,0.5572760105133057,1,19.7,79.44,0.02345,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
361,1706,0.615199089050293,3,25.13,57.67,0.02122,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
336,1601,0.6164228916168213,0,57.08,112.6,0.016,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
357,1606,0.6075849533081055,2,23.09,114.9,0.02299,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
363,1653,0.6867008209228516,0,36.36,84.13,0.02436,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
414,1855,0.7165098190307617,3,23.18,69.0,0.01456,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
459,2113,0.7043540477752686,2,19.8,41.37,0.01076,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
462,2070,0.7362852096557617,3,9.76,51.9,0.005377,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
454,1964,0.789362907409668,3,29.81,54.8,0.02395,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
428,1792,0.8090510368347168,3,42.96,196.0,0.0284,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
534,2340,0.7560672760009766,0,16.71,87.73,0.04402,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
485,2157,0.902662992477417,3,48.25,115.9,0.03241,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
