depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
19,109,0.001753091812133789,0,0,0,4.822e-05,None,trivial_layout,0,1,1,1,3
39,228,0.003245830535888672,0,0,0,0.000154,None,trivial_layout,0,1,1,1,3
56,339,0.00438690185546875,0,0,0,3.829e-05,None,trivial_layout,0,1,1,1,3
76,469,0.005609035491943359,0,0,0,0.000211,None,trivial_layout,0,1,1,1,3
98,585,0.007127046585083008,0,0,0,0.0001639,None,trivial_layout,0,1,1,1,3
108,705,0.008109807968139648,0,0,0,0.0001409,None,trivial_layout,0,1,1,1,3
127,803,0.009181022644042969,0,0,0,4.949e-05,None,trivial_layout,0,1,1,1,3
146,934,0.010617971420288086,0,0,0,7.041e-05,None,trivial_layout,0,1,1,1,3
157,1025,0.011512041091918945,0,0,0,0.0001694,None,trivial_layout,0,1,1,1,3
197,1175,0.01324915885925293,0,0,0,0.0001298,None,trivial_layout,0,1,1,1,3
