depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.00628209114074707,3,1.732,1.299,0.0008928,sabre_v0_20_,sabre_layout,0,1,1,1,3
5,19,0.013498306274414062,0,6.418,5.408,0.001257,sabre_v0_20_,sabre_layout,0,1,1,1,3
16,49,0.02158379554748535,1,7.228,14.77,0.002948,sabre_v0_20_,sabre_layout,0,1,1,1,3
18,73,0.0332798957824707,0,3.674,16.35,0.0149,sabre_v0_20_,sabre_layout,0,1,1,1,3
25,121,0.05585312843322754,2,12.02,19.25,0.003154,sabre_v0_20_,sabre_layout,0,1,1,1,3
60,223,0.06824302673339844,1,7.496,33.44,0.006097,sabre_v0_20_,sabre_layout,0,1,1,1,3
55,214,0.0721731185913086,1,7.018,18.17,0.004473,sabre_v0_20_,sabre_layout,0,1,1,1,3
43,199,0.07526469230651855,1,13.37,43.49,0.008878,sabre_v0_20_,sabre_layout,0,1,1,1,3
94,313,0.1135258674621582,0,6.819,37.19,0.003856,sabre_v0_20_,sabre_layout,0,1,1,1,3
92,351,0.12199592590332031,2,8.86,31.7,0.002185,sabre_v0_20_,sabre_layout,0,1,1,1,3
97,428,0.11715006828308105,1,26.55,46.98,0.01605,sabre_v0_20_,sabre_layout,0,1,1,1,3
86,369,0.1252460479736328,3,12.86,44.14,0.009408,sabre_v0_20_,sabre_layout,0,1,1,1,3
118,450,0.1526658535003662,2,7.583,33.2,0.009648,sabre_v0_20_,sabre_layout,0,1,1,1,3
111,484,0.1716010570526123,2,14.12,18.06,0.01807,sabre_v0_20_,sabre_layout,0,1,1,1,3
115,560,0.2032451629638672,1,49.34,108.3,0.01316,sabre_v0_20_,sabre_layout,0,1,1,1,3
163,634,0.18726086616516113,2,10.64,40.64,0.01854,sabre_v0_20_,sabre_layout,0,1,1,1,3
116,477,0.17077183723449707,3,37.0,128.4,0.02023,sabre_v0_20_,sabre_layout,0,1,1,1,3
154,631,0.2328202724456787,0,21.34,110.2,0.01264,sabre_v0_20_,sabre_layout,0,1,1,1,3
213,878,0.2689700126647949,2,16.04,44.97,0.006442,sabre_v0_20_,sabre_layout,0,1,1,1,3
162,720,0.2634696960449219,1,40.46,118.3,0.01692,sabre_v0_20_,sabre_layout,0,1,1,1,3
