depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
5,9,0.004964113235473633,2,4.33,8.746,0.0007312,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
9,37,0.008641958236694336,3,1.581,4.918,0.0009844,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
17,79,0.01784992218017578,3,4.5,19.49,0.001359,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
27,97,0.02367424964904785,2,3.897,20.84,0.001538,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
45,208,0.034941911697387695,3,7.906,7.794,0.00251,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
39,208,0.04383277893066406,3,10.71,44.29,0.003212,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
45,250,0.04508328437805176,0,12.44,51.9,0.006449,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
55,298,0.04714608192443848,2,15.32,48.37,0.006726,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
74,400,0.06373190879821777,0,8.105,38.96,0.007018,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
85,450,0.08766889572143555,1,10.13,15.3,0.004798,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
118,569,0.11645078659057617,0,6.796,44.77,0.01079,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
85,468,0.08325695991516113,0,16.87,49.48,0.00378,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
91,462,0.08552193641662598,2,14.43,58.11,0.007409,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
116,577,0.1037299633026123,2,13.16,72.67,0.003806,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
153,719,0.13620495796203613,1,19.03,81.4,0.005432,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
160,778,0.13923978805541992,0,8.496,35.27,0.007765,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
130,627,0.11890912055969238,0,16.13,82.1,0.008058,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
156,715,0.15562891960144043,1,19.75,95.56,0.002396,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
170,821,0.14974689483642578,3,18.14,87.79,0.01133,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
161,849,0.1554720401763916,1,15.11,41.3,0.004421,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
142,695,0.12230920791625977,0,28.15,117.6,0.01057,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
153,748,0.1379988193511963,2,23.47,82.17,0.01219,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
208,994,0.16719388961791992,0,42.39,166.3,0.02596,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
231,1080,0.18215298652648926,2,21.34,99.6,0.01504,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
203,1012,0.174638032913208,3,20.9,86.44,0.01638,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
176,948,0.16060805320739746,2,33.27,141.1,0.01853,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
250,1265,0.20808196067810059,1,25.09,70.34,0.01835,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
