depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
5,9,0.009077072143554688,2,3.031,4.918,0.001186,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
8,31,0.018622875213623047,0,2.062,3.269,0.001543,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
13,61,0.03832507133483887,1,3.631,15.07,0.001297,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
21,103,0.050872802734375,1,4.272,3.269,0.005508,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
24,133,0.0984351634979248,1,8.216,28.66,0.01078,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
35,199,0.11893820762634277,0,2.586,6.833,0.008054,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
40,205,0.11884713172912598,3,6.062,39.19,0.005166,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
53,256,0.1420879364013672,3,6.942,25.14,0.003847,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
77,346,0.19021391868591309,0,6.5,46.62,0.01316,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
76,387,0.22376298904418945,2,15.59,70.32,0.01601,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
103,575,0.2658710479736328,3,3.5,28.54,0.01818,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
81,444,0.2457752227783203,1,10.74,42.8,0.02075,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
103,453,0.2406477928161621,0,8.166,66.42,0.03016,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
113,502,0.2833988666534424,0,12.51,73.58,0.006618,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
138,731,0.3848750591278076,0,15.5,68.25,0.01914,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
125,685,0.3392789363861084,0,18.03,62.73,0.02602,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
122,582,0.31754517555236816,1,22.16,96.15,0.02316,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
168,802,0.39077210426330566,3,10.69,77.43,0.02088,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
179,908,0.47589612007141113,0,6.185,59.75,0.02492,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
163,822,0.408782958984375,2,12.28,41.84,0.01256,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
158,821,0.379835844039917,2,6.379,44.4,0.01315,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
142,769,0.4463531970977783,1,24.04,86.82,0.02945,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
192,1057,0.5033230781555176,2,23.77,65.4,0.0186,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
