depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.006134986877441406,3,1.732,1.299,0.0008158,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
5,22,0.008854150772094727,2,3.112,3.0,0.002132,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
12,52,0.022290945053100586,1,4.123,7.155,0.001781,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
17,58,0.027824878692626953,3,2.062,8.746,0.002929,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
25,106,0.05044412612915039,2,5.339,13.81,0.005979,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
28,127,0.0610041618347168,1,9.627,20.28,0.00587,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
36,151,0.06933999061584473,1,6.576,3.674,0.002191,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
46,181,0.08095908164978027,1,7.327,12.09,0.003108,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
58,223,0.11757612228393555,3,17.17,32.34,0.007301,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
69,237,0.10255908966064453,1,13.93,33.63,0.008409,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
74,353,0.12518596649169922,0,10.4,28.3,0.008216,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
73,300,0.1229088306427002,3,32.65,61.93,0.01394,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
85,336,0.1445930004119873,0,17.31,48.33,0.01295,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
55,286,0.1206049919128418,3,33.7,57.37,0.01333,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
92,425,0.18763303756713867,0,25.05,41.05,0.01362,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
104,325,0.13396310806274414,0,26.07,88.32,0.01706,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
100,378,0.16731595993041992,3,22.59,37.43,0.0138,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
95,448,0.2260730266571045,1,42.94,108.4,0.01998,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
168,638,0.23457694053649902,3,26.95,23.09,0.006837,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
117,513,0.2114548683166504,1,20.15,29.62,0.009891,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
164,581,0.21260690689086914,3,15.37,32.03,0.007065,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
134,502,0.19873404502868652,3,28.37,87.71,0.01279,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
214,757,0.25832104682922363,0,18.69,77.2,0.02651,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
110,570,0.22130370140075684,0,54.82,124.6,0.04074,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
165,619,0.25487780570983887,2,29.96,70.56,0.02854,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
159,609,0.24039030075073242,2,21.46,69.75,0.009626,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
252,875,0.32952380180358887,2,37.53,95.28,0.01952,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
199,792,0.3319060802459717,0,40.74,77.42,0.01424,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
183,725,0.29591965675354004,1,56.33,109.9,0.01327,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
254,945,0.36697888374328613,2,16.99,70.91,0.01715,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
231,837,0.277742862701416,3,40.78,100.0,0.03881,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
