depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
21,117,0.003983736038208008,3,4.062,10.89,0.0005812,sabre_v0_20_,trivial_layout,0,1,1,1,1
37,219,0.007257223129272461,0,6.759,10.69,0.0004509,sabre_v0_20_,trivial_layout,0,1,1,1,1
116,503,0.017856121063232422,0,27.78,106.8,0.004616,sabre_v0_20_,trivial_layout,0,1,1,1,1
157,696,0.026439905166625977,2,17.8,51.22,0.0014,sabre_v0_20_,trivial_layout,0,1,1,1,1
181,840,0.028828859329223633,1,23.8,77.96,0.003098,sabre_v0_20_,trivial_layout,0,1,1,1,1
294,1155,0.04280686378479004,0,67.01,182.9,0.007013,sabre_v0_20_,trivial_layout,0,1,1,1,1
246,1173,0.04285073280334473,3,78.4,171.8,0.01989,sabre_v0_20_,trivial_layout,0,1,1,1,1
518,2046,0.07432699203491211,2,53.62,206.6,0.009671,sabre_v0_20_,trivial_layout,0,1,1,1,1
536,2021,0.07049703598022461,2,54.6,225.4,0.009472,sabre_v0_20_,trivial_layout,0,1,1,1,1
442,2005,0.07183003425598145,3,110.8,415.1,0.01923,sabre_v0_20_,trivial_layout,0,1,1,1,1
