depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
32,153,0.0070362091064453125,0,0,0,0.0001522,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
43,243,0.009771108627319336,0,0,0,0.0001334,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
111,542,0.027354955673217773,0,0,0,0.01518,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
136,738,0.03830313682556152,0,0,0,0.0003655,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
211,870,0.04410910606384277,0,0,0,0.001448,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
456,2112,0.11152100563049316,0,0,0,0.0005511,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
401,1701,0.08646392822265625,0,0,0,0.0004791,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
502,2313,0.14035987854003906,0,0,0,0.01478,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
486,2174,0.11353778839111328,0,0,0,0.00628,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
593,2962,0.1776740550994873,0,0,0,0.01381,sabre_v0_20_depth,trivial_layout,0,1,1,1,1
