depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
19,111,0.004557132720947266,0,0.0,0.0,0.0001367,sabre_v0_20_extended,trivial_layout,0,1,1,1,1
37,219,0.009092092514038086,0,0.0,0.0,0.01428,sabre_v0_20_extended,trivial_layout,0,1,1,1,1
67,377,0.014600038528442383,2,0.433,2.598,0.00033,sabre_v0_20_extended,trivial_layout,0,1,1,1,1
88,477,0.01702094078063965,3,7.462,11.32,0.001041,sabre_v0_20_extended,trivial_layout,0,1,1,1,1
118,612,0.021910905838012695,0,1.299,12.99,0.001094,sabre_v0_20_extended,trivial_layout,0,1,1,1,1
128,732,0.02977299690246582,0,13.42,19.67,0.0008207,sabre_v0_20_extended,trivial_layout,0,1,1,1,1
134,789,0.030099153518676758,0,5.723,6.708,0.001035,sabre_v0_20_extended,trivial_layout,0,1,1,1,1
159,990,0.0361170768737793,1,4.603,12.73,0.001044,sabre_v0_20_extended,trivial_layout,0,1,1,1,1
270,1160,0.04389190673828125,3,153.8,334.6,0.0163,sabre_v0_20_extended,trivial_layout,0,1,1,1,1
206,1180,0.04284191131591797,0,80.4,202.4,0.01148,sabre_v0_20_extended,trivial_layout,0,1,1,1,1
