depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
5,9,0.00978994369506836,2,0.0,3.0,0.0003617,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
8,28,0.017624855041503906,2,1.118,6.185,0.0009572,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
13,73,0.028393983840942383,1,1.09,10.03,0.001851,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
13,73,0.03061985969543457,3,7.697,24.09,0.00602,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
36,205,0.07967901229858398,0,2.693,10.03,0.003723,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
49,214,0.08793878555297852,3,5.585,24.19,0.009547,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
43,220,0.08521604537963867,3,5.629,18.9,0.01497,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
49,262,0.0943899154663086,0,13.12,53.77,0.008314,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
80,409,0.14168429374694824,2,4.815,16.89,0.004606,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
75,354,0.14398717880249023,1,7.361,28.65,0.009248,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
93,431,0.17043089866638184,2,9.937,49.04,0.01059,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
81,450,0.16464805603027344,3,10.43,41.32,0.00988,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
114,564,0.18480205535888672,3,3.345,64.5,0.0138,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
116,574,0.1996150016784668,1,8.927,52.54,0.009235,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
151,764,0.2647511959075928,2,8.842,34.43,0.007578,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
136,622,0.2463388442993164,1,12.89,65.67,0.02585,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
129,630,0.2630579471588135,1,18.98,41.7,0.009475,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
158,808,0.2733738422393799,3,20.19,57.56,0.02089,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
158,896,0.33335089683532715,0,25.41,81.4,0.009749,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
168,768,0.282224178314209,1,15.04,76.7,0.01428,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
157,782,0.3010289669036865,0,23.59,45.92,0.008264,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
155,868,0.3335120677947998,0,15.55,44.87,0.02133,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
197,1048,0.37061309814453125,0,23.45,72.97,0.01061,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
258,1215,0.41588687896728516,3,7.826,62.22,0.01362,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
197,910,0.4175879955291748,1,23.31,114.5,0.01177,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
187,939,0.39649009704589844,0,32.61,112.8,0.0178,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
259,1472,0.48781585693359375,3,30.39,82.17,0.01463,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
226,1224,0.5579309463500977,0,18.4,66.83,0.02377,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
269,1253,0.48061490058898926,3,29.42,105.7,0.02055,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
276,1389,0.5299651622772217,1,31.07,139.0,0.0138,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
259,1356,0.48847103118896484,0,22.28,42.77,0.007769,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
259,1246,0.5259819030761719,3,13.61,58.69,0.02264,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
319,1663,0.6619901657104492,2,21.7,72.85,0.004841,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
