depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
5,9,0.008460760116577148,1,0.0,1.299,0.0008278,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
8,28,0.01926898956298828,1,0.8292,7.5,0.001316,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
13,79,0.03660178184509277,1,6.364,21.25,0.005875,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
19,76,0.0405120849609375,3,2.872,17.3,0.008675,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
37,154,0.08862113952636719,0,4.763,31.92,0.00775,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
42,235,0.10657286643981934,1,8.437,20.93,0.007189,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
49,247,0.11290097236633301,3,5.196,15.59,0.005003,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
49,256,0.14197993278503418,1,10.37,35.91,0.01797,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
69,376,0.17573904991149902,2,8.986,21.67,0.01309,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
77,381,0.21500229835510254,0,5.847,32.27,0.01953,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
84,482,0.27492713928222656,0,13.61,30.7,0.01999,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
87,438,0.22495508193969727,2,13.25,59.26,0.02213,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
94,537,0.269575834274292,1,21.6,65.49,0.005529,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
108,553,0.2436680793762207,2,10.32,58.03,0.01962,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
127,743,0.34061312675476074,2,29.97,85.0,0.02365,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
126,667,0.3183591365814209,3,11.88,88.11,0.01658,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
114,561,0.3236861228942871,3,17.99,116.9,0.009297,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
149,772,0.41808605194091797,3,4.743,37.08,0.02159,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
170,905,0.44785404205322266,0,13.5,70.88,0.01706,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
159,828,0.4054851531982422,3,16.13,77.9,0.008624,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
151,830,0.41933107376098633,0,26.21,79.03,0.01844,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
155,805,0.3971858024597168,1,8.86,39.94,0.02756,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
190,1018,0.5390710830688477,0,19.19,74.55,0.02115,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
210,1086,0.5114150047302246,1,10.65,106.8,0.03967,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
227,1249,0.5740432739257812,3,14.17,10.26,0.004423,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
174,879,0.47490501403808594,2,14.92,65.98,0.02872,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
235,1244,0.6260840892791748,3,26.12,112.3,0.03041,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
267,1449,0.7240219116210938,1,23.85,57.26,0.01437,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
251,1376,0.6765933036804199,0,8.871,53.73,0.02835,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
275,1503,0.7564280033111572,3,16.65,8.842,0.01636,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
247,1194,0.6639668941497803,1,30.12,134.4,0.02567,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
263,1318,0.6946721076965332,2,16.72,86.13,0.04136,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
327,1807,0.8828861713409424,2,7.28,55.25,0.04815,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
278,1390,0.8613948822021484,0,30.13,129.3,0.04547,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
274,1486,0.7476119995117188,0,18.06,103.8,0.05308,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
273,1420,0.8370089530944824,2,50.02,221.8,0.01523,sabre_v0_20_depth_old,sabre_layout,0,1,1,1,3
