depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.007313728332519531,2,2.0,6.139,0.0005785,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
5,19,0.039038896560668945,1,1.581,3.897,0.01405,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
13,49,0.023430824279785156,3,2.278,6.495,0.002338,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
14,67,0.03148698806762695,2,2.487,4.5,0.001076,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
20,115,0.05793619155883789,1,10.84,19.14,0.00768,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
29,148,0.05972003936767578,1,18.61,32.35,0.01017,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
31,127,0.06090402603149414,0,13.21,25.49,0.007414,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
43,166,0.07831907272338867,3,9.175,27.11,0.009015,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
68,286,0.11519622802734375,1,19.77,32.06,0.002802,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
62,300,0.12219595909118652,2,15.6,26.95,0.005965,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
94,374,0.1287071704864502,2,10.06,9.721,0.004609,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
78,363,0.1493082046508789,3,15.63,18.85,0.009754,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
103,315,0.1283421516418457,2,13.59,50.22,0.007518,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
81,334,0.12546610832214355,0,15.75,36.9,0.01284,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
78,377,0.1584489345550537,3,50.69,108.2,0.02109,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
101,430,0.18760919570922852,0,14.71,25.84,0.0131,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
89,402,0.14181780815124512,1,22.38,73.7,0.02967,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
149,547,0.21420717239379883,2,6.759,8.617,0.01704,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
175,656,0.2644169330596924,2,20.46,67.89,0.01046,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
128,549,0.2438201904296875,3,16.48,32.69,0.02313,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
159,524,0.18417811393737793,1,26.37,56.7,0.02281,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
102,472,0.21407794952392578,0,60.9,98.42,0.03737,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
175,676,0.2539241313934326,1,22.15,64.7,0.009702,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
179,765,0.30758118629455566,2,25.54,50.06,0.02688,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
172,718,0.26952385902404785,1,34.72,67.73,0.02174,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
146,576,0.21822595596313477,3,39.45,86.23,0.01518,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
239,761,0.31348204612731934,1,27.45,76.93,0.03442,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
214,855,0.3346250057220459,1,20.87,36.09,0.005402,sabre_v0_20_extended,sabre_layout,0,1,1,1,3
