depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
4,9,0.0006310939788818359,0,0,0,6.894e-05,None,trivial_layout,0,1,1,1,3
4,19,0.0006778240203857422,0,0,0,6.682e-05,None,trivial_layout,0,1,1,1,3
9,31,0.0007519721984863281,0,0,0,0.0004939,None,trivial_layout,0,1,1,1,3
10,43,0.0010230541229248047,0,0,0,7.656e-05,None,trivial_layout,0,1,1,1,3
11,55,0.0010209083557128906,0,0,0,5.139e-05,None,trivial_layout,0,1,1,1,3
12,67,0.0012590885162353516,0,0,0,9.474e-05,None,trivial_layout,0,1,1,1,3
13,67,0.0011870861053466797,0,0,0,6.406e-05,None,trivial_layout,0,1,1,1,3
14,82,0.0014498233795166016,0,0,0,8.104e-05,None,trivial_layout,0,1,1,1,3
19,97,0.0014510154724121094,0,0,0,8.949e-05,None,trivial_layout,0,1,1,1,3
17,111,0.0016469955444335938,0,0,0,6.667e-05,None,trivial_layout,0,1,1,1,3
19,123,0.0021708011627197266,0,0,0,0.0001673,None,trivial_layout,0,1,1,1,3
21,128,0.0018019676208496094,0,0,0,7.289e-05,None,trivial_layout,0,1,1,1,3
24,129,0.0018351078033447266,0,0,0,0.0001256,None,trivial_layout,0,1,1,1,3
25,145,0.0019991397857666016,0,0,0,6.024e-05,None,trivial_layout,0,1,1,1,3
29,173,0.0022852420806884766,0,0,0,8.426e-05,None,trivial_layout,0,1,1,1,3
22,169,0.0022237300872802734,0,0,0,6.391e-05,None,trivial_layout,0,1,1,1,3
27,174,0.0022840499877929688,0,0,0,0.0001942,None,trivial_layout,0,1,1,1,3
32,202,0.002608060836791992,0,0,0,0.0001323,None,trivial_layout,0,1,1,1,3
31,198,0.0026161670684814453,0,0,0,7.113e-05,None,trivial_layout,0,1,1,1,3
32,200,0.0027768611907958984,0,0,0,6.27e-05,None,trivial_layout,0,1,1,1,3
38,212,0.0027081966400146484,0,0,0,0.0001696,None,trivial_layout,0,1,1,1,3
39,226,0.002768993377685547,0,0,0,8.204e-05,None,trivial_layout,0,1,1,1,3
39,244,0.003036975860595703,0,0,0,4.732e-05,None,trivial_layout,0,1,1,1,3
39,255,0.003171682357788086,0,0,0,2.987e-05,None,trivial_layout,0,1,1,1,3
40,265,0.0032639503479003906,0,0,0,0.0147,None,trivial_layout,0,1,1,1,3
41,270,0.0037240982055664062,0,0,0,0.005002,None,trivial_layout,0,1,1,1,3
44,290,0.004836082458496094,0,0,0,0.0004861,None,trivial_layout,0,1,1,1,3
48,297,0.003677845001220703,0,0,0,0.0002056,None,trivial_layout,0,1,1,1,3
54,305,0.003905057907104492,0,0,0,6.737e-05,None,trivial_layout,0,1,1,1,3
47,315,0.004031181335449219,0,0,0,0.0001631,None,trivial_layout,0,1,1,1,3
49,324,0.004001140594482422,0,0,0,2.536e-05,None,trivial_layout,0,1,1,1,3
47,331,0.003996133804321289,0,0,0,0.0001871,None,trivial_layout,0,1,1,1,3
55,349,0.0043299198150634766,0,0,0,7.005e-05,None,trivial_layout,0,1,1,1,3
67,352,0.004204750061035156,0,0,0,4.672e-05,None,trivial_layout,0,1,1,1,3
67,364,0.0046579837799072266,0,0,0,0.0001459,None,trivial_layout,0,1,1,1,3
60,379,0.004603862762451172,0,0,0,8.269e-05,None,trivial_layout,0,1,1,1,3
68,392,0.0049419403076171875,0,0,0,0.0001174,None,trivial_layout,0,1,1,1,3
62,402,0.004664182662963867,0,0,0,7.616e-05,None,trivial_layout,0,1,1,1,3
65,401,0.005059003829956055,0,0,0,0.0001835,None,trivial_layout,0,1,1,1,3
66,410,0.0047681331634521484,0,0,0,0.0001106,None,trivial_layout,0,1,1,1,3
67,425,0.0053751468658447266,0,0,0,0.0001414,None,trivial_layout,0,1,1,1,3
64,444,0.005246877670288086,0,0,0,1.715e-05,None,trivial_layout,0,1,1,1,3
73,454,0.005638837814331055,0,0,0,0.0001447,None,trivial_layout,0,1,1,1,3
82,462,0.00533294677734375,0,0,0,0.0001565,None,trivial_layout,0,1,1,1,3
85,462,0.005324840545654297,0,0,0,2.22e-05,None,trivial_layout,0,1,1,1,3
82,487,0.0054666996002197266,0,0,0,5.762e-05,None,trivial_layout,0,1,1,1,3
79,488,0.005690813064575195,0,0,0,0.0001006,None,trivial_layout,0,1,1,1,3
79,489,0.005477190017700195,0,0,0,2.494e-05,None,trivial_layout,0,1,1,1,3
82,513,0.005742073059082031,0,0,0,9.803e-05,None,trivial_layout,0,1,1,1,3
90,521,0.005813121795654297,0,0,0,3.376e-05,None,trivial_layout,0,1,1,1,3
99,533,0.005867719650268555,0,0,0,0.0001549,None,trivial_layout,0,1,1,1,3
89,546,0.006297111511230469,0,0,0,0.0001085,None,trivial_layout,0,1,1,1,3
90,555,0.0061452388763427734,0,0,0,6.064e-05,None,trivial_layout,0,1,1,1,3
89,564,0.006425142288208008,0,0,0,0.0002213,None,trivial_layout,0,1,1,1,3
81,560,0.006675004959106445,0,0,0,0.0003839,None,trivial_layout,0,1,1,1,3
86,566,0.006613016128540039,0,0,0,0.0001174,None,trivial_layout,0,1,1,1,3
101,606,0.00676727294921875,0,0,0,0.0001105,None,trivial_layout,0,1,1,1,3
92,603,0.0068509578704833984,0,0,0,0.001451,None,trivial_layout,0,1,1,1,3
87,605,0.006931781768798828,0,0,0,0.0001159,None,trivial_layout,0,1,1,1,3
100,621,0.00673222541809082,0,0,0,6.596e-05,None,trivial_layout,0,1,1,1,3
92,625,0.0070040225982666016,0,0,0,7.398e-05,None,trivial_layout,0,1,1,1,3
105,643,0.035645246505737305,0,0,0,0.01237,None,trivial_layout,0,1,1,1,3
108,650,0.007591962814331055,0,0,0,0.0002265,None,trivial_layout,0,1,1,1,3
108,659,0.0072367191314697266,0,0,0,6.415e-05,None,trivial_layout,0,1,1,1,3
106,677,0.007673740386962891,0,0,0,0.0003303,None,trivial_layout,0,1,1,1,3
108,689,0.007564067840576172,0,0,0,0.0002006,None,trivial_layout,0,1,1,1,3
118,708,0.0076868534088134766,0,0,0,0.0002619,None,trivial_layout,0,1,1,1,3
110,711,0.007941246032714844,0,0,0,0.0003654,None,trivial_layout,0,1,1,1,3
111,708,0.007950782775878906,0,0,0,0.0002581,None,trivial_layout,0,1,1,1,3
129,719,0.008650064468383789,0,0,0,0.0001247,None,trivial_layout,0,1,1,1,3
122,741,0.008602142333984375,0,0,0,0.0001665,None,trivial_layout,0,1,1,1,3
107,742,0.008373022079467773,0,0,0,0.0001597,None,trivial_layout,0,1,1,1,3
126,757,0.00836801528930664,0,0,0,0.0002944,None,trivial_layout,0,1,1,1,3
123,755,0.008714914321899414,0,0,0,0.0001439,None,trivial_layout,0,1,1,1,3
127,775,0.008263826370239258,0,0,0,0.0001188,None,trivial_layout,0,1,1,1,3
125,774,0.008455753326416016,0,0,0,1.807e-05,None,trivial_layout,0,1,1,1,3
126,806,0.009309053421020508,0,0,0,0.0001994,None,trivial_layout,0,1,1,1,3
119,819,0.008925199508666992,0,0,0,0.0001822,None,trivial_layout,0,1,1,1,3
131,834,0.00936126708984375,0,0,0,0.01122,None,trivial_layout,0,1,1,1,3
132,843,0.009391069412231445,0,0,0,0.0001644,None,trivial_layout,0,1,1,1,3
139,841,0.00910496711730957,0,0,0,0.000399,None,trivial_layout,0,1,1,1,3
141,855,0.009583234786987305,0,0,0,0.000184,None,trivial_layout,0,1,1,1,3
125,848,0.009595870971679688,0,0,0,0.0002682,None,trivial_layout,0,1,1,1,3
135,881,0.010070085525512695,0,0,0,0.0003058,None,trivial_layout,0,1,1,1,3
146,879,0.009605169296264648,0,0,0,0.00014,None,trivial_layout,0,1,1,1,3
144,920,0.010356903076171875,0,0,0,0.0001361,None,trivial_layout,0,1,1,1,3
150,917,0.010114908218383789,0,0,0,0.0001948,None,trivial_layout,0,1,1,1,3
148,935,0.01034402847290039,0,0,0,0.0003687,None,trivial_layout,0,1,1,1,3
146,953,0.010842084884643555,0,0,0,0.0002842,None,trivial_layout,0,1,1,1,3
150,951,0.010574102401733398,0,0,0,0.0002305,None,trivial_layout,0,1,1,1,3
151,946,0.010399103164672852,0,0,0,0.000248,None,trivial_layout,0,1,1,1,3
146,953,0.010413169860839844,0,0,0,0.000191,None,trivial_layout,0,1,1,1,3
145,972,0.011000871658325195,0,0,0,0.0002126,None,trivial_layout,0,1,1,1,3
155,977,0.01106405258178711,0,0,0,0.0002221,None,trivial_layout,0,1,1,1,3
157,997,0.011048078536987305,0,0,0,0.0002011,None,trivial_layout,0,1,1,1,3
172,1003,0.010951995849609375,0,0,0,0.0001888,None,trivial_layout,0,1,1,1,3
157,1004,0.010912179946899414,0,0,0,0.0001432,None,trivial_layout,0,1,1,1,3
165,1017,0.010890960693359375,0,0,0,0.0001917,None,trivial_layout,0,1,1,1,3
163,1018,0.011081933975219727,0,0,0,0.000278,None,trivial_layout,0,1,1,1,3
165,1042,0.011526107788085938,0,0,0,0.0001277,None,trivial_layout,0,1,1,1,3
