depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.00761103630065918,1,1.732,1.299,0.0009293,sabre_v0_20_,sabre_layout,0,1,1,1,3
8,25,0.013237953186035156,1,0.5,1.299,0.000715,sabre_v0_20_,sabre_layout,0,1,1,1,3
12,52,0.02408313751220703,1,3.354,6.185,0.0008508,sabre_v0_20_,sabre_layout,0,1,1,1,3
11,58,0.025073766708374023,3,2.872,6.874,0.00209,sabre_v0_20_,sabre_layout,0,1,1,1,3
16,76,0.028946876525878906,3,12.7,22.39,0.004136,sabre_v0_20_,sabre_layout,0,1,1,1,3
29,130,0.04133915901184082,1,5.123,10.5,0.002718,sabre_v0_20_,sabre_layout,0,1,1,1,3
25,118,0.04838705062866211,3,6.18,15.07,0.001157,sabre_v0_20_,sabre_layout,0,1,1,1,3
39,166,0.05509471893310547,1,8.197,18.49,0.007668,sabre_v0_20_,sabre_layout,0,1,1,1,3
56,223,0.07885122299194336,2,7.562,36.34,0.004784,sabre_v0_20_,sabre_layout,0,1,1,1,3
53,210,0.06935000419616699,1,12.79,37.89,0.006969,sabre_v0_20_,sabre_layout,0,1,1,1,3
68,272,0.10735297203063965,2,19.16,34.66,0.006566,sabre_v0_20_,sabre_layout,0,1,1,1,3
46,210,0.09480786323547363,0,20.33,52.24,0.009189,sabre_v0_20_,sabre_layout,0,1,1,1,3
62,279,0.10061383247375488,3,18.17,50.51,0.007037,sabre_v0_20_,sabre_layout,0,1,1,1,3
80,280,0.10367393493652344,0,13.9,70.21,0.01492,sabre_v0_20_,sabre_layout,0,1,1,1,3
104,419,0.14055919647216797,1,20.85,51.5,0.01009,sabre_v0_20_,sabre_layout,0,1,1,1,3
57,250,0.12005996704101562,0,22.1,68.09,428.6,sabre_v0_20_,sabre_layout,0,1,1,1,3
91,402,0.14664578437805176,1,19.5,35.11,0.00556,sabre_v0_20_,sabre_layout,0,1,1,1,3
107,481,0.19103002548217773,2,26.71,43.42,0.02009,sabre_v0_20_,sabre_layout,0,1,1,1,3
128,509,0.15462303161621094,3,7.89,32.35,0.005913,sabre_v0_20_,sabre_layout,0,1,1,1,3
110,399,0.170792818069458,3,36.27,90.92,0.0103,sabre_v0_20_,sabre_layout,0,1,1,1,3
123,476,0.151655912399292,3,22.49,56.94,0.02288,sabre_v0_20_,sabre_layout,0,1,1,1,3
138,649,0.18295598030090332,3,8.555,55.11,0.007251,sabre_v0_20_,sabre_layout,0,1,1,1,3
135,640,0.19660091400146484,1,29.3,34.75,359.0,sabre_v0_20_,sabre_layout,0,1,1,1,3
169,645,0.24390697479248047,3,9.756,48.3,0.01635,sabre_v0_20_,sabre_layout,0,1,1,1,3
182,718,0.2153489589691162,3,40.79,102.8,0.003832,sabre_v0_20_,sabre_layout,0,1,1,1,3
117,495,0.1510791778564453,2,32.39,110.3,0.03317,sabre_v0_20_,sabre_layout,0,1,1,1,3
144,626,0.17978525161743164,3,45.88,99.36,0.02096,sabre_v0_20_,sabre_layout,0,1,1,1,3
169,612,0.16399788856506348,3,52.52,175.4,0.04389,sabre_v0_20_,sabre_layout,0,1,1,1,3
163,722,0.24093198776245117,3,32.93,93.92,0.01859,sabre_v0_20_,sabre_layout,0,1,1,1,3
81,381,0.14788603782653809,1,77.39,264.6,0.04822,sabre_v0_20_,sabre_layout,0,1,1,1,3
173,690,0.24471712112426758,0,41.19,111.1,0.01915,sabre_v0_20_,sabre_layout,0,1,1,1,3
218,856,0.26134586334228516,0,33.19,129.6,0.02361,sabre_v0_20_,sabre_layout,0,1,1,1,3
206,868,0.199265718460083,3,21.85,29.8,0.02997,sabre_v0_20_,sabre_layout,0,1,1,1,3
162,652,0.23231720924377441,1,42.7,158.7,0.01966,sabre_v0_20_,sabre_layout,0,1,1,1,3
205,778,0.24932599067687988,1,19.11,112.2,0.02415,sabre_v0_20_,sabre_layout,0,1,1,1,3
