depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.008817911148071289,1,1.732,2.487,0.0007654,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
6,25,0.014538049697875977,3,2.487,8.842,0.003575,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
13,58,0.026882171630859375,2,4.899,14.31,0.005143,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
13,58,0.030441999435424805,3,4.146,14.13,0.00356,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
26,112,0.04058194160461426,3,5.244,13.81,0.003406,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
29,121,0.06025075912475586,1,5.612,26.07,0.005028,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
28,121,0.05005502700805664,3,4.69,16.02,0.01111,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
38,184,0.07352209091186523,2,13.19,39.71,0.004006,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
57,286,0.10524415969848633,3,1.785,17.8,0.01601,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
61,309,0.11375188827514648,0,4.815,29.19,0.007639,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
41,197,0.11046504974365234,1,23.67,83.74,0.01505,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
53,297,0.1508181095123291,3,19.14,67.03,0.004986,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
81,333,0.13773894309997559,2,12.58,51.67,0.008558,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
70,370,0.16268181800842285,1,9.67,67.23,0.01155,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
81,449,0.19651103019714355,3,15.88,42.29,0.004398,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
88,430,0.16195201873779297,1,3.202,5.761,0.01519,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
99,453,0.1835460662841797,0,19.02,52.03,0.01364,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
105,457,0.16095399856567383,1,8.124,75.85,0.02272,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
93,521,0.1855010986328125,0,13.46,26.36,0.009275,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
118,528,0.221390962600708,1,11.81,43.37,0.007289,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
108,491,0.21590709686279297,3,7.906,54.0,0.008234,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
118,610,0.25215888023376465,0,18.43,73.88,0.0323,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
151,613,0.1634228229522705,1,9.731,96.63,0.04535,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
102,474,0.21955609321594238,2,36.93,159.4,0.02686,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
148,766,0.28281593322753906,1,11.45,34.1,0.007402,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
116,600,0.2519071102142334,2,26.45,117.6,0.01747,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
170,641,0.2819828987121582,3,19.64,152.4,0.02655,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
145,663,0.28800106048583984,3,24.74,129.2,0.03367,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
164,764,0.2669551372528076,2,32.53,126.6,0.02401,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
136,744,0.32727503776550293,2,41.29,157.6,0.01529,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
155,702,0.28612399101257324,3,29.36,135.3,0.01913,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
191,901,0.31290698051452637,3,9.552,50.45,0.02439,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
168,925,0.34607481956481934,3,22.75,72.47,0.02082,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
211,1078,0.4239349365234375,1,25.85,119.5,0.01062,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
192,970,0.4023110866546631,1,30.72,83.71,0.02579,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
194,1000,0.40463805198669434,0,16.32,70.68,0.03595,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
199,1052,0.3168179988861084,1,22.22,54.35,0.02829,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
244,1292,0.4306931495666504,1,28.04,11.02,0.02897,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
222,1029,0.39993786811828613,0,34.15,190.4,0.03419,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
189,1046,0.430192232131958,2,36.01,88.83,0.0353,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
222,1031,0.4382781982421875,0,32.56,162.9,0.02551,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
267,1038,0.44357919692993164,0,26.99,193.2,0.03253,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
252,1276,0.5394001007080078,0,44.22,173.7,0.0214,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
282,1254,0.4896271228790283,1,37.98,181.9,0.02943,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
271,1329,0.5470190048217773,3,11.11,64.24,0.02216,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
266,1255,0.4763777256011963,3,12.97,91.43,0.09786,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
223,1256,0.4796299934387207,1,48.4,155.9,0.03039,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
173,927,0.39133596420288086,3,62.19,224.3,0.07318,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
288,1428,0.5046241283416748,0,12.52,53.85,0.03717,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
285,1427,0.5889427661895752,3,26.39,71.07,0.02721,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
344,1649,0.6371331214904785,2,8.408,55.25,0.04739,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
293,1332,0.5323848724365234,1,28.59,184.7,0.03074,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
304,1362,0.5705578327178955,3,39.14,219.4,0.03167,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
311,1620,0.646643877029419,0,29.97,71.45,0.03043,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
325,1505,0.6184530258178711,3,9.513,72.17,0.04713,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
362,1889,0.6783161163330078,2,23.25,91.45,0.0452,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
387,1935,0.6363990306854248,3,27.8,82.61,0.03535,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
335,1548,0.5705361366271973,0,20.54,137.2,0.04379,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
308,1493,0.6154918670654297,0,32.24,155.2,0.02754,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
371,1689,0.6168551445007324,1,25.99,124.0,0.03784,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
270,1375,0.5840969085693359,2,54.13,220.9,0.05094,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
304,1492,0.6384191513061523,2,49.1,196.9,0.04534,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
356,1913,0.7730088233947754,0,53.91,156.6,0.02599,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
426,2024,0.7837319374084473,2,46.04,168.1,0.06442,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
411,1922,0.8162920475006104,3,54.47,242.4,0.04812,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
371,1673,0.7218790054321289,3,66.3,238.4,0.03787,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
429,2211,0.8105978965759277,2,17.42,138.9,0.02077,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
381,1743,0.7915441989898682,0,19.99,151.7,0.05876,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
401,2025,0.7915120124816895,0,44.63,202.6,0.03183,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
444,2150,0.7959749698638916,0,33.65,91.69,0.01729,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
361,1692,0.7163960933685303,1,58.54,201.1,0.02662,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
448,2239,0.9195921421051025,2,33.17,93.64,0.04453,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
439,2233,0.9218597412109375,1,35.77,146.3,0.01894,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
382,1589,0.814683198928833,1,60.01,367.3,0.03323,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
390,1927,0.8578250408172607,1,68.45,214.9,0.01808,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
429,2103,0.9103729724884033,1,71.46,315.5,0.03625,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
508,2336,0.8564379215240479,2,68.46,179.4,0.02351,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
441,2097,0.8423230648040771,1,38.77,167.7,0.054,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
512,2373,1.0287868976593018,2,41.34,167.4,0.01962,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
441,2193,0.9934091567993164,3,52.34,261.3,0.02884,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
306,1342,0.8851871490478516,1,108.3,588.2,0.04986,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
548,2739,1.066314935684204,2,45.17,271.2,0.04732,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
511,2393,0.9907739162445068,0,18.85,105.1,0.0572,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
544,2588,0.970001220703125,2,33.47,161.3,0.03885,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
487,2436,0.9607429504394531,3,38.45,131.3,0.06361,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
568,2627,1.1655027866363525,1,56.86,297.5,0.06527,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
536,2504,1.0729548931121826,2,60.26,335.9,0.03836,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
576,2720,1.1277120113372803,3,26.23,133.2,0.03687,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
494,2246,1.079603910446167,3,57.63,319.3,0.03682,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
547,2682,1.0893850326538086,3,41.18,100.6,0.02286,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
513,2461,1.0858469009399414,1,48.57,209.3,0.02281,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
427,2018,1.087170124053955,3,115.4,531.2,0.05002,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
563,2768,1.1121289730072021,3,46.9,202.2,0.03738,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
471,2304,0.9829268455505371,3,76.99,361.6,0.1378,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
487,2518,1.259976863861084,3,89.13,357.4,0.03593,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
641,2674,1.1438467502593994,2,28.0,257.1,0.04197,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
649,3246,1.3069489002227783,2,48.69,209.2,0.05118,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
579,3017,1.2738230228424072,0,40.97,106.6,0.03986,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
602,2854,1.2611613273620605,0,52.5,240.2,0.03049,sabre_v0_20_depth,sabre_layout,0,1,1,1,3
