depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,8,0.011420965194702148,0,0.0,0.0,0.001412,sabre_v0_20_,sabre_layout,0,1,1,1,3
5,21,0.018169879913330078,3,4.71,7.036,0.0003832,sabre_v0_20_,sabre_layout,0,1,1,1,3
14,64,0.03708004951477051,1,1.785,12.09,0.003441,sabre_v0_20_,sabre_layout,0,1,1,1,3
13,72,0.04015207290649414,1,8.074,16.29,0.006108,sabre_v0_20_,sabre_layout,0,1,1,1,3
27,148,0.07629108428955078,3,9.11,33.16,0.01123,sabre_v0_20_,sabre_layout,0,1,1,1,3
24,146,0.0654611587524414,2,5.932,34.07,0.01327,sabre_v0_20_,sabre_layout,0,1,1,1,3
29,142,0.0671391487121582,1,21.11,68.36,0.01321,sabre_v0_20_,sabre_layout,0,1,1,1,3
31,182,0.11303281784057617,0,13.61,53.13,0.008864,sabre_v0_20_,sabre_layout,0,1,1,1,3
34,224,0.1064610481262207,0,20.36,79.86,0.01623,sabre_v0_20_,sabre_layout,0,1,1,1,3
51,312,0.11905884742736816,1,29.96,97.43,0.02873,sabre_v0_20_,sabre_layout,0,1,1,1,3
54,264,0.11291122436523438,2,18.18,109.9,0.03494,sabre_v0_20_,sabre_layout,0,1,1,1,3
83,523,0.16528630256652832,2,24.06,29.92,0.009924,sabre_v0_20_,sabre_layout,0,1,1,1,3
63,326,0.13286805152893066,2,18.71,86.96,0.02724,sabre_v0_20_,sabre_layout,0,1,1,1,3
57,376,0.2081296443939209,3,40.79,154.0,0.03234,sabre_v0_20_,sabre_layout,0,1,1,1,3
81,476,0.22324180603027344,1,36.7,133.7,0.02674,sabre_v0_20_,sabre_layout,0,1,1,1,3
96,535,0.20905399322509766,2,9.097,33.16,0.03757,sabre_v0_20_,sabre_layout,0,1,1,1,3
80,492,0.16153907775878906,3,16.07,62.51,0.01776,sabre_v0_20_,sabre_layout,0,1,1,1,3
85,511,0.2016139030456543,1,12.54,37.77,0.02008,sabre_v0_20_,sabre_layout,0,1,1,1,3
95,586,0.2563960552215576,3,5.788,22.88,0.01578,sabre_v0_20_,sabre_layout,0,1,1,1,3
98,562,0.19254088401794434,2,10.62,34.07,0.01742,sabre_v0_20_,sabre_layout,0,1,1,1,3
108,646,0.21603798866271973,2,34.69,84.36,0.03669,sabre_v0_20_,sabre_layout,0,1,1,1,3
94,546,0.19920825958251953,3,8.761,23.09,0.02566,sabre_v0_20_,sabre_layout,0,1,1,1,3
107,644,0.3000361919403076,2,28.72,54.29,0.02976,sabre_v0_20_,sabre_layout,0,1,1,1,3
104,667,0.26187872886657715,1,10.59,25.59,0.03705,sabre_v0_20_,sabre_layout,0,1,1,1,3
121,787,0.27832698822021484,0,18.73,32.55,0.0146,sabre_v0_20_,sabre_layout,0,1,1,1,3
119,721,0.2712829113006592,2,10.81,40.53,0.03441,sabre_v0_20_,sabre_layout,0,1,1,1,3
125,770,0.3096940517425537,0,24.01,79.85,0.04596,sabre_v0_20_,sabre_layout,0,1,1,1,3
106,670,0.26413798332214355,1,9.631,26.19,0.06272,sabre_v0_20_,sabre_layout,0,1,1,1,3
156,940,0.30751609802246094,2,71.43,281.7,0.08002,sabre_v0_20_,sabre_layout,0,1,1,1,3
131,822,0.2948920726776123,0,94.49,465.0,0.1169,sabre_v0_20_,sabre_layout,0,1,1,1,3
176,945,0.32222414016723633,1,31.08,95.12,0.03824,sabre_v0_20_,sabre_layout,0,1,1,1,3
133,829,0.35191917419433594,2,56.85,344.5,0.06224,sabre_v0_20_,sabre_layout,0,1,1,1,3
204,1260,0.4267730712890625,0,9.314,48.2,0.02415,sabre_v0_20_,sabre_layout,0,1,1,1,3
144,931,0.33681726455688477,0,11.06,46.16,0.07396,sabre_v0_20_,sabre_layout,0,1,1,1,3
195,1145,0.48669886589050293,0,12.19,75.94,0.04024,sabre_v0_20_,sabre_layout,0,1,1,1,3
163,1023,0.36276793479919434,1,14.4,48.44,0.01718,sabre_v0_20_,sabre_layout,0,1,1,1,3
178,1094,0.39665699005126953,0,18.44,49.63,0.02001,sabre_v0_20_,sabre_layout,0,1,1,1,3
200,1221,0.42658519744873047,0,4.323,19.03,0.03958,sabre_v0_20_,sabre_layout,0,1,1,1,3
205,1142,0.3773181438446045,2,32.6,105.4,0.03886,sabre_v0_20_,sabre_layout,0,1,1,1,3
197,1218,0.4181950092315674,0,30.29,72.76,0.01101,sabre_v0_20_,sabre_layout,0,1,1,1,3
218,1205,0.39225292205810547,3,26.27,76.63,0.02097,sabre_v0_20_,sabre_layout,0,1,1,1,3
220,1365,0.4632911682128906,0,32.85,101.7,0.01634,sabre_v0_20_,sabre_layout,0,1,1,1,3
195,1257,0.44298219680786133,1,22.43,49.88,0.09255,sabre_v0_20_,sabre_layout,0,1,1,1,3
223,1464,0.5721631050109863,1,19.16,16.07,0.05761,sabre_v0_20_,sabre_layout,0,1,1,1,3
248,1352,0.42566776275634766,0,88.6,394.3,0.1272,sabre_v0_20_,sabre_layout,0,1,1,1,3
235,1435,0.4357788562774658,2,7.395,59.56,0.03974,sabre_v0_20_,sabre_layout,0,1,1,1,3
247,1411,0.5080749988555908,0,26.28,80.57,0.0154,sabre_v0_20_,sabre_layout,0,1,1,1,3
265,1517,0.4557759761810303,1,5.937,40.56,0.01614,sabre_v0_20_,sabre_layout,0,1,1,1,3
274,1634,0.525501012802124,1,17.1,52.24,0.03492,sabre_v0_20_,sabre_layout,0,1,1,1,3
265,1506,0.46204209327697754,3,23.63,65.9,0.0143,sabre_v0_20_,sabre_layout,0,1,1,1,3
270,1608,0.4999051094055176,0,25.58,76.34,0.009185,sabre_v0_20_,sabre_layout,0,1,1,1,3
269,1622,0.5055999755859375,3,21.35,75.79,0.08702,sabre_v0_20_,sabre_layout,0,1,1,1,3
278,1823,0.6370649337768555,1,26.56,96.42,0.02246,sabre_v0_20_,sabre_layout,0,1,1,1,3
273,1697,0.5668408870697021,0,38.33,88.26,0.03208,sabre_v0_20_,sabre_layout,0,1,1,1,3
287,1828,0.5613729953765869,2,12.34,18.61,0.03701,sabre_v0_20_,sabre_layout,0,1,1,1,3
307,1869,0.6332869529724121,2,37.06,109.7,0.06235,sabre_v0_20_,sabre_layout,0,1,1,1,3
270,1704,0.689788818359375,3,26.97,93.21,0.06418,sabre_v0_20_,sabre_layout,0,1,1,1,3
295,1800,0.6083478927612305,2,13.45,50.48,0.02588,sabre_v0_20_,sabre_layout,0,1,1,1,3
294,1865,0.5857861042022705,3,24.59,77.62,0.01774,sabre_v0_20_,sabre_layout,0,1,1,1,3
341,2092,0.6680698394775391,2,40.81,174.7,0.02322,sabre_v0_20_,sabre_layout,0,1,1,1,3
317,1855,0.6328990459442139,1,31.47,108.5,0.01986,sabre_v0_20_,sabre_layout,0,1,1,1,3
351,2205,0.6757159233093262,2,5.54,55.7,0.01546,sabre_v0_20_,sabre_layout,0,1,1,1,3
410,2300,0.8368680477142334,2,34.93,57.8,0.07698,sabre_v0_20_,sabre_layout,0,1,1,1,3
327,1920,0.6328897476196289,0,102.1,383.0,0.1101,sabre_v0_20_,sabre_layout,0,1,1,1,3
321,2054,0.660189151763916,3,45.09,121.6,0.03183,sabre_v0_20_,sabre_layout,0,1,1,1,3
364,2246,0.6971309185028076,0,14.84,75.07,0.03105,sabre_v0_20_,sabre_layout,0,1,1,1,3
319,2039,0.653594970703125,1,25.05,49.95,0.03415,sabre_v0_20_,sabre_layout,0,1,1,1,3
369,2326,0.722343921661377,3,38.3,87.22,0.02463,sabre_v0_20_,sabre_layout,0,1,1,1,3
343,2161,0.6915719509124756,0,40.84,68.05,0.01741,sabre_v0_20_,sabre_layout,0,1,1,1,3
334,2148,0.6535348892211914,1,41.79,76.11,0.01376,sabre_v0_20_,sabre_layout,0,1,1,1,3
374,2203,0.7704958915710449,2,30.19,148.9,0.04565,sabre_v0_20_,sabre_layout,0,1,1,1,3
362,2330,0.7933850288391113,0,186.6,846.2,0.05446,sabre_v0_20_,sabre_layout,0,1,1,1,3
383,2257,0.7117612361907959,1,20.19,65.09,0.01885,sabre_v0_20_,sabre_layout,0,1,1,1,3
387,2304,0.7031259536743164,0,65.46,256.3,0.01684,sabre_v0_20_,sabre_layout,0,1,1,1,3
375,2359,0.7332353591918945,1,37.38,112.9,0.07493,sabre_v0_20_,sabre_layout,0,1,1,1,3
438,2524,0.7545299530029297,0,41.05,130.5,0.05591,sabre_v0_20_,sabre_layout,0,1,1,1,3
418,2579,0.7266581058502197,1,21.17,81.69,0.04895,sabre_v0_20_,sabre_layout,0,1,1,1,3
419,2581,0.8351202011108398,2,41.81,150.7,0.04093,sabre_v0_20_,sabre_layout,0,1,1,1,3
409,2519,0.7712860107421875,0,22.64,72.79,0.03344,sabre_v0_20_,sabre_layout,0,1,1,1,3
438,2772,0.8293130397796631,1,26.74,74.17,0.02138,sabre_v0_20_,sabre_layout,0,1,1,1,3
430,2548,0.7740862369537354,1,18.93,88.18,0.0347,sabre_v0_20_,sabre_layout,0,1,1,1,3
465,2720,0.7995400428771973,2,37.71,143.2,0.04314,sabre_v0_20_,sabre_layout,0,1,1,1,3
495,2876,0.9281449317932129,0,28.94,134.8,0.03395,sabre_v0_20_,sabre_layout,0,1,1,1,3
422,2651,0.8730931282043457,2,40.8,87.43,0.03101,sabre_v0_20_,sabre_layout,0,1,1,1,3
471,2920,0.8471381664276123,3,41.58,120.0,0.01848,sabre_v0_20_,sabre_layout,0,1,1,1,3
449,2790,0.8097329139709473,2,17.78,47.65,0.0234,sabre_v0_20_,sabre_layout,0,1,1,1,3
526,2931,0.8768172264099121,1,37.13,94.5,0.007787,sabre_v0_20_,sabre_layout,0,1,1,1,3
502,3133,0.9642930030822754,0,35.37,31.63,0.03288,sabre_v0_20_,sabre_layout,0,1,1,1,3
495,3082,0.9240899085998535,2,26.74,113.3,0.02476,sabre_v0_20_,sabre_layout,0,1,1,1,3
524,3053,0.9128177165985107,2,23.74,82.03,0.0228,sabre_v0_20_,sabre_layout,0,1,1,1,3
483,2896,0.8417141437530518,3,26.08,91.05,0.02649,sabre_v0_20_,sabre_layout,0,1,1,1,3
477,2954,0.885138988494873,2,34.08,78.47,0.00934,sabre_v0_20_,sabre_layout,0,1,1,1,3
482,2960,1.0144577026367188,0,31.6,103.9,0.05386,sabre_v0_20_,sabre_layout,0,1,1,1,3
441,2862,0.9501190185546875,0,50.13,132.7,0.07346,sabre_v0_20_,sabre_layout,0,1,1,1,3
500,3003,0.9015023708343506,1,62.71,121.5,0.05384,sabre_v0_20_,sabre_layout,0,1,1,1,3
561,3451,1.0591208934783936,1,31.71,143.9,0.05332,sabre_v0_20_,sabre_layout,0,1,1,1,3
583,3341,1.0602607727050781,1,9.301,78.07,0.02929,sabre_v0_20_,sabre_layout,0,1,1,1,3
537,3326,0.9231550693511963,1,39.11,133.5,0.0879,sabre_v0_20_,sabre_layout,0,1,1,1,3
494,3018,1.0001258850097656,2,39.21,91.94,0.02244,sabre_v0_20_,sabre_layout,0,1,1,1,3
563,3327,0.9621620178222656,0,36.69,160.7,0.0252,sabre_v0_20_,sabre_layout,0,1,1,1,3
