depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
1,6,0.008053779602050781,3,1.732,4.243,0.001182,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
11,49,0.013961315155029297,0,0.0,4.5,0.002055,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
14,76,0.023717164993286133,3,7.176,14.75,0.002143,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
28,177,0.04333806037902832,2,3.391,13.5,0.004358,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
35,230,0.05469489097595215,2,6.062,34.3,0.004811,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
39,284,0.06613302230834961,3,12.03,50.66,0.001928,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
43,262,0.059081315994262695,1,11.15,76.22,0.009114,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
34,205,0.05461311340332031,0,12.48,78.9,0.009347,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
50,275,0.09313321113586426,3,23.68,154.8,0.009245,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
59,288,0.08325505256652832,2,19.84,142.2,0.0209,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
66,419,0.09886312484741211,3,12.66,58.8,0.01939,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
76,387,0.11461305618286133,3,4.146,66.76,0.01344,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
62,413,0.09308600425720215,3,18.46,85.29,0.007802,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
92,532,0.12396073341369629,0,9.884,99.58,0.01368,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
127,722,0.16499781608581543,3,19.58,141.3,0.01172,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
104,566,0.16998815536499023,2,26.18,200.2,0.006904,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
82,536,0.12693405151367188,1,51.03,342.5,0.03384,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
151,1070,0.21872997283935547,1,22.77,141.2,0.01913,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
105,608,0.15232467651367188,0,23.38,206.9,0.03808,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
110,595,0.1603560447692871,1,44.58,231.8,0.01718,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
175,1103,0.19732189178466797,3,15.58,114.9,0.01558,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
135,779,0.14513683319091797,1,33.65,187.7,0.02972,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
104,641,0.17495179176330566,1,54.26,362.1,0.03762,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
202,1275,0.22342610359191895,2,23.7,141.9,0.01996,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
131,798,0.2030642032623291,0,43.33,297.8,0.0512,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
125,772,0.18131780624389648,2,64.77,399.8,0.04538,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
211,1153,0.26799988746643066,1,18.35,211.1,0.006627,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
121,763,0.211777925491333,1,64.09,338.3,0.03042,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
193,1052,0.22920608520507812,2,46.01,268.5,0.037,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
178,983,0.18768000602722168,0,56.24,423.5,0.05974,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
151,963,0.23818421363830566,1,54.09,349.0,0.03446,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
195,1121,0.23324012756347656,2,29.47,236.7,0.03399,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
230,1376,0.30979490280151367,0,49.12,367.8,0.05853,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
179,1140,0.21671605110168457,1,18.48,59.28,0.03142,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
152,949,0.2163100242614746,3,55.14,362.6,0.06873,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
253,1477,0.3508620262145996,0,58.75,328.5,0.01601,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
178,1101,0.276613712310791,3,78.63,456.0,0.03682,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
178,1246,0.275648832321167,1,33.74,101.9,0.02866,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
211,1265,0.2639338970184326,3,26.85,142.3,0.0362,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
229,1398,0.30194616317749023,2,75.33,532.9,0.0655,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
191,1281,0.26876091957092285,0,85.99,615.3,0.113,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
244,1448,0.3557929992675781,0,79.77,454.9,0.03185,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
244,1599,0.41840600967407227,1,47.7,220.5,0.03289,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
251,1595,0.31943225860595703,1,73.37,493.0,0.08955,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
207,1420,0.3602571487426758,2,72.33,464.8,0.05994,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
200,1291,0.35775279998779297,2,86.59,515.5,0.04295,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
240,1510,0.42432594299316406,2,13.25,75.04,0.04416,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
270,1647,0.41850900650024414,0,72.39,381.5,0.03695,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
276,1721,0.44691920280456543,1,123.1,764.3,0.0879,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
257,1555,0.36733007431030273,3,77.38,517.2,0.07065,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
279,1737,0.33386802673339844,3,66.46,373.1,0.07025,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
251,1701,0.37035322189331055,2,79.09,393.1,0.06797,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
307,2015,0.4211127758026123,1,54.46,301.2,0.02555,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
274,1754,0.3378159999847412,2,30.29,141.6,0.06143,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
310,1965,0.4781060218811035,0,98.9,820.5,0.0883,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
288,1804,0.526447057723999,3,32.32,209.1,0.03988,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
293,1867,0.442795991897583,0,105.2,701.6,0.1051,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
290,1843,0.3501861095428467,3,75.11,586.3,0.1184,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
425,2455,0.46968913078308105,2,65.51,573.9,0.09688,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
348,2123,0.5253691673278809,1,29.99,182.1,0.1058,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
335,2151,0.42337512969970703,0,20.87,128.4,0.01765,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
337,2123,0.4436001777648926,2,25.05,112.9,0.03566,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
331,2048,0.5073649883270264,0,118.3,878.7,0.1251,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
367,2218,0.4466710090637207,2,87.07,447.4,0.06976,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
333,2078,0.5608949661254883,1,20.7,81.73,0.0531,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
349,2320,0.5000848770141602,3,65.0,328.7,0.01079,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
319,2171,0.617372989654541,3,77.25,290.1,0.03471,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
343,2349,0.5146181583404541,0,31.54,121.6,0.03949,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
341,2162,0.5573031902313232,3,28.02,149.9,0.08451,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
351,2302,0.5533120632171631,3,66.26,362.0,0.03521,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
351,2216,0.45507216453552246,3,65.08,429.0,0.0893,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
407,2493,0.5589709281921387,3,136.8,880.8,0.09209,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
375,2430,0.547821044921875,3,160.4,1047.0,0.1076,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
409,2548,0.5411272048950195,0,42.23,200.8,0.07356,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
401,2594,0.6641440391540527,2,166.8,1113.0,0.11,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
443,2692,0.6467690467834473,3,19.86,100.3,0.05429,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
462,2981,0.7067990303039551,3,133.8,828.7,0.1175,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
392,2580,0.8270530700683594,3,75.5,323.9,0.08117,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
468,2742,0.7183291912078857,0,24.77,219.8,0.09573,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
398,2526,0.618218183517456,2,42.55,193.5,0.03931,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
477,3036,0.7048511505126953,1,45.96,121.5,0.1077,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
472,3082,0.7110030651092529,1,18.39,85.67,0.02664,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
386,2452,0.5849871635437012,1,95.72,412.2,0.1337,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
433,2772,0.6553049087524414,1,66.71,300.5,0.05695,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
424,2715,0.8667590618133545,3,165.7,1234.0,0.1505,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
443,2932,0.7868311405181885,2,209.2,1463.0,0.1856,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
453,2870,0.7633910179138184,2,68.07,408.2,0.05765,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
502,3184,0.6743831634521484,2,81.26,511.1,0.0616,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
450,3011,0.7407011985778809,3,51.59,236.3,0.08802,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
509,3099,0.6528608798980713,1,141.0,958.8,0.1415,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
571,3562,0.6769590377807617,0,30.12,206.5,0.09231,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
500,3235,0.7339661121368408,3,97.33,705.0,0.1994,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
473,3323,0.740321159362793,0,19.24,84.57,0.02096,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
487,3073,0.8284709453582764,2,34.41,215.8,0.07193,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
501,3265,0.6971678733825684,1,128.2,774.9,0.09178,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
519,3190,0.718458890914917,0,26.23,151.5,0.07236,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
578,3671,0.8809959888458252,2,11.17,120.8,0.04101,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
492,3214,0.7772068977355957,3,111.2,710.2,0.2643,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
485,3110,0.6563048362731934,0,64.18,290.4,0.1406,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
546,3505,1.0244231224060059,3,214.8,1437.0,0.1723,sabre_v0_20_depth,sabre_layout,0,1,1,1,1
